actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
31,PT09M38.00S,2021-11-13T00:13:46.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,4,3,2021-11-13T00:13:53Z,310000,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,202056.0,,,,,
32,PT09M29.00S,2021-11-13T00:14:17.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,28.597240473061763,77.94117647058823,1610612752,4,6,2021-11-13T00:14:22Z,320000,-140.0,216.0,1,left,K. Walker 25' 3PT pullup (3 PTS),[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,25.75,Made,,,,,3.0,,,,,,,,,,,,,,
33,PT09M19.00S,2021-11-13T00:14:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,91.40932982917214,50.49019607843137,1610612766,4,6,2021-11-13T00:14:37Z,330000,2.0,28.0,1,right,MISS G. Hayward reverse Layup,[202330],1610612766.0,CHA,reverse,,,Hayward,G. Hayward,,,,,2.84,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M17.00S,2021-11-13T00:14:30.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,4,6,2021-11-13T00:14:37Z,340000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,33.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
35,PT09M12.00S,2021-11-13T00:14:35.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202689,31.225361366622867,24.019607843137255,1610612752,4,9,2021-11-13T00:14:41Z,350000,130.0,241.0,1,left,K. Walker 27' 3PT  (6 PTS) (J. Randle 2 AST),"[202689, 203944]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,27.38,Made,,,,,6.0,J. Randle,203944.0,2.0,,,,,,,,,,,
37,PT08M56.00S,2021-11-13T00:14:50.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,71.69842312746385,78.43137254901961,1610612766,4,9,2021-11-13T00:14:54Z,370000,142.0,214.0,1,right,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M53.00S,2021-11-13T00:14:53.1Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,4,9,2021-11-13T00:14:54Z,380000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,37.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
39,PT08M44.00S,2021-11-13T00:15:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,10.85742444152431,49.754901960784316,1610612752,4,11,2021-11-13T00:15:59Z,390000,1.0,50.0,1,left,K. Walker driving floating Jump Shot (8 PTS) (J. Randle 3 AST),"[202689, 203944]",1610612752.0,NYK,driving floating,,,Walker,K. Walker,,,,,4.96,Made,,,,,8.0,J. Randle,203944.0,3.0,,,,,,,,,,,
41,PT08M29.00S,2021-11-13T00:15:17.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,74.45795006570303,11.029411764705882,1610612766,4,11,2021-11-13T00:15:21Z,410000,-195.0,188.0,1,right,MISS L. Ball 27' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,27.05,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M26.00S,2021-11-13T00:15:20.4Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,4,11,2021-11-13T00:15:21Z,420000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,41.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
