actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-20T00:11:01.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T00:11:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-20T00:11:04.6Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2021-11-20T00:11:04Z,40000,,,0,,Jump Ball M. Plumlee vs. M. Turner: Tip to L. Ball,"[1630163, 203486, 1626167]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-20T00:11:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,13.354139290407357,55.14705882352941,1610612766,2,0,2021-11-20T00:11:26Z,70000,-26.0,73.0,1,left,G. Hayward 7' turnaround fadeaway Jump Shot (2 PTS),[202330],1610612766.0,CHA,turnaround fadeaway,,,Hayward,G. Hayward,,,,,7.74,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M13.00S,2021-11-20T00:11:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630537,95.48291721419186,62.5,1610612754,2,2,2021-11-20T00:11:59Z,80000,62.0,-10.0,1,right,C. Duarte 6' fadeaway Jump Shot (2 PTS),[1630537],1610612754.0,IND,fadeaway,,,Duarte,C. Duarte,,,,,6.33,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M05.00S,2021-11-20T00:11:58.2Z,1,REGULAR,turnover,out-of-bounds,[],203486,,,1610612766,2,2,2021-11-20T00:12:07Z,90000,,,0,,M. Plumlee lost ball out-of-bounds TURNOVER (1 TO),[203486],1610612766.0,CHA,lost ball,,,Plumlee,M. Plumlee,,,,,,,,201245.0,1.0,,,,,,,,,,,,,,,,
10,PT10M46.00S,2021-11-20T00:12:20.6Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612754,2,2,2021-11-20T00:12:24Z,100000,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 202330]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,1.0,Hayward,202330.0,,,,,,,,,,,,,,
11,PT10M46.00S,2021-11-20T00:12:20.6Z,1,REGULAR,steal,,[],202330,,,1610612766,2,2,2021-11-20T00:13:34Z,110000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M35.00S,2021-11-20T00:12:31.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202330,28.728646517739815,37.00980392156863,1610612766,2,2,2021-11-20T00:12:36Z,120000,65.0,218.0,1,left,MISS G. Hayward 22' Jump Shot,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,22.7,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M32.00S,2021-11-20T00:12:34.2Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,2,2,2021-11-20T00:12:36Z,130000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M26.00S,2021-11-20T00:12:40.2Z,1,REGULAR,3pt,Jump Shot,[],1627734,67.88764783180025,55.392156862745104,1610612754,2,2,2021-11-20T00:12:46Z,140000,27.0,249.0,1,right,MISS D. Sabonis 25' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
