actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-08T00:10:33.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-08T00:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-02-08T00:10:34.6Z,1,REGULAR,jumpball,recovered,[],202330,,,1610612766,0,0,2022-02-08T00:10:34Z,40000,,,0,,Jump Ball M. Plumlee vs. S. Barnes: Tip to G. Hayward,"[202330, 203486, 1630567]",1610612766.0,CHA,startperiod,G. Hayward,202330.0,Hayward,G. Hayward,Plumlee,203486.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-02-08T00:10:44.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,0,2022-02-08T00:10:44Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-02-08T00:11:11.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,69.72733245729303,26.715686274509803,1610612766,0,0,2022-02-08T00:11:18Z,80000,-116.0,232.0,1,right,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-08T00:11:15.1Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2022-02-08T00:11:18Z,90000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M27.00S,2022-02-08T00:11:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628970,94.43166885676742,51.71568627450981,1610612766,2,0,2022-02-08T00:11:23Z,100000,9.0,0.0,1,right,M. Bridges cutting Layup (2 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,cutting,,,Bridges,M. Bridges,,,,,0.86,Made,,,,,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,
12,PT11M06.00S,2022-02-08T00:11:39.2Z,1,REGULAR,3pt,Jump Shot,[],1628384,31.882391590013142,32.35294117647059,1610612761,2,0,2022-02-08T00:11:48Z,120000,88.0,247.0,1,left,MISS O. Anunoby 26' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2022-02-08T00:11:43.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,2,0,2022-02-08T00:11:48Z,130000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT10M57.00S,2022-02-08T00:11:48.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202330,93.11760840998686,54.65686274509803,1610612766,2,0,2022-02-08T00:11:54Z,140000,23.0,12.0,1,right,MISS G. Hayward alley-oop Layup,[202330],1610612766.0,CHA,alley-oop,,,Hayward,G. Hayward,,,,,2.63,Missed,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2022-02-08T00:11:51.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,2,0,2022-02-08T00:11:54Z,150000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M49.00S,2022-02-08T00:11:56.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628384,33.590670170827856,44.85294117647059,1610612761,2,0,2022-02-08T00:12:04Z,160000,26.0,263.0,1,left,MISS O. Anunoby 26' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,
