actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-15T00:10:47.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-15T00:10:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-15T00:10:50.2Z,1,REGULAR,jumpball,recovered,[],1629643,,,1610612753,0,0,2022-01-15T00:10:50Z,40000,,,0,,Jump Ball R. Lopez vs. M. Plumlee: Tip to C. Okeke,"[1629643, 201577, 203486]",1610612753.0,ORL,startperiod,C. Okeke,1629643.0,Okeke,C. Okeke,Lopez,201577.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-15T00:11:08.2Z,1,REGULAR,3pt,Jump Shot,[],203914,72.88107752956637,83.08823529411765,1610612753,0,3,2022-01-15T00:11:12Z,70000,165.0,202.0,1,right,G. Harris 26' 3PT  (3 PTS),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,26.14,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2022-01-15T00:11:32.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,3,2022-01-15T00:11:32Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M10.00S,2022-01-15T00:11:50.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,8.886333771353483,97.05882352941177,1610612766,0,3,2022-01-15T00:11:54Z,90000,-235.0,31.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,23.73,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M08.00S,2022-01-15T00:11:52.4Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,0,3,2022-01-15T00:11:54Z,100000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M00.00S,2022-01-15T00:11:59.3Z,1,REGULAR,2pt,Jump Shot,[],1630175,76.69185282522996,51.71568627450981,1610612753,0,3,2022-01-15T00:12:35Z,110000,9.0,167.0,1,right,MISS C. Anthony 16' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,16.68,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-01-15T00:12:01.3Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,0,3,2022-01-15T00:12:03Z,120000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M45.00S,2022-01-15T00:12:14.5Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,0,3,2022-01-15T00:12:18Z,130000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 1629643]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,1.0,Okeke,1629643.0,,,,,,,,,,,
14,PT10M45.00S,2022-01-15T00:12:14.5Z,1,REGULAR,steal,,[],1629643,,,1610612753,0,3,2022-01-15T00:12:16Z,140000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
