actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-07T00:10:24.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-07T00:10:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-07T00:10:26.7Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2021-12-07T00:10:26Z,40000,,,0,,Jump Ball N. Richards vs. J. Embiid: Tip to M. Bridges,"[1628970, 1630208, 203954]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Richards,1630208.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-12-07T00:10:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,85.75886990801577,50.49019607843137,1610612766,2,0,2021-12-07T00:11:21Z,70000,2.0,81.0,1,right,K. Oubre Jr. 8' fadeaway Jump Shot (2 PTS),[1626162],1610612766.0,CHA,fadeaway,,,Oubre Jr.,K. Oubre Jr.,,,,,8.14,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M13.00S,2021-12-07T00:11:10.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,5.650459921156373,49.04258578431372,1610612755,2,2,2021-12-07T00:12:30Z,80000,5.0,1.0,1,left,J. Embiid turnaround Hook (2 PTS),[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,0.48,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT10M59.00S,2021-12-07T00:11:25.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628998,92.06636005256242,50.98039215686274,1610612766,2,2,2021-12-07T00:12:56Z,90000,5.0,22.0,1,right,MISS C. Martin driving DUNK,[1628998],1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,2.26,Missed,,,,,,,,,,,,,,,,,,,
10,PT10M59.00S,2021-12-07T00:11:25.7Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,2,2,2021-12-07T00:12:56Z,100000,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT10M47.00S,2021-12-07T00:11:37.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202330,78.9257555847569,48.28431372549019,1610612766,2,2,2021-12-07T00:13:11Z,110000,-9.0,146.0,1,right,MISS G. Hayward 14' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,14.59,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M45.00S,2021-12-07T00:11:39.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,2,2021-12-07T00:11:39Z,120000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M38.00S,2021-12-07T00:11:46.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,7.835085413929041,49.26470588235294,1610612755,2,4,2021-12-07T00:17:27Z,130000,4.0,21.0,1,left,T. Harris driving floating Jump Shot (2 PTS),[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,2.14,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M25.00S,2021-12-07T00:11:58.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,91.01511169513797,50.245098039215684,1610612766,4,4,2021-12-07T00:17:46Z,140000,1.0,32.0,1,right,N. Richards cutting DUNK (2 PTS) (C. Martin 1 AST),"[1630208, 1628998]",1610612766.0,CHA,cutting,,,Richards,N. Richards,,,,,3.2,Made,2.0,,,,,C. Martin,1628998.0,1.0,,,,,,,,,,,
16,PT10M06.00S,2021-12-07T00:12:17.9Z,1,REGULAR,2pt,Jump Shot,[],203954,7.966491458607096,78.92156862745098,1610612755,4,4,2021-12-07T00:18:08Z,160000,-145.0,22.0,1,left,MISS J. Embiid 14' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,14.63,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M03.00S,2021-12-07T00:12:20.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,4,4,2021-12-07T00:12:20Z,170000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT09M59.00S,2021-12-07T00:12:24.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630208,91.80354796320631,47.794117647058826,1610612766,6,4,2021-12-07T00:18:41Z,180000,-11.0,25.0,1,right,N. Richards alley-oop DUNK (4 PTS) (M. Bridges 1 AST),"[1630208, 1628970]",1610612766.0,CHA,alley-oop,,,Richards,N. Richards,,,,,2.69,Made,4.0,,,,,M. Bridges,1628970.0,1.0,,,,,,,,,,,
20,PT09M46.00S,2021-12-07T00:12:40.5Z,1,REGULAR,turnover,out-of-bounds,[],203552,,,1610612755,6,4,2021-12-07T00:19:10Z,200000,,,0,,S. Curry step out-of-bounds TURNOVER (1 TO),[203552],1610612755.0,PHI,step,,,Curry,S. Curry,,,,,,,,,,,,,,,1627961.0,1.0,,,,,,,,,
21,PT09M31.00S,2021-12-07T00:13:04.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626162,93.38042049934296,50.49019607843137,1610612766,8,4,2021-12-07T00:19:53Z,210000,2.0,10.0,1,right,K. Oubre Jr. driving Layup (4 PTS),[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,1.0,Made,4.0,,,,,,,,,,,,,,,,,,
22,PT09M13.00S,2021-12-07T00:13:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203552,7.178055190538765,48.77450980392157,1610612755,8,6,2021-12-07T00:20:13Z,220000,6.0,15.0,1,left,S. Curry driving Layup (2 PTS),[203552],1610612755.0,PHI,driving,,,Curry,S. Curry,,,,,1.62,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT09M01.00S,2021-12-07T00:13:33.4Z,1,REGULAR,3pt,Jump Shot,[],1628970,75.90341655716163,9.803921568627452,1610612766,8,6,2021-12-07T00:18:54Z,230000,-201.0,174.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,,
