actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-01T23:10:32.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-01T23:10:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-01T23:10:35.1Z,1,REGULAR,jumpball,recovered,[],1629012,,,1610612739,0,0,2021-11-01T23:10:35Z,40000,,,0,,Jump Ball J. Allen vs. M. Plumlee: Tip to C. Sexton,"[1629012, 1628386, 203486]",1610612739.0,CLE,startperiod,C. Sexton,1629012.0,Sexton,C. Sexton,Allen,1628386.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-01T23:10:48.3Z,1,REGULAR,turnover,traveling,[],1630596,,,1610612739,0,0,2021-11-01T23:10:59Z,70000,,,0,,E. Mobley traveling TURNOVER (1 TO),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,2003.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2021-11-01T23:11:13.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628970,94.56307490144546,30.637254901960787,1610612766,0,0,2021-11-01T23:12:43Z,80000,-97.0,-1.0,1,right,MISS M. Bridges 9' driving floating Shot - blocked,"[1628970, 1628374]",1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,,,9.68,Missed,Markkanen,1628374.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-11-01T23:11:13.1Z,1,REGULAR,block,,[],1628374,,,1610612766,0,0,2021-11-01T23:11:15Z,90000,,,0,,L. Markkanen BLOCK (1 BLK),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2021-11-01T23:11:16.1Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,0,0,2021-11-01T23:11:20Z,100000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M20.00S,2021-11-01T23:11:19.1Z,1,REGULAR,3pt,Jump Shot,[],1630596,7.046649145860711,3.1862745098039214,1610612739,0,0,2021-11-01T23:11:23Z,110000,234.0,14.0,1,left,MISS E. Mobley 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,23.45,Missed,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2021-11-01T23:11:22.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,0,2021-11-01T23:11:22Z,120000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,
13,PT11M19.00S,2021-11-01T23:11:24.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,0,2021-11-01T23:11:24Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2021-11-01T23:11:46.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628386,7.178055190538765,50.49019607843137,1610612739,0,0,2021-11-01T23:11:53Z,140000,-2.0,15.0,1,left,MISS J. Allen DUNK,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,1.52,Missed,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2021-11-01T23:11:47.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2021-11-01T23:11:53Z,150000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,
16,PT11M10.00S,2021-11-01T23:11:53.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,0,2021-11-01T23:11:53Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M05.00S,2021-11-01T23:11:58.5Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,0,0,2021-11-01T23:12:03Z,170000,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1630596]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,1.0,,,,,,,,,Mobley,1630596.0,,,,,,,,,
18,PT11M05.00S,2021-11-01T23:11:58.5Z,1,REGULAR,steal,,[],1630596,,,1610612739,0,0,2021-11-01T23:12:00Z,180000,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M00.00S,2021-11-01T23:12:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630596,6.783837056504599,49.754901960784316,1610612739,0,2,2021-11-01T23:12:09Z,190000,1.0,11.0,1,left,E. Mobley running Layup (2 PTS),[1630596],1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,,,1.14,Made,,,,,,,,,2.0,,,,,,,,
