actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-28T00:10:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-28T00:10:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M50.00S,2021-12-28T00:10:50.4Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2021-12-28T00:10:50Z,40000,,,0,,Jump Ball M. Plumlee vs. C. Wood: Tip to L. Ball,"[1630163, 203486, 1626174]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-28T00:10:56.5Z,1,REGULAR,3pt,Jump Shot,[],202330,69.59592641261499,31.61764705882353,1610612766,3,0,2021-12-28T00:11:01Z,70000,-92.0,233.0,1,right,G. Hayward 25' 3PT  (3 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.07,Made,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-12-28T00:11:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628021,6.258212877792378,54.65686274509803,1610612745,3,0,2021-12-28T00:11:16Z,90000,-23.0,6.0,1,left,MISS D. Nwaba driving Layup - blocked,"[1628021, 203486]",1610612745.0,HOU,driving,,,Nwaba,D. Nwaba,,,,,2.41,Missed,,,,,Plumlee,203486.0,,,,,,,,,,,,,
10,PT11M30.00S,2021-12-28T00:11:10.8Z,1,REGULAR,block,,[],203486,,,1610612745,3,0,2021-12-28T00:11:13Z,100000,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2021-12-28T00:11:13.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,3,0,2021-12-28T00:11:16Z,110000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M24.00S,2021-12-28T00:11:17.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,72.22404730617609,16.666666666666664,1610612766,3,0,2021-12-28T00:11:26Z,120000,-167.0,209.0,1,right,MISS G. Hayward 26' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,26.7,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2021-12-28T00:11:18.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,3,0,2021-12-28T00:11:26Z,130000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,
14,PT11M23.00S,2021-12-28T00:11:24.9Z,1,REGULAR,foul,personal,[],1630163,,,1610612745,3,0,2021-12-28T00:11:42Z,140000,,,0,,L. Ball loose ball personal FOUL (1 PF),"[1630163, 1626174]",1610612766.0,CHA,loose ball,,,Ball,L. Ball,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Wood,1626174.0,,,,
16,PT11M08.00S,2021-12-28T00:11:53.6Z,1,REGULAR,foul,personal,[],1629667,,,1610612745,3,0,2021-12-28T00:12:06Z,160000,,,0,,J. McDaniels personal FOUL (1 PF),"[1629667, 1628021]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Nwaba,1628021.0,,,,
18,PT10M56.00S,2021-12-28T00:12:23.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630528,15.193823915900131,63.970588235294116,1610612745,3,0,2021-12-28T00:12:27Z,180000,-70.0,90.0,1,left,MISS J. Christopher 11' pullup Shot,[1630528],1610612745.0,HOU,pullup,,,Christopher,J. Christopher,,,,,11.42,Missed,,,,,,,,,,,,,,,,,,,
