actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-16T23:10:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-16T23:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2022-03-16T23:10:46.9Z,1,REGULAR,jumpball,recovered,[],201568,,,1610612737,0,0,2022-03-16T23:10:46Z,40000,,,0,,Jump Ball C. Capela vs. M. Plumlee: Tip to D. Gallinari,"[201568, 203991, 203486]",1610612737.0,ATL,startperiod,D. Gallinari,201568.0,Gallinari,D. Gallinari,Capela,203991.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-16T23:10:57.4Z,1,REGULAR,3pt,Jump Shot,[],1628989,28.991458607095925,82.35294117647058,1610612737,0,3,2022-03-16T23:11:03Z,70000,-162.0,220.0,1,left,K. Huerter 27' 3PT  (3 PTS) (T. Young 1 AST),"[1628989, 1629027]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,27.31,Made,3.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-03-16T23:11:13.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,73.01248357424441,80.63725490196079,1610612766,3,3,2022-03-16T23:11:25Z,90000,153.0,201.0,1,right,T. Rozier 25' 3PT  (3 PTS) (M. Plumlee 1 AST),"[1626179, 203486]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,25.29,Made,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
11,PT11M13.00S,2022-03-16T23:11:25.4Z,1,REGULAR,3pt,Jump Shot,[],201568,33.722076215505915,67.8921568627451,1610612737,3,3,2022-03-16T23:11:32Z,110000,-89.0,264.0,1,left,MISS D. Gallinari 27' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,27.92,Missed,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2022-03-16T23:11:28.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,3,3,2022-03-16T23:11:32Z,120000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M55.00S,2022-03-16T23:11:44.2Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,3,3,2022-03-16T23:11:49Z,130000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 1629027]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,1.0,Young,1629027.0,,,,,,,
14,PT10M55.00S,2022-03-16T23:11:44.2Z,1,REGULAR,steal,,[],1629027,,,1610612737,3,3,2022-03-16T23:11:46Z,140000,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2022-03-16T23:12:07.6Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612737,3,3,2022-03-16T23:12:29Z,150000,,,0,,L. Ball shooting personal FOUL (1 PF) (Young 2 FT),"[1630163, 1629027]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Young,1629027.0,,
17,PT10M33.00S,2022-03-16T23:12:29.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629027,,,1610612737,3,4,2022-03-16T23:12:29Z,170000,,,0,,T. Young Free Throw 1 of 2 (1 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
