actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
20,PT10M22.00S,2022-03-19T23:12:36.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,69.85873850197109,74.75490196078431,1610612766,11,2,2022-03-19T23:12:40Z,200000,124.0,231.0,1,right,M. Bridges 26' 3PT  (3 PTS) (T. Rozier 1 AST),"[1628970, 1626179]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,26.19,Made,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,,
22,PT10M10.00S,2022-03-19T23:12:48.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,27.414586070959263,19.362745098039216,1610612742,11,2,2022-03-19T23:12:52Z,220000,153.0,205.0,1,left,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M08.00S,2022-03-19T23:12:50.4Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,11,2,2022-03-19T23:12:52Z,230000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,
24,PT10M02.00S,2022-03-19T23:13:00.0Z,1,REGULAR,foul,offensive,[],203486,,,1610612766,11,2,2022-03-19T23:13:22Z,240000,,,0,,M. Plumlee offensive FOUL (1 PF),"[203486, 1628973]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,202026.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,
26,PT10M02.00S,2022-03-19T23:13:00.0Z,1,REGULAR,turnover,offensive foul,[],203486,,,1610612766,11,2,2022-03-19T23:13:00Z,260000,,,0,,M. Plumlee offensive foul TURNOVER (1 TO),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,202026.0,,,,,1.0,,,,,,,,,
27,PT09M44.00S,2022-03-19T23:13:32.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,11,2,2022-03-19T23:13:32Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2022-03-19T23:13:49.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628973,20.844283837056505,63.970588235294116,1610612742,11,2,2022-03-19T23:13:56Z,280000,-70.0,143.0,1,left,MISS J. Brunson 15' floating Shot,[1628973],1610612742.0,DAL,floating,,,Brunson,J. Brunson,,,,,15.95,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M33.00S,2022-03-19T23:13:52.1Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,11,2,2022-03-19T23:13:52Z,290000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,
30,PT09M31.00S,2022-03-19T23:13:53.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627827,34.11629434954008,46.568627450980394,1610612742,11,2,2022-03-19T23:13:58Z,300000,17.0,268.0,1,left,MISS D. Finney-Smith 26' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M31.00S,2022-03-19T23:13:53.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,11,2,2022-03-19T23:13:58Z,310000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,
