actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-22T00:10:54.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T00:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-22T00:10:56.9Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-01-22T00:10:56Z,40000,,,0,,Jump Ball M. Plumlee vs. J. Robinson-Earl: Tip to L. Ball,"[1630163, 203486, 1630526]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-22T00:11:13.3Z,1,REGULAR,3pt,Jump Shot,[],202330,95.87713534822602,97.54901960784314,1610612766,0,0,2022-01-22T00:11:18Z,70000,238.0,-14.0,1,right,MISS G. Hayward 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,23.81,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-01-22T00:11:17.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2022-01-22T00:11:18Z,80000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-01-22T00:11:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,7.30946123521682,49.754901960784316,1610612760,0,2,2022-01-22T00:11:29Z,90000,1.0,16.0,1,left,J. Giddey cutting Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630581, 1628983]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,1.62,Made,,,,,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,
11,PT11M16.00S,2022-01-22T00:11:37.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,93.64323258869908,3.1862745098039214,1610612766,0,2,2022-01-22T00:11:42Z,110000,-234.0,7.0,1,right,MISS T. Rozier pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-01-22T00:11:39.0Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,0,2,2022-01-22T00:11:42Z,120000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M58.00S,2022-01-22T00:11:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,11.777266754270697,51.9607843137255,1610612760,0,2,2022-01-22T00:12:02Z,130000,-10.0,58.0,1,left,MISS A. Wiggins driving Layup - blocked,"[1630598, 1630163]",1610612760.0,OKC,driving,,,Wiggins,A. Wiggins,,,,,5.9,Missed,,,,,,,,,Ball,1630163.0,,,,,,,,
14,PT10M58.00S,2022-01-22T00:11:56.3Z,1,REGULAR,block,,[],1630163,,,1610612760,0,2,2022-01-22T00:11:59Z,140000,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2022-01-22T00:12:00.3Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,0,2,2022-01-22T00:12:02Z,150000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
