actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-10T00:45:22.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-10T00:45:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-10T00:45:35.5Z,1,REGULAR,violation,jumpball,[],202696,,,0,0,0,2022-02-10T00:45:35Z,40000,,,0,,N. Vucevic jumpball VIOLATION,[202696],1610612741.0,CHI,2004.0,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M46.00S,2022-02-10T00:46:20.2Z,1,REGULAR,jumpball,recovered,[],0,,,0,0,0,2022-02-10T00:46:20Z,50000,,,0,,Jump Ball L. Ball vs. C. White: Tip to Team (CHA),"[1630163, 1629632]",1610612766.0,CHA,,,,heldball,Team (CHA),Ball,1630163.0,White,1629632.0,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-10T00:46:41.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,5.469776609724048,4.6568627450980395,1610612766,0,0,2022-02-10T00:46:48Z,80000,227.0,-1.0,1,left,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,Bridges,M. Bridges,,,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-02-10T00:46:44.0Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2022-02-10T00:46:48Z,90000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,LaVine,Z. LaVine,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M25.00S,2022-02-10T00:46:56.1Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612741,0,0,2022-02-10T00:47:07Z,100000,,,0,,D. DeRozan lost ball out-of-bounds TURNOVER (1 TO),[201942],1610612741.0,CHI,2004.0,DeRozan,D. DeRozan,lost ball,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11,PT11M11.00S,2022-02-10T00:47:23.7Z,1,REGULAR,foul,personal,['2freethrow'],1629750,,,1610612766,0,0,2022-02-10T00:47:32Z,110000,,,0,,J. Green shooting personal FOUL (1 PF) (Bridges 2 FT),"[1629750, 1628970]",1610612741.0,CHI,1193.0,Green,J. Green,shooting,,,,,,,,,,,,,1.0,0.0,Bridges,1628970.0,,,,,,,,,
13,PT11M11.00S,2022-02-10T00:47:43.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628970,,,1610612766,1,0,2022-02-10T00:47:43Z,130000,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M11.00S,2022-02-10T00:47:55.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628970,,,1610612766,2,0,2022-02-10T00:47:55Z,140000,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M52.00S,2022-02-10T00:48:16.8Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,2,0,2022-02-10T00:48:23Z,150000,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 203486]",1610612741.0,CHI,,LaVine,Z. LaVine,,,,,,,,,,,,,1.0,,,,,,Plumlee,203486.0,,,,,,
16,PT10M52.00S,2022-02-10T00:48:16.8Z,1,REGULAR,steal,,[],203486,,,1610612766,2,0,2022-02-10T00:48:19Z,160000,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2022-02-10T00:48:25.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,6.258212877792378,45.09803921568628,1610612766,4,0,2022-02-10T00:48:35Z,170000,25.0,6.0,1,left,T. Rozier cutting Layup (2 PTS) (M. Plumlee 1 AST),"[1626179, 203486]",1610612766.0,CHA,,Rozier,T. Rozier,cutting,,,,,,2.53,Made,,,,,,,,,,2.0,,,M. Plumlee,203486.0,1.0,,,
19,PT10M23.00S,2022-02-10T00:48:44.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,69.99014454664915,73.52941176470588,1610612741,4,0,2022-02-10T00:48:50Z,190000,118.0,230.0,1,right,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,White,C. White,,,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2022-02-10T00:48:47.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,0,2022-02-10T00:48:50Z,200000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,Ball,L. Ball,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M09.00S,2022-02-10T00:48:59.3Z,1,REGULAR,3pt,Jump Shot,[],1630163,8.886333771353483,2.696078431372549,1610612766,4,0,2022-02-10T00:49:05Z,210000,237.0,31.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,Ball,L. Ball,,,,,,,23.85,Missed,,,,,,,,,,,,,,,,,,
22,PT10M06.00S,2022-02-10T00:49:02.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,0,2022-02-10T00:49:05Z,220000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,Vucevic,N. Vucevic,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M58.00S,2022-02-10T00:49:10.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629750,92.72339027595268,53.18627450980392,1610612741,4,2,2022-02-10T00:49:18Z,230000,16.0,16.0,1,right,J. Green alley-oop DUNK (2 PTS) (N. Vucevic 1 AST),"[1629750, 202696]",1610612741.0,CHI,,Green,J. Green,alley-oop,,,,,,2.25,Made,,,,,,,,,,2.0,,,N. Vucevic,202696.0,1.0,,,
25,PT09M45.00S,2022-02-10T00:49:36.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,8.623521681997373,46.07843137254902,1610612766,6,2,2022-02-10T00:49:44Z,250000,20.0,29.0,1,left,K. Oubre Jr. Layup (2 PTS) (T. Rozier 1 AST),"[1626162, 1626179]",1610612766.0,CHA,,Oubre Jr.,K. Oubre Jr.,,,,,,,3.47,Made,,,,,,,,,,2.0,,,T. Rozier,1626179.0,1.0,,,
27,PT09M45.00S,2022-02-10T00:49:40.2Z,1,REGULAR,foul,personal,['1freethrow'],201942,,,1610612766,6,2,2022-02-10T00:49:52Z,270000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Oubre Jr. 1 FT),"[201942, 1626162]",1610612741.0,CHI,2004.0,DeRozan,D. DeRozan,shooting,,,,,,,,,,,,,1.0,0.0,Oubre Jr.,1626162.0,,,,,,,,,
29,PT09M45.00S,2022-02-10T00:49:59.2Z,1,REGULAR,freethrow,1 of 1,[],1626162,,,1610612766,6,2,2022-02-10T00:50:05Z,290000,,,0,,MISS K. Oubre Jr. Free Throw 1 of 1,[1626162],1610612766.0,CHA,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT09M42.00S,2022-02-10T00:50:02.2Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,6,2,2022-02-10T00:50:05Z,300000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,Green,J. Green,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M28.00S,2022-02-10T00:50:14.5Z,1,REGULAR,2pt,Jump Shot,[],202696,89.56964520367937,31.372549019607842,1610612741,6,4,2022-02-10T00:51:47Z,310000,-93.0,46.0,1,right,N. Vucevic 10' turnaround fadeaway Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,Vucevic,N. Vucevic,turnaround fadeaway,,,,,,10.36,Made,,,,,,,,,,2.0,,,Z. LaVine,203897.0,1.0,,,
33,PT09M15.00S,2022-02-10T00:50:27.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,6.1268068331143235,3.431372549019608,1610612766,6,4,2022-02-10T00:50:32Z,330000,233.0,5.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,Oubre Jr.,K. Oubre Jr.,,,,,,,23.29,Missed,,,,,,,,,,,,,,,,,,
34,PT09M13.00S,2022-02-10T00:50:29.0Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,6,4,2022-02-10T00:50:32Z,340000,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,LaVine,Z. LaVine,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
