actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-18T00:10:52.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-18T00:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-18T00:10:55.2Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612764,0,0,2021-11-18T00:10:55Z,40000,,,0,,Jump Ball D. Gafford vs. M. Plumlee: Tip to S. Dinwiddie,"[203915, 1629655, 203486]",1610612764.0,WAS,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Gafford,1629655.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-18T00:11:08.4Z,1,REGULAR,2pt,Jump Shot,[],203078,16.507884362680684,77.45098039215686,1610612764,0,0,2021-11-18T00:11:54Z,70000,-137.0,103.0,1,left,MISS B. Beal 17' pullup Shot,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,17.15,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-18T00:11:11.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2021-11-18T00:11:13Z,80000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-18T00:11:21.5Z,1,REGULAR,2pt,Jump Shot,[],202330,84.70762155059133,31.61764705882353,1610612766,2,0,2021-11-18T00:11:26Z,90000,-92.0,91.0,1,right,G. Hayward 12' pullup Jump Shot (2 PTS) (L. Ball 1 AST),"[202330, 1630163]",1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,12.95,Made,,,,,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,
11,PT11M16.00S,2021-11-18T00:11:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,7.30946123521682,50.0,1610612764,2,2,2021-11-18T00:11:40Z,110000,0.0,16.0,1,left,D. Gafford driving Layup (2 PTS) (S. Dinwiddie 1 AST),"[1629655, 203915]",1610612764.0,WAS,driving,,,Gafford,D. Gafford,,,,,1.62,Made,,,,,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,
13,PT11M00.00S,2021-11-18T00:11:51.6Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,2,2,2021-11-18T00:11:57Z,130000,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 203078]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,1.0,Beal,203078.0,,,,,,,
14,PT11M00.00S,2021-11-18T00:11:51.6Z,1,REGULAR,steal,,[],203078,,,1610612764,2,2,2021-11-18T00:11:53Z,140000,,,0,,B. Beal STEAL (1 STL),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2021-11-18T00:11:55.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203484,6.521024967148489,49.50980392156863,1610612764,2,4,2021-11-18T00:12:04Z,150000,2.0,9.0,1,left,K. Caldwell-Pope running DUNK (2 PTS) (B. Beal 1 AST),"[203484, 203078]",1610612764.0,WAS,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,0.91,Made,,,,,2.0,B. Beal,203078.0,1.0,,,,,,,,,,
17,PT10M41.00S,2021-11-18T00:12:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,93.64323258869908,52.450980392156865,1610612766,4,4,2021-11-18T00:12:14Z,170000,12.0,7.0,1,right,G. Hayward cutting Layup (4 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,cutting,,,Hayward,G. Hayward,,,,,1.43,Made,,,,,4.0,M. Plumlee,203486.0,1.0,,,,,,,,,,
