actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-29T00:45:28.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T00:45:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-29T00:45:31.2Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2022-01-29T00:45:31Z,40000,,,0,,Jump Ball D. Jordan vs. M. Plumlee: Tip to R. Westbrook,"[201566, 201599, 203486]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Jordan,201599.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-01-29T00:45:49.7Z,1,REGULAR,3pt,Jump Shot,[],201961,25.969119579500656,83.33333333333334,1610612747,0,0,2022-01-29T00:45:54Z,70000,-167.0,192.0,1,left,MISS W. Ellington 25' 3PT,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-01-29T00:45:51.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2022-01-29T00:45:54Z,80000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-01-29T00:45:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,93.51182654402102,50.98039215686274,1610612766,2,0,2022-01-29T00:46:04Z,90000,5.0,8.0,1,right,L. Ball driving floating Jump Shot (2 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,0.98,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M16.00S,2022-01-29T00:46:15.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,2,0,2022-01-29T00:46:15Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2022-01-29T00:46:28.9Z,1,REGULAR,2pt,Jump Shot,[],202340,15.325229960578188,19.11764705882353,1610612747,2,0,2022-01-29T00:46:33Z,110000,154.0,92.0,1,left,MISS A. Bradley 17' pullup Shot,[202340],1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,17.95,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-01-29T00:46:31.9Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,2,0,2022-01-29T00:46:33Z,120000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M55.00S,2022-01-29T00:46:43.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,93.24901445466492,3.431372549019608,1610612766,5,0,2022-01-29T00:46:47Z,130000,-233.0,11.0,1,right,T. Rozier 3PT  (3 PTS) (M. Plumlee 1 AST),"[1626179, 203486]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,23.31,Made,,,,,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,
15,PT10M44.00S,2022-01-29T00:46:54.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201961,17.69053876478318,39.950980392156865,1610612747,5,0,2022-01-29T00:47:01Z,150000,50.0,114.0,1,left,MISS W. Ellington 12' Jump Shot,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,12.44,Missed,,,,,,,,,,,,,,,,,,,
