actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-04-10T19:41:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-10T19:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-10T19:41:04.2Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-04-10T19:41:04Z,40000,,,0,,Jump Ball M. Plumlee vs. D. Gafford: Tip to L. Ball,"[1630163, 203486, 1629655]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-04-10T19:41:20.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,90.75229960578186,96.07843137254902,1610612766,0,0,2022-04-10T19:41:26Z,70000,230.0,34.0,1,right,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,23.3,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-04-10T19:41:24.8Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,0,0,2022-04-10T19:41:26Z,80000,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-04-10T19:41:42.2Z,1,REGULAR,3pt,Jump Shot,[],1629060,28.86005256241787,23.284313725490197,1610612764,0,0,2022-04-10T19:41:47Z,90000,134.0,219.0,1,left,MISS R. Hachimura 25' 3PT,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,25.64,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-04-10T19:41:45.2Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2022-04-10T19:41:47Z,100000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M00.00S,2022-04-10T19:42:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,92.9862023653088,54.65686274509803,1610612766,0,0,2022-04-10T19:42:04Z,110000,23.0,13.0,1,right,MISS M. Plumlee Layup,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,2.69,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-04-10T19:42:02.9Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2022-04-10T19:42:04Z,120000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M48.00S,2022-04-10T19:42:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,6.652431011826544,46.81372549019608,1610612764,0,2,2022-04-10T19:42:16Z,130000,16.0,10.0,1,left,D. Avdija driving Layup (2 PTS),[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,1.88,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M41.00S,2022-04-10T19:42:20.8Z,1,REGULAR,turnover,lost ball,[],1630163,,,1610612766,0,2,2022-04-10T19:42:25Z,140000,,,0,,L. Ball lost ball TURNOVER (1 TO),"[1630163, 1630166]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,1.0,Avdija,1630166.0,,,,,,,,,,,
