actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-01T00:40:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-01T00:40:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-01T00:40:56.0Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2022-03-01T00:40:56Z,40000,,,0,,Jump Ball A. Drummond vs. S. Barnes: Tip to B. Brown,"[1628971, 203083, 1630567]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Drummond,203083.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-03-01T00:41:00.2Z,1,REGULAR,turnover,lost ball,[],201949,,,1610612751,0,0,2022-03-01T00:41:06Z,70000,,,0,,J. Johnson lost ball TURNOVER (1 TO),"[201949, 1630567]",1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,1.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,
8,PT11M52.00S,2022-03-01T00:41:00.2Z,1,REGULAR,steal,,[],1630567,,,1610612761,0,0,2022-03-01T00:41:03Z,80000,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M51.00S,2022-03-01T00:41:04.7Z,1,REGULAR,foul,personal,['2freethrow'],201949,,,1610612761,0,0,2022-03-01T00:41:18Z,90000,,,0,,J. Johnson shooting personal FOUL (1 PF) (Barnes 2 FT),"[201949, 1630567]",1610612751.0,BKN,shooting,,,Johnson,J. Johnson,,,,,,,,200832.0,1.0,0.0,Barnes,1630567.0,,,,,,,,,,,,,
11,PT11M51.00S,2022-03-01T00:41:29.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630567,,,1610612761,0,1,2022-03-01T00:41:49Z,110000,,,0,,S. Barnes Free Throw 1 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
12,PT11M51.00S,2022-03-01T00:41:29.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630567,,,1610612761,0,1,2022-03-01T00:41:49Z,120000,,,0,,MISS S. Barnes Free Throw 2 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,Missed,,,,,,,,,,,,
13,PT11M48.00S,2022-03-01T00:41:32.6Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,0,1,2022-03-01T00:41:49Z,130000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT11M34.00S,2022-03-01T00:42:01.4Z,1,REGULAR,2pt,Jump Shot,[],203552,74.19513797634691,35.53921568627451,1610612751,0,1,2022-03-01T00:42:11Z,140000,-72.0,190.0,1,right,MISS S. Curry 20' pullup Shot,[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,,,,,,,,,Missed,,,,,,20.34,,,,,,
15,PT11M33.00S,2022-03-01T00:42:02.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,0,1,2022-03-01T00:42:11Z,150000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,
16,PT11M33.00S,2022-03-01T00:42:10.0Z,1,REGULAR,foul,personal,[],201949,,,1610612761,0,1,2022-03-01T00:42:27Z,160000,,,0,,J. Johnson loose ball personal FOUL (2 PF),"[201949, 1627783]",1610612751.0,BKN,loose ball,,,Johnson,J. Johnson,,,,,,,,203591.0,2.0,0.0,Siakam,1627783.0,,,,,,,,,,,,,
