actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
19,PT09M58.00S,2021-10-25T23:42:45.9Z,1,REGULAR,3pt,Jump Shot,[],201933,66.96780551905388,47.549019607843135,1610612751,6,8,2021-10-25T23:42:52Z,190000,-12.0,258.0,1,right,MISS B. Griffin 25' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
20,PT09M58.00S,2021-10-25T23:42:45.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,6,8,2021-10-25T23:42:52Z,200000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT09M48.00S,2021-10-25T23:42:57.0Z,1,REGULAR,turnover,lost ball,[],203078,,,1610612764,6,8,2021-10-25T23:43:03Z,210000,,,0,,B. Beal lost ball TURNOVER (1 TO),"[203078, 201142]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,1.0,Durant,201142.0,,,,,,,,
22,PT09M48.00S,2021-10-25T23:42:57.0Z,1,REGULAR,steal,,[],201142,,,1610612751,6,8,2021-10-25T23:42:58Z,220000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M37.00S,2021-10-25T23:43:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,88.51839684625493,47.549019607843135,1610612751,6,8,2021-10-25T23:43:21Z,230000,-12.0,55.0,1,right,MISS J. Harden driving Layup,[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,5.67,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M35.00S,2021-10-25T23:43:09.9Z,1,REGULAR,rebound,offensive,[],201935,,,1610612751,6,8,2021-10-25T23:43:12Z,240000,,,0,,J. Harden REBOUND (Off:1 Def:0),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,
25,PT09M34.00S,2021-10-25T23:43:10.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201935,94.1688567674113,50.98039215686274,1610612751,8,8,2021-10-25T23:43:25Z,250000,5.0,2.0,1,right,J. Harden putback Layup (2 PTS),[201935],1610612751.0,BKN,putback,,,Harden,J. Harden,,,,,0.54,Made,2.0,,,,,,,,,,,,,,,,,,
26,PT09M19.00S,2021-10-25T23:43:25.0Z,1,REGULAR,2pt,Jump Shot,[],1628398,23.47240473061761,60.78431372549019,1610612764,8,8,2021-10-25T23:43:29Z,260000,-54.0,168.0,1,left,MISS K. Kuzma 17' pullup Shot,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,17.65,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M17.00S,2021-10-25T23:43:27.0Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,8,8,2021-10-25T23:43:29Z,270000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M11.00S,2021-10-25T23:43:34.1Z,1,REGULAR,3pt,Jump Shot,[],201935,65.91655716162943,40.44117647058824,1610612751,8,8,2021-10-25T23:43:38Z,280000,-48.0,268.0,1,right,MISS J. Harden 27' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,27.21,Missed,,,,,,,,,,,,,,,,,,,
