actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-09T00:36:01.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-09T00:36:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-02-09T00:36:05.8Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2022-02-09T00:36:05Z,40000,,,0,,Jump Ball R. Williams III vs. B. Griffin: Tip to J. Brown,"[1627759, 1629057, 201933]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Williams III,1629057.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-09T00:36:17.8Z,1,REGULAR,3pt,Jump Shot,[],203935,73.27529566360053,79.16666666666666,1610612738,0,0,2022-02-09T00:36:22Z,70000,146.0,199.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.65,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-02-09T00:36:19.8Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,0,0,2022-02-09T00:36:22Z,80000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2022-02-09T00:36:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201988,9.937582128777924,49.01960784313725,1610612751,0,0,2022-02-09T00:36:45Z,90000,5.0,41.0,1,left,MISS P. Mills driving Layup - blocked,"[201988, 1629057]",1610612751.0,BKN,driving,,,Mills,P. Mills,,,,,4.12,Missed,,,,,Williams III,1629057.0,,,,,,,,,,,,
10,PT11M20.00S,2022-02-09T00:36:40.8Z,1,REGULAR,block,,[],1629057,,,1610612751,0,0,2022-02-09T00:36:43Z,100000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-02-09T00:36:44.8Z,1,REGULAR,rebound,offensive,[],201933,,,1610612751,0,0,2022-02-09T00:36:45Z,110000,,,0,,B. Griffin REBOUND (Off:1 Def:0),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M14.00S,2022-02-09T00:36:46.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201933,27.808804204993432,80.3921568627451,1610612751,0,0,2022-02-09T00:36:53Z,120000,-152.0,209.0,1,left,MISS B. Griffin 25' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-02-09T00:36:48.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2022-02-09T00:36:53Z,130000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M03.00S,2022-02-09T00:36:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.42247043363994,55.63725490196079,1610612738,0,2,2022-02-09T00:37:03Z,140000,28.0,122.0,1,right,J. Brown 12' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,12.53,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M52.00S,2022-02-09T00:37:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201988,6.1268068331143235,46.81372549019608,1610612751,0,2,2022-02-09T00:37:13Z,150000,16.0,5.0,1,left,MISS P. Mills driving reverse Layup,[201988],1610612751.0,BKN,driving reverse,,,Mills,P. Mills,,,,,1.67,Missed,,,,,,,,,,,,,,,,,,
