actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-18T00:40:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-18T00:40:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-18T00:40:47.7Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612751,0,0,2021-11-18T00:40:47Z,40000,,,0,,Jump Ball B. Griffin vs. E. Davis: Tip to J. Harden,"[201935, 201933, 202334]",1610612751.0,BKN,startperiod,J. Harden,201935.0,Harden,J. Harden,Griffin,201933.0,Davis,202334.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-18T00:40:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201933,94.03745072273325,53.67647058823529,1610612751,0,0,2021-11-18T00:41:01Z,70000,18.0,4.0,1,right,MISS B. Griffin cutting Layup - blocked,"[201933, 202334]",1610612751.0,BKN,cutting,,,Griffin,B. Griffin,,,,,1.87,Missed,Davis,202334.0,,,,,,,,,,,,,,,,,
15,PT11M46.00S,2021-11-18T00:40:56.7Z,1,REGULAR,block,,[],202334,,,1610612751,0,0,2021-11-18T00:41:44Z,75000,,,0,,E. Davis BLOCK (1 BLK),[202334],1610612739.0,CLE,,,,Davis,E. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-18T00:40:58.7Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,0,2021-11-18T00:41:44Z,80000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-18T00:41:12.1Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,0,0,2021-11-18T00:41:18Z,90000,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 201933]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,1.0,Griffin,201933.0,,,,,,,,,,
10,PT11M30.00S,2021-11-18T00:41:12.1Z,1,REGULAR,steal,,[],201933,,,1610612751,0,0,2021-11-18T00:47:24Z,100000,,,0,,B. Griffin STEAL (1 STL),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2021-11-18T00:41:16.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201142,93.64323258869908,50.0,1610612751,2,0,2021-11-18T00:41:23Z,110000,0.0,7.0,1,right,K. Durant running DUNK (2 PTS) (J. Harden 1 AST),"[201142, 201935]",1610612751.0,BKN,running,,,Durant,K. Durant,,,,,0.73,Made,,,,,,,,,,2.0,J. Harden,201935.0,1.0,,,,,,
13,PT11M05.00S,2021-11-18T00:41:37.6Z,1,REGULAR,3pt,Jump Shot,[],1629636,30.17411300919842,25.735294117647058,1610612739,2,0,2021-11-18T00:41:46Z,130000,121.0,231.0,1,left,MISS D. Garland 26' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2021-11-18T00:41:39.6Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,2,0,2021-11-18T00:41:46Z,140000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M49.00S,2021-11-18T00:41:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,93.38042049934296,46.568627450980394,1610612751,2,0,2021-11-18T00:42:01Z,150000,-17.0,10.0,1,right,MISS B. Brown Layup,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,1.97,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M47.00S,2021-11-18T00:41:55.3Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,2,0,2021-11-18T00:42:01Z,160000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,
18,PT10M46.00S,2021-11-18T00:41:56.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201935,69.59592641261499,23.774509803921568,1610612751,2,0,2021-11-18T00:42:13Z,170000,-131.0,233.0,1,right,MISS J. Harden 26' 3PT,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M42.00S,2021-11-18T00:42:00.8Z,1,REGULAR,rebound,offensive,[],201933,,,1610612751,2,0,2021-11-18T00:42:13Z,180000,,,0,,B. Griffin REBOUND (Off:1 Def:0),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,
