actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-04T00:40:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-04T00:40:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-04T00:40:57.1Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612751,0,0,2022-03-04T00:40:57Z,40000,,,0,,Jump Ball A. Drummond vs. O. Yurtseven: Tip to S. Curry,"[203552, 203083, 1630209]",1610612751.0,BKN,startperiod,S. Curry,203552.0,Curry,S. Curry,Drummond,203083.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-04T00:41:11.8Z,1,REGULAR,3pt,Jump Shot,[],201142,68.80749014454665,68.13725490196079,1610612751,0,0,2022-03-04T00:41:17Z,70000,91.0,241.0,1,right,MISS K. Durant 25' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-03-04T00:41:15.8Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,0,0,2022-03-04T00:41:17Z,80000,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-03-04T00:41:22.1Z,1,REGULAR,turnover,out-of-bounds,[],1629216,,,1610612748,0,0,2022-03-04T00:41:31Z,90000,,,0,,G. Vincent bad pass out-of-bounds TURNOVER (1 TO),[1629216],1610612748.0,MIA,bad pass,,,Vincent,G. Vincent,,,,,,,,,,,202037.0,1.0,,,,,,,,,,,,,
10,PT11M26.00S,2022-03-04T00:41:32.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201609,93.77463863337714,44.36274509803921,1610612751,0,0,2022-03-04T00:41:38Z,100000,-28.0,6.0,1,right,MISS G. Dragic driving Layup,[201609],1610612751.0,BKN,driving,,,Dragic,G. Dragic,,,,,2.88,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-03-04T00:41:34.7Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,0,0,2022-03-04T00:41:38Z,110000,,,0,,O. Yurtseven REBOUND (Off:0 Def:2),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-03-04T00:41:41.4Z,1,REGULAR,3pt,Jump Shot,[],1629216,32.14520367936925,53.18627450980392,1610612748,0,0,2022-03-04T00:41:46Z,120000,-16.0,250.0,1,left,MISS G. Vincent 25' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2022-03-04T00:41:45.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,0,0,2022-03-04T00:41:49Z,130000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M55.00S,2022-03-04T00:42:03.7Z,1,REGULAR,3pt,Jump Shot,[],201609,86.28449408672799,4.901960784313726,1610612751,3,0,2022-03-04T00:42:08Z,140000,-225.0,76.0,1,right,G. Dragic 3PT  (3 PTS) (S. Curry 1 AST),"[201609, 203552]",1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,23.81,Made,,,,,,,3.0,S. Curry,203552.0,1.0,,,,,,,,,
16,PT10M28.00S,2022-03-04T00:42:29.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,24.129434954007884,55.14705882352941,1610612748,3,0,2022-03-04T00:42:36Z,160000,-26.0,174.0,1,left,MISS B. Adebayo 17' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,17.62,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2022-03-04T00:42:32.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,3,0,2022-03-04T00:42:36Z,170000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M21.00S,2022-03-04T00:42:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,93.64323258869908,53.92156862745098,1610612751,5,0,2022-03-04T00:42:57Z,180000,20.0,7.0,1,right,B. Brown running Layup (2 PTS),[1628971],1610612751.0,BKN,running,,,Brown,B. Brown,,,,,2.09,Made,,,,,,,2.0,,,,,,,,,,,,
19,PT10M00.00S,2022-03-04T00:43:00.9Z,1,REGULAR,foul,personal,[],1628971,,,1610612748,5,0,2022-03-04T00:43:06Z,190000,,,0,,B. Brown personal FOUL (1 PF),"[1628971, 1629130]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,202049.0,,,,,,1.0,0.0,Robinson,1629130.0,,,,,
