actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-21T23:40:59.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-21T23:40:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-21T23:41:02.4Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-03-21T23:41:02Z,40000,,,0,,Jump Ball R. Gobert vs. N. Claxton: Tip to R. O'Neale,"[1626220, 203497, 1629651]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-03-21T23:41:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,67.09921156373193,31.61764705882353,1610612762,0,0,2022-03-21T23:41:28Z,70000,-92.0,257.0,1,right,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,27.27,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-03-21T23:41:27.3Z,1,REGULAR,rebound,defensive,[],201609,,,1610612751,0,0,2022-03-21T23:41:28Z,80000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-03-21T23:41:38.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203552,18.74178712220762,38.970588235294116,1610612751,0,0,2022-03-21T23:41:44Z,90000,55.0,124.0,1,left,MISS S. Curry 13' fadeaway Shot,[203552],1610612751.0,BKN,fadeaway,,,Curry,S. Curry,,,,,13.54,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-03-21T23:41:40.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,0,2022-03-21T23:41:44Z,100000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M06.00S,2022-03-21T23:41:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,90.09526938239159,51.470588235294116,1610612762,0,0,2022-03-21T23:41:56Z,110000,7.0,41.0,1,right,MISS D. Mitchell driving floating bank Shot,[1628378],1610612762.0,UTA,driving floating bank,,,Mitchell,D. Mitchell,,,,,4.13,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-03-21T23:41:56.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2022-03-21T23:41:56Z,120000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M53.00S,2022-03-21T23:42:08.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,0,2022-03-21T23:42:08Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2022-03-21T23:42:24.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,17.296320630749015,48.28431372549019,1610612751,2,0,2022-03-21T23:42:28Z,140000,9.0,110.0,1,left,K. Durant 11' pullup Jump Shot (2 PTS) (N. Claxton 1 AST),"[201142, 1629651]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,11.04,Made,,,,,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,
