actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-09T17:10:44.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-09T17:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-09T17:10:48.6Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2022-01-09T17:10:48Z,40000,,,0,,Jump Ball J. Poeltl vs. N. Claxton: Tip to D. Murray,"[1627749, 1627751, 1629651]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-09T17:11:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629022,28.07161629434954,77.45098039215686,1610612759,0,0,2022-01-09T17:11:08Z,70000,-137.0,211.0,1,left,MISS L. Walker IV 25' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-01-09T17:11:08.3Z,1,REGULAR,rebound,defensive,[],1630561,,,1610612751,0,0,2022-01-09T17:11:08Z,80000,,,0,,D. Duke Jr. REBOUND (Off:0 Def:1),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-01-09T17:11:17.9Z,1,REGULAR,foul,offensive,[],1630561,,,1610612751,0,0,2022-01-09T17:11:29Z,90000,,,0,,D. Duke Jr. offensive FOUL (1 PF),"[1630561, 1630563]",1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,1179.0,1.0,0.0,Primo,1630563.0,,,,,,,,,,
11,PT11M28.00S,2022-01-09T17:11:17.9Z,1,REGULAR,turnover,offensive foul,[],1630561,,,1610612751,0,0,2022-01-09T17:11:17Z,110000,,,0,,D. Duke Jr. offensive foul TURNOVER (1 TO),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,1179.0,,,,,1.0,,,,,,,,,
12,PT11M10.00S,2022-01-09T17:11:46.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627751,13.091327201051248,61.029411764705884,1610612759,0,0,2022-01-09T17:11:55Z,120000,-55.0,71.0,1,left,MISS J. Poeltl 8' turnaround Hook,[1627751],1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,8.96,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2022-01-09T17:11:49.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,0,2022-01-09T17:11:55Z,130000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M02.00S,2022-01-09T17:11:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,66.96780551905388,41.42156862745098,1610612751,3,0,2022-01-09T17:11:59Z,140000,-43.0,258.0,1,right,K. Durant 26' 3PT  (3 PTS) (J. Harden 1 AST),"[201142, 201935]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,26.15,Made,,,,,,,,,,,3.0,J. Harden,201935.0,1.0,,,,,
16,PT10M49.00S,2022-01-09T17:12:07.4Z,1,REGULAR,3pt,Jump Shot,[],1629022,32.14520367936925,34.80392156862745,1610612759,3,3,2022-01-09T17:12:16Z,160000,76.0,250.0,1,left,L. Walker IV 26' 3PT  (3 PTS) (D. Murray 1 AST),"[1629022, 1627749]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,26.1,Made,,,,,,,,,,,3.0,D. Murray,1627749.0,1.0,,,,,
18,PT10M24.00S,2022-01-09T17:12:34.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,3,3,2022-01-09T17:12:34Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2022-01-09T17:12:54.3Z,1,REGULAR,3pt,Jump Shot,[],201988,70.12155059132719,25.98039215686275,1610612751,3,3,2022-01-09T17:12:58Z,190000,-120.0,228.0,1,right,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2022-01-09T17:12:57.3Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,3,3,2022-01-09T17:12:58Z,200000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M09.00S,2022-01-09T17:13:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,5.995400788436268,50.73529411764706,1610612759,3,3,2022-01-09T17:13:10Z,210000,-4.0,4.0,1,left,MISS K. Bates-Diop cutting finger roll Layup,[1628966],1610612759.0,SAS,cutting finger roll,,,Bates-Diop,K. Bates-Diop,,,,,0.54,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M05.00S,2022-01-09T17:13:11.0Z,1,REGULAR,rebound,defensive,[],1630561,,,1610612751,3,3,2022-01-09T17:13:10Z,220000,,,0,,D. Duke Jr. REBOUND (Off:0 Def:2),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
23,PT09M49.00S,2022-01-09T17:13:25.7Z,1,REGULAR,2pt,Jump Shot,[],201935,77.4802890932983,41.911764705882355,1610612751,5,3,2022-01-09T17:13:30Z,230000,-40.0,159.0,1,right,J. Harden 16' step back Jump Shot (2 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,16.42,Made,,,,,,,,,,,2.0,,,,,,,,
24,PT09M32.00S,2022-01-09T17:13:46.2Z,1,REGULAR,turnover,out-of-bounds,[],1628966,,,1610612759,5,3,2022-01-09T17:13:57Z,240000,,,0,,K. Bates-Diop bad pass out-of-bounds TURNOVER (1 TO),[1628966],1610612759.0,SAS,bad pass,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,1179.0,,,,,1.0,,,,,,,,,
25,PT09M17.00S,2022-01-09T17:14:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630561,90.75229960578186,58.57843137254902,1610612751,5,3,2022-01-09T17:14:12Z,250000,43.0,34.0,1,right,MISS D. Duke Jr. driving Layup,[1630561],1610612751.0,BKN,driving,,,Duke Jr.,D. Duke Jr.,,,,,5.5,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M15.00S,2022-01-09T17:14:09.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,5,3,2022-01-09T17:14:12Z,260000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M08.00S,2022-01-09T17:14:17.1Z,1,REGULAR,2pt,Jump Shot,[],1627749,5.863994743758213,71.81372549019608,1610612759,5,3,2022-01-09T17:14:23Z,270000,-109.0,3.0,1,left,MISS D. Murray 10' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,10.91,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M05.00S,2022-01-09T17:14:20.3Z,1,REGULAR,rebound,offensive,[],1629022,,,1610612759,5,3,2022-01-09T17:14:20Z,280000,,,0,,L. Walker IV REBOUND (Off:1 Def:0),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
29,PT09M02.00S,2022-01-09T17:14:22.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629022,14.273981603153747,59.55882352941176,1610612759,5,5,2022-01-09T17:14:51Z,290000,-48.0,82.0,1,left,L. Walker IV 9' floating Jump Shot (5 PTS),[1629022],1610612759.0,SAS,floating,,,Walker IV,L. Walker IV,,,,,9.47,Made,,,,,,,,,,,5.0,,,,,,,,
30,PT08M52.00S,2022-01-09T17:14:33.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,93.51182654402102,48.77450980392157,1610612751,7,5,2022-01-09T17:14:39Z,300000,-6.0,8.0,1,right,N. Claxton cutting DUNK (2 PTS) (J. Harden 2 AST),"[1629651, 201935]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,1.05,Made,,,,,,,,,,,2.0,J. Harden,201935.0,2.0,,,,,
32,PT08M35.00S,2022-01-09T17:14:50.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630563,16.376478318002626,45.34313725490196,1610612759,7,5,2022-01-09T17:14:54Z,320000,23.0,101.0,1,left,MISS J. Primo 10' pullup Shot - blocked,"[1630563, 201988]",1610612759.0,SAS,pullup,,,Primo,J. Primo,,,,,10.4,Missed,,,,,,,,,,,,,,,Mills,201988.0,,,
33,PT08M35.00S,2022-01-09T17:14:50.4Z,1,REGULAR,block,,[],201988,,,1610612759,7,5,2022-01-09T17:14:53Z,330000,,,0,,P. Mills BLOCK (1 BLK),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M32.00S,2022-01-09T17:14:53.4Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,7,5,2022-01-09T17:14:54Z,340000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
35,PT08M31.00S,2022-01-09T17:14:54.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629651,93.77463863337714,51.9607843137255,1610612751,9,5,2022-01-09T17:14:59Z,350000,10.0,6.0,1,right,N. Claxton running DUNK (4 PTS) (P. Mills 1 AST),"[1629651, 201988]",1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,1.15,Made,,,,,,,,,,,4.0,P. Mills,201988.0,1.0,,,,,
37,PT08M13.00S,2022-01-09T17:15:11.9Z,1,REGULAR,2pt,Jump Shot,[],1629022,24.917871222076215,49.26470588235294,1610612759,9,5,2022-01-09T17:15:17Z,370000,4.0,182.0,1,left,MISS L. Walker IV 18' pullup Shot,[1629022],1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,18.17,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M12.00S,2022-01-09T17:15:12.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,9,5,2022-01-09T17:15:17Z,380000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,
39,PT08M12.00S,2022-01-09T17:15:17.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,9,5,2022-01-09T17:15:17Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M04.00S,2022-01-09T17:15:34.8Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,9,5,2022-01-09T17:15:38Z,400000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1627751]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,1.0,,,,,,,Poeltl,1627751.0,
41,PT08M04.00S,2022-01-09T17:15:34.8Z,1,REGULAR,steal,,[],1627751,,,1610612759,9,5,2022-01-09T17:15:36Z,410000,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M55.00S,2022-01-09T17:15:43.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630563,8.886333771353483,47.30392156862745,1610612759,9,5,2022-01-09T17:15:48Z,420000,13.0,31.0,1,left,MISS J. Primo driving Layup - blocked,"[1630563, 1630561]",1610612759.0,SAS,driving,,,Primo,J. Primo,,,,,3.38,Missed,,,,,,,,,,,,,,,Duke Jr.,1630561.0,,,
43,PT07M55.00S,2022-01-09T17:15:43.6Z,1,REGULAR,block,,[],1630561,,,1610612759,9,5,2022-01-09T17:15:46Z,430000,,,0,,D. Duke Jr. BLOCK (1 BLK),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M51.00S,2022-01-09T17:15:47.6Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,9,5,2022-01-09T17:15:48Z,440000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
45,PT07M50.00S,2022-01-09T17:15:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627751,7.5722733245729295,49.26470588235294,1610612759,9,5,2022-01-09T17:15:57Z,450000,4.0,19.0,1,left,MISS J. Poeltl putback Layup - blocked,"[1627751, 201142]",1610612759.0,SAS,putback,,,Poeltl,J. Poeltl,,,,,1.91,Missed,,,,,,,,,,,,,,,Durant,201142.0,,,
49,PT07M50.00S,2022-01-09T17:15:48.0Z,1,REGULAR,block,,[],201142,,,1610612759,9,5,2022-01-09T17:15:57Z,455000,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M48.00S,2022-01-09T17:15:50.0Z,1,REGULAR,rebound,defensive,[],1630561,,,1610612751,9,5,2022-01-09T17:15:57Z,460000,,,0,,D. Duke Jr. REBOUND (Off:0 Def:3),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
47,PT07M47.00S,2022-01-09T17:15:51.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201988,69.46452036793693,26.47058823529412,1610612751,9,5,2022-01-09T17:18:07Z,470000,-118.0,235.0,1,right,MISS P. Mills 26' running pullup 3PT,[201988],1610612751.0,BKN,running pullup,,,Mills,P. Mills,,,,,26.23,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M44.00S,2022-01-09T17:15:54.9Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,9,5,2022-01-09T17:16:36Z,480000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:2),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
50,PT07M38.00S,2022-01-09T17:16:00.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,33.065045992115635,47.30392156862745,1610612759,9,5,2022-01-09T17:16:04Z,490000,13.0,258.0,1,left,MISS D. Murray 25' pullup 3PT,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
