actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-08T00:46:04.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-08T00:46:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-08T00:46:07.8Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2022-01-08T00:46:07Z,40000,,,0,,Jump Ball N. Claxton vs. B. Portis: Tip to K. Durant,"[201142, 1629651, 1626171]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Claxton,1629651.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-08T00:46:18.5Z,1,REGULAR,3pt,Jump Shot,[],201988,32.276609724047304,51.470588235294116,1610612751,0,0,2022-01-08T00:46:23Z,70000,-7.0,251.0,1,left,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-01-08T00:46:21.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,0,2022-01-08T00:46:23Z,80000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-01-08T00:46:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202083,87.99277266754271,56.372549019607845,1610612749,0,2,2022-01-08T00:46:52Z,90000,32.0,60.0,1,right,W. Matthews 6' fadeaway Jump Shot (2 PTS),[202083],1610612749.0,MIL,fadeaway,,,Matthews,W. Matthews,,,,,6.83,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M32.00S,2022-01-08T00:46:37.7Z,1,REGULAR,foul,personal,['1freethrow'],1630561,,,1610612749,0,2,2022-01-08T00:46:50Z,100000,,,0,,D. Duke Jr. shooting personal FOUL (1 PF) (Matthews 1 FT),"[1630561, 202083]",1610612751.0,BKN,shooting,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,1199.0,1.0,0.0,Matthews,202083.0,,,,,,,,,
12,PT11M32.00S,2022-01-08T00:46:56.9Z,1,REGULAR,freethrow,1 of 1,[],202083,,,1610612749,0,2,2022-01-08T00:46:58Z,120000,,,0,,MISS W. Matthews Free Throw 1 of 1,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M29.00S,2022-01-08T00:46:59.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,0,2,2022-01-08T00:46:58Z,130000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-01-08T00:47:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630561,7.178055190538765,48.03921568627451,1610612751,2,2,2022-01-08T00:48:23Z,140000,10.0,15.0,1,left,D. Duke Jr. driving finger roll Layup (2 PTS),[1630561],1610612751.0,BKN,driving finger roll,,,Duke Jr.,D. Duke Jr.,,,,,1.79,Made,,,,,2.0,,,,,,,,,,,,,,
15,PT10M50.00S,2022-01-08T00:47:38.3Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,2,2,2022-01-08T00:47:42Z,150000,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1629651]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,1.0,Claxton,1629651.0,,,,,,
