actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-18T00:40:30.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-18T00:40:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-18T00:40:33.2Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2022-02-18T00:40:33Z,40000,,,0,,Jump Ball A. Drummond vs. T. Bryant: Tip to B. Brown,"[1628971, 203083, 1628418]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Drummond,203083.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-02-18T00:40:43.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203083,94.1688567674113,54.41176470588235,1610612751,0,0,2022-02-18T00:40:47Z,70000,22.0,2.0,1,right,MISS A. Drummond turnaround bank Hook,[203083],1610612751.0,BKN,turnaround bank,,,Drummond,A. Drummond,,,,,2.22,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-02-18T00:40:46.1Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,0,0,2022-02-18T00:40:47Z,80000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-02-18T00:41:06.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,34.37910643889619,25.735294117647058,1610612764,0,0,2022-02-18T00:41:13Z,90000,121.0,271.0,1,left,MISS K. Kuzma 29' pullup 3PT,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,29.66,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-02-18T00:41:06.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,0,2022-02-18T00:41:13Z,100000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2022-02-18T00:41:11.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,0,2022-02-18T00:41:11Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-02-18T00:41:30.1Z,1,REGULAR,2pt,Jump Shot,[],203552,79.05716162943496,69.11764705882352,1610612751,0,0,2022-02-18T00:41:34Z,120000,96.0,144.0,1,right,MISS S. Curry 17' pullup Shot,[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,17.32,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-02-18T00:41:34.1Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,0,0,2022-02-18T00:41:34Z,130000,,,0,,R. Neto REBOUND (Off:0 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M53.00S,2022-02-18T00:41:44.3Z,1,REGULAR,2pt,Jump Shot,[],1628418,17.16491458607096,18.38235294117647,1610612764,0,2,2022-02-18T00:41:47Z,140000,158.0,109.0,1,left,T. Bryant 19' pullup Jump Shot (2 PTS),[1628418],1610612764.0,WAS,pullup,,,Bryant,T. Bryant,,,,,19.2,Made,,,,,2.0,,,,,,,,,,,,,,
