actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-17T00:32:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-17T00:32:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-17T00:32:30.0Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2021-11-17T00:32:30Z,40000,,,0,,Jump Ball B. Griffin vs. K. Looney: Tip to K. Durant,"[201142, 201933, 1626172]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Griffin,201933.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-17T00:32:45.4Z,1,REGULAR,foul,personal,[],1629673,,,1610612751,0,0,2021-11-17T00:33:00Z,70000,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 201988]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,203591.0,1.0,0.0,Mills,201988.0,,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-11-17T00:33:05.4Z,1,REGULAR,3pt,Jump Shot,[],201988,66.70499342969777,34.55882352941176,1610612751,3,0,2021-11-17T00:33:09Z,90000,-77.0,260.0,1,right,P. Mills 27' 3PT pullup (3 PTS) (B. Griffin 1 AST),"[201988, 201933]",1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,,,,,,27.17,Made,3.0,B. Griffin,201933.0,1.0,,,,,,,,,,
11,PT11M16.00S,2021-11-17T00:33:28.1Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612744,3,0,2021-11-17T00:33:41Z,110000,,,0,,B. Brown shooting personal FOUL (1 PF) (Looney 2 FT),"[1628971, 1626172]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,203593.0,1.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,,
13,PT11M16.00S,2021-11-17T00:33:53.5Z,1,REGULAR,freethrow,1 of 2,[],1626172,,,1610612744,3,1,2021-11-17T00:33:53Z,130000,,,0,,K. Looney Free Throw 1 of 2 (1 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
14,PT11M16.00S,2021-11-17T00:34:05.1Z,1,REGULAR,freethrow,2 of 2,[],1626172,,,1610612744,3,2,2021-11-17T00:34:05Z,140000,,,0,,K. Looney Free Throw 2 of 2 (2 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
15,PT11M08.00S,2021-11-17T00:34:16.4Z,1,REGULAR,turnover,traveling,[],201935,,,1610612751,3,2,2021-11-17T00:34:22Z,150000,,,0,,J. Harden traveling TURNOVER (1 TO),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,2715.0,,,,,,,,,,,1.0,,,,,,,,,
16,PT10M56.00S,2021-11-17T00:34:43.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203952,16.507884362680684,47.549019607843135,1610612744,3,2,2021-11-17T00:34:48Z,160000,12.0,103.0,1,left,MISS A. Wiggins 10' floating Shot,[203952],1610612744.0,GSW,floating,,,Wiggins,A. Wiggins,,,,,,,,,,10.34,Missed,,,,,,,,,,,,,,
17,PT10M54.00S,2021-11-17T00:34:45.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,3,2,2021-11-17T00:34:48Z,170000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
