actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-28T00:41:07.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T00:41:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-28T00:41:09.4Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-11-28T00:41:09Z,40000,,,0,,Jump Ball D. Ayton vs. L. Aldridge: Tip to C. Paul,"[101108, 1629028, 200746]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Aldridge,200746.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-28T00:41:22.1Z,1,REGULAR,3pt,Jump Shot,[],101108,78.66294349540078,9.558823529411764,1610612756,0,0,2021-11-28T00:41:26Z,70000,-202.0,148.0,1,right,MISS C. Paul 25' 3PT,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,25.06,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-28T00:41:26.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,0,2021-11-28T00:41:26Z,80000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-11-28T00:41:29.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,29.38567674113009,72.54901960784314,1610612751,0,0,2021-11-28T00:41:46Z,90000,-113.0,224.0,1,left,MISS K. Durant 25' running pullup 3PT,[201142],1610612751.0,BKN,running pullup,,,Durant,K. Durant,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2021-11-28T00:41:31.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2021-11-28T00:41:46Z,100000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M27.00S,2021-11-28T00:41:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,81.15965834428384,48.529411764705884,1610612756,0,2,2021-11-28T00:41:49Z,110000,-7.0,125.0,1,right,D. Booker 12' driving floating Jump Shot (2 PTS),[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,12.48,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M18.00S,2021-11-28T00:41:48.4Z,1,REGULAR,turnover,bad pass,[],200746,,,1610612751,0,2,2021-11-28T00:41:53Z,120000,,,0,,L. Aldridge bad pass TURNOVER (1 TO),"[200746, 1628969]",1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,1.0,Bridges,1628969.0,,,,,,,,,,,
13,PT11M18.00S,2021-11-28T00:41:48.4Z,1,REGULAR,steal,,[],1628969,,,1610612756,0,2,2021-11-28T00:41:51Z,130000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2021-11-28T00:41:53.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203109,72.22404730617609,18.137254901960784,1610612756,0,2,2021-11-28T00:41:58Z,140000,-159.0,209.0,1,right,MISS J. Crowder 26' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2021-11-28T00:41:56.1Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,0,2,2021-11-28T00:41:56Z,150000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
16,PT11M02.00S,2021-11-28T00:42:05.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203109,92.46057818659659,96.32352941176471,1610612756,0,2,2021-11-28T00:42:09Z,160000,232.0,18.0,1,right,MISS J. Crowder 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,23.23,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M58.00S,2021-11-28T00:42:09.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,0,2,2021-11-28T00:42:09Z,170000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M54.00S,2021-11-28T00:42:12.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627761,6.258212877792378,48.28431372549019,1610612751,2,2,2021-11-28T00:42:33Z,180000,9.0,6.0,1,left,D. Bembry running DUNK (2 PTS) (J. Harden 1 AST),"[1627761, 201935]",1610612751.0,BKN,running,,,Bembry,D. Bembry,,,,,1.07,Made,,,,,2.0,,,,J. Harden,201935.0,1.0,,,,,,,,
20,PT10M40.00S,2021-11-28T00:42:29.2Z,1,REGULAR,foul,personal,['2freethrow'],201935,,,1610612756,2,2,2021-11-28T00:42:55Z,200000,,,0,,J. Harden shooting personal FOUL (1 PF) (Booker 2 FT),"[201935, 1626164]",1610612751.0,BKN,shooting,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Booker,1626164.0,,,
22,PT10M40.00S,2021-11-28T00:42:59.7Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,2,3,2021-11-28T00:42:59Z,220000,,,0,,D. Booker Free Throw 1 of 2 (3 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
23,PT10M40.00S,2021-11-28T00:43:12.1Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,2,4,2021-11-28T00:43:12Z,230000,,,0,,D. Booker Free Throw 2 of 2 (4 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
24,PT10M19.00S,2021-11-28T00:43:38.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627761,5.469776609724048,51.225490196078425,1610612751,4,4,2021-11-28T00:43:42Z,240000,-6.0,-1.0,1,left,D. Bembry cutting DUNK (4 PTS) (K. Durant 1 AST),"[1627761, 201142]",1610612751.0,BKN,cutting,,,Bembry,D. Bembry,,,,,0.62,Made,,,,,4.0,,,,K. Durant,201142.0,1.0,,,,,,,,
26,PT09M59.00S,2021-11-28T00:43:57.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,93.38042049934296,97.30392156862744,1610612756,4,7,2021-11-28T00:44:02Z,260000,237.0,10.0,1,right,D. Booker 3PT  (7 PTS) (J. Crowder 1 AST),"[1626164, 203109]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,23.67,Made,,,,,7.0,,,,J. Crowder,203109.0,1.0,,,,,,,,
28,PT09M41.00S,2021-11-28T00:44:15.2Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612751,4,7,2021-11-28T00:44:23Z,280000,,,0,,K. Durant lost ball TURNOVER (1 TO),"[201142, 203109]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,1.0,Crowder,203109.0,,,,,,,,,,,
29,PT09M41.00S,2021-11-28T00:44:15.2Z,1,REGULAR,steal,,[],203109,,,1610612756,4,7,2021-11-28T00:44:18Z,290000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2021-11-28T00:44:20.2Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",101108,79.05716162943496,48.77450980392157,1610612756,4,9,2021-11-28T00:44:42Z,300000,-6.0,144.0,1,right,C. Paul 14' running pullup Jump Shot (2 PTS),[101108],1610612756.0,PHX,running pullup,,,Paul,C. Paul,,,,,14.45,Made,,,,,2.0,,,,,,,,,,,,,,
31,PT09M20.00S,2021-11-28T00:44:36.3Z,1,REGULAR,2pt,Jump Shot,[],200746,21.369908015768726,71.81372549019608,1610612751,6,9,2021-11-28T00:44:54Z,310000,-109.0,148.0,1,left,L. Aldridge 18' Jump Shot (2 PTS) (J. Harden 2 AST),"[200746, 201935]",1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,18.42,Made,,,,,2.0,,,,J. Harden,201935.0,2.0,,,,,,,,
33,PT09M06.00S,2021-11-28T00:44:51.1Z,1,REGULAR,2pt,Jump Shot,[],1628969,87.33574244415243,30.392156862745097,1610612756,6,11,2021-11-28T00:44:57Z,330000,-98.0,67.0,1,right,M. Bridges 11' turnaround fadeaway Jump Shot (2 PTS),[1628969],1610612756.0,PHX,turnaround fadeaway,,,Bridges,M. Bridges,,,,,11.84,Made,,,,,2.0,,,,,,,,,,,,,,
