actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-31T00:11:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-31T00:11:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-12-31T00:11:40.0Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612755,0,0,2021-12-31T00:11:43Z,40000,,,0,,Jump Ball J. Embiid vs. L. Aldridge: Tip to S. Curry,"[203552, 203954, 200746]",1610612755.0,PHI,startperiod,S. Curry,203552.0,Curry,S. Curry,Embiid,203954.0,Aldridge,200746.0,,,,,,,,,,,,,,,,,,,,
49,PT11M42.00S,2021-12-31T00:11:41.2Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,0,0,2021-12-31T00:20:04Z,80000,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,1.0,Harden,201935.0,,,,,,,,,,,,,,,,,
50,PT11M42.00S,2021-12-31T00:11:41.2Z,1,REGULAR,steal,,[],201935,,,1610612751,0,0,2021-12-31T00:18:39Z,90000,,,0,,J. Harden STEAL (1 STL),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2021-12-31T00:12:05.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201935,90.75229960578186,42.40196078431372,1610612751,0,0,2021-12-31T00:21:49Z,100000,-38.0,34.0,1,right,MISS J. Harden driving Layup,[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,,,,5.13,Missed,,,,,,,,,,,,,,,
11,PT11M34.00S,2021-12-31T00:12:07.5Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2021-12-31T00:21:49Z,110000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,
12,PT11M32.00S,2021-12-31T00:12:09.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629651,94.40999984741211,50.0,1610612751,2,0,2021-12-31T00:22:02Z,120000,0.0,0.0,1,right,N. Claxton putback Layup (2 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,,,,0.0,Made,,,,,2.0,,,,,,,,,,
13,PT11M18.00S,2021-12-31T00:12:20.3Z,1,REGULAR,3pt,Jump Shot,[],203954,31.750985545335087,42.15686274509804,1610612755,2,3,2021-12-31T00:12:30Z,130000,39.0,246.0,1,left,J. Embiid 24' 3PT  (3 PTS) (S. Curry 1 AST),"[203954, 203552]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,24.91,Made,,,,,3.0,S. Curry,203552.0,1.0,,,,,,,
15,PT10M58.00S,2021-12-31T00:12:39.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,85.3646517739816,44.6078431372549,1610612751,2,3,2021-12-31T00:12:46Z,150000,-27.0,85.0,1,right,MISS J. Harden 8' driving floating Shot,[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,,,,8.93,Missed,,,,,,,,,,,,,,,
16,PT10M57.00S,2021-12-31T00:12:40.7Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,3,2021-12-31T00:12:46Z,160000,,,0,,N. Claxton REBOUND (Off:2 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,15.0,2.0,0.0,2.0,,,,,,,,,,,
