actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-31T23:40:47.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-31T23:40:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-31T23:40:49.7Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2021-10-31T23:40:49Z,40000,,,0,,Jump Ball B. Griffin vs. I. Stewart: Tip to K. Durant,"[201142, 201933, 1630191]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Griffin,201933.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-31T23:41:04.5Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612751,0,0,2021-10-31T23:41:16Z,70000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Griffin 2 FT),"[1630191, 201933]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,1626302.0,1.0,0.0,Griffin,201933.0,,,,,,,,,,,,,,,,
9,PT11M45.00S,2021-10-31T23:41:25.7Z,1,REGULAR,freethrow,1 of 2,[],201933,,,1610612751,0,0,2021-10-31T23:41:25Z,90000,,,0,,MISS B. Griffin Free Throw 1 of 2,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M45.00S,2021-10-31T23:41:25.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,0,0,2021-10-31T23:41:25Z,100000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M45.00S,2021-10-31T23:41:40.2Z,1,REGULAR,freethrow,2 of 2,[],201933,,,1610612751,1,0,2021-10-31T23:41:40Z,110000,,,0,,B. Griffin Free Throw 2 of 2 (1 PTS),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M26.00S,2021-10-31T23:41:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,6.389618922470433,50.245098039215684,1610612765,1,2,2021-10-31T23:42:04Z,120000,-1.0,8.0,1,left,J. Grant driving reverse Layup (2 PTS),[203924],1610612765.0,DET,driving reverse,,,Grant,J. Grant,,,,,,,,,,Made,,2.0,0.77,,,,,,,,,,,,
13,PT11M11.00S,2021-10-31T23:42:13.9Z,1,REGULAR,3pt,Jump Shot,[],201933,73.9323258869908,16.666666666666664,1610612751,1,2,2021-10-31T23:42:18Z,130000,-167.0,193.0,1,right,MISS B. Griffin 25' step back 3PT,[201933],1610612751.0,BKN,step back,,,Griffin,B. Griffin,,,,,,,,,,Missed,,,25.46,,,,,,,,,,,,
14,PT11M08.00S,2021-10-31T23:42:16.9Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,1,2,2021-10-31T23:42:18Z,140000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,13.0,,,1.0,1.0,0.0,,,,,,,,,
15,PT10M51.00S,2021-10-31T23:42:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628977,17.95335085413929,45.09803921568628,1610612765,1,2,2021-10-31T23:42:40Z,150000,25.0,116.0,1,left,MISS H. Diallo 11' fadeaway Shot,[1628977],1610612765.0,DET,fadeaway,,,Diallo,H. Diallo,,,,,,,,,,Missed,,,11.89,,,,,,,,,,,,
16,PT10M46.00S,2021-10-31T23:42:39.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,1,2,2021-10-31T23:42:40Z,160000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,15.0,,,1.0,1.0,0.0,,,,,,,,,
17,PT10M35.00S,2021-10-31T23:42:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,84.97043363994744,37.99019607843137,1610612751,3,2,2021-10-31T23:43:10Z,170000,-60.0,89.0,1,right,K. Durant 10' driving floating Jump Shot (2 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,driving floating,,,Durant,K. Durant,,,,,,,,,,Made,,2.0,10.72,,,,B. Brown,1628971.0,1.0,,,,,,
19,PT10M11.00S,2021-10-31T23:43:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,6.258212877792378,49.754901960784316,1610612765,3,4,2021-10-31T23:43:19Z,190000,1.0,6.0,1,left,K. Hayes driving finger roll Layup (2 PTS),[1630165],1610612765.0,DET,driving finger roll,,,Hayes,K. Hayes,,,,,,,,,,Made,,2.0,0.64,,,,,,,,,,,,
20,PT09M55.00S,2021-10-31T23:43:37.2Z,1,REGULAR,foul,personal,[],203924,,,1610612751,3,4,2021-10-31T23:43:42Z,200000,,,0,,J. Grant personal FOUL (1 PF),"[203924, 201933]",1610612765.0,DET,,,,Grant,J. Grant,,,,,202053.0,1.0,0.0,Griffin,201933.0,,,,,,,,,,,,,,,,
22,PT09M49.00S,2021-10-31T23:43:58.7Z,1,REGULAR,2pt,Jump Shot,[],203925,80.23981603153744,69.6078431372549,1610612751,5,4,2021-10-31T23:44:03Z,220000,98.0,133.0,1,right,J. Harris 16' pullup Jump Shot (2 PTS),[203925],1610612751.0,BKN,pullup,,,Harris,J. Harris,,,,,,,,,,Made,,2.0,16.54,,,,,,,,,,,,
23,PT09M34.00S,2021-10-31T23:44:12.6Z,1,REGULAR,2pt,Jump Shot,[],203924,24.78646517739816,49.26470588235294,1610612765,5,4,2021-10-31T23:44:17Z,230000,4.0,180.0,1,left,MISS J. Grant 18' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,,,Missed,,,18.05,,,,,,,,,,,,
24,PT09M31.00S,2021-10-31T23:44:15.6Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,5,4,2021-10-31T23:44:17Z,240000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,23.0,,,1.0,1.0,0.0,,,,,,,,,
25,PT09M24.00S,2021-10-31T23:44:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,87.72996057818659,57.59803921568627,1610612751,5,4,2021-10-31T23:44:31Z,250000,38.0,63.0,1,right,MISS B. Brown 7' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,,,,,,Missed,,,7.34,,,,,,,,,,,,
26,PT09M21.00S,2021-10-31T23:44:26.0Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,5,4,2021-10-31T23:44:31Z,260000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,25.0,,,1.0,1.0,0.0,,,,,,,,,
27,PT09M14.00S,2021-10-31T23:44:32.6Z,1,REGULAR,3pt,Jump Shot,[],1628977,28.86005256241787,73.77450980392157,1610612765,5,4,2021-10-31T23:44:38Z,270000,-119.0,219.0,1,left,MISS H. Diallo 24' 3PT,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,Missed,,,24.9,,,,,,,,,,,,
