actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-20T00:40:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T00:40:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-20T00:40:29.7Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2021-11-20T00:40:29Z,40000,,,0,,Jump Ball M. Bamba vs. B. Griffin: Tip to C. Anthony,"[1630175, 1628964, 201933]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-20T00:40:40.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,89.56964520367937,48.529411764705884,1610612753,0,0,2021-11-20T00:40:44Z,70000,-7.0,46.0,1,right,MISS C. Anthony driving finger roll Layup - blocked,"[1630175, 1627761]",1610612753.0,ORL,driving finger roll,,,Anthony,C. Anthony,,,,,4.61,Missed,Bembry,1627761.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-20T00:40:40.0Z,1,REGULAR,block,,[],1627761,,,1610612753,0,0,2021-11-20T00:40:42Z,80000,,,0,,D. Bembry BLOCK (1 BLK),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-11-20T00:40:43.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,0,0,2021-11-20T00:40:44Z,90000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M38.00S,2021-11-20T00:40:46.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628971,7.835085413929041,37.00980392156863,1610612751,0,0,2021-11-20T00:42:01Z,100000,65.0,21.0,1,left,MISS B. Brown 6' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,6.83,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2021-11-20T00:40:50.7Z,1,REGULAR,rebound,offensive,[],201933,,,1610612751,0,0,2021-11-20T00:40:51Z,110000,,,0,,B. Griffin REBOUND (Off:1 Def:0),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M34.00S,2021-11-20T00:40:50.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201933,5.590000152587891,50.0,1610612751,2,0,2021-11-20T00:40:50Z,120000,0.0,0.0,1,left,B. Griffin tip Layup (2 PTS),[201933],1610612751.0,BKN,tip,,,Griffin,B. Griffin,,,,,0.0,Made,,,,,,,2.0,,,,,,,,,,,,
13,PT11M20.00S,2021-11-20T00:41:04.4Z,1,REGULAR,3pt,Jump Shot,[],1630591,67.09921156373193,74.26470588235294,1610612753,2,3,2021-11-20T00:41:22Z,130000,121.0,257.0,1,right,J. Suggs 28' 3PT  (3 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,28.4,Made,,,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,
15,PT11M02.00S,2021-11-20T00:41:22.8Z,1,REGULAR,3pt,Jump Shot,[],1627761,17.821944809461236,94.6078431372549,1610612751,2,3,2021-11-20T00:41:26Z,150000,-223.0,115.0,1,left,MISS D. Bembry 25' 3PT,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2021-11-20T00:41:24.8Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,2,3,2021-11-20T00:41:26Z,160000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M53.00S,2021-11-20T00:41:31.7Z,1,REGULAR,3pt,Jump Shot,[],1630532,67.49342969776609,39.46078431372549,1610612753,2,3,2021-11-20T00:41:40Z,170000,-53.0,253.0,1,right,MISS F. Wagner 25' step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M51.00S,2021-11-20T00:41:33.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,2,3,2021-11-20T00:41:40Z,180000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M35.00S,2021-11-20T00:41:49.9Z,1,REGULAR,3pt,Jump Shot,[],201935,11.645860709592641,4.6568627450980395,1610612751,2,3,2021-11-20T00:41:55Z,190000,227.0,57.0,1,left,MISS J. Harden step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,23.38,Missed,,,,,,,,,,,,,,,,,,,
