actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-24T20:12:06.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T20:12:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-24T20:12:09.7Z,1,REGULAR,jumpball,recovered,[],1628975,,,1610612751,0,0,2021-10-24T20:12:09Z,40000,,,0,,Jump Ball N. Claxton vs. M. Plumlee: Tip to J. Carter,"[1628975, 1629651, 203486]",1610612751.0,BKN,startperiod,J. Carter,1628975.0,Carter,J. Carter,Claxton,1629651.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2021-10-24T20:12:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628975,93.38042049934296,49.50980392156863,1610612751,0,0,2021-10-24T20:12:17Z,70000,-2.0,10.0,1,right,MISS J. Carter driving Layup - blocked,"[1628975, 1630163]",1610612751.0,BKN,driving,,,Carter,J. Carter,,,,,1.0,Missed,Ball,1630163.0,,,,,,,,,,,,,,,,
8,PT11M53.00S,2021-10-24T20:12:12.0Z,1,REGULAR,block,,[],1630163,,,1610612751,0,0,2021-10-24T20:12:14Z,80000,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M51.00S,2021-10-24T20:12:14.0Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,0,0,2021-10-24T20:12:17Z,90000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M51.00S,2021-10-24T20:12:22.1Z,1,REGULAR,foul,personal,[],1628975,,,1610612766,0,0,2021-10-24T20:12:35Z,100000,,,0,,J. Carter personal FOUL (1 PF),"[1628975, 1630163]",1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,1204.0,1.0,0.0,Ball,1630163.0,,,,,,,
12,PT11M40.00S,2021-10-24T20:12:43.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,5.338370565045992,50.49019607843137,1610612766,0,2,2021-10-24T20:12:47Z,120000,-2.0,-2.0,1,left,M. Plumlee cutting DUNK (2 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,0.34,Made,,,,,,,,,,,,2.0,L. Ball,1630163.0,1.0,,,
14,PT11M21.00S,2021-10-24T20:13:03.9Z,1,REGULAR,foul,offensive,[],1629651,,,1610612751,0,2,2021-10-24T20:13:11Z,140000,,,0,,N. Claxton offensive FOUL (1 PF),"[1629651, 203486]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,1204.0,1.0,0.0,Plumlee,203486.0,,,,,,,
16,PT11M21.00S,2021-10-24T20:13:03.9Z,1,REGULAR,turnover,offensive foul,[],1629651,,,1610612751,0,2,2021-10-24T20:13:03Z,160000,,,0,,N. Claxton offensive foul TURNOVER (1 TO),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,1204.0,,,,,,,,,1.0,,
17,PT11M09.00S,2021-10-24T20:13:27.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630163,5.863994743758213,47.05882352941176,1610612766,0,4,2021-10-24T20:13:34Z,170000,15.0,3.0,1,left,L. Ball driving finger roll Layup (2 PTS) (G. Hayward 1 AST),"[1630163, 202330]",1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,1.49,Made,,,,,,,,,,,,2.0,G. Hayward,202330.0,1.0,,,
18,PT10M53.00S,2021-10-24T20:13:43.2Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,0,4,2021-10-24T20:13:46Z,180000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 203486]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,1.0,Plumlee,203486.0
19,PT10M53.00S,2021-10-24T20:13:43.2Z,1,REGULAR,steal,,[],203486,,,1610612766,0,4,2021-10-24T20:13:45Z,190000,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2021-10-24T20:13:56.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626162,32.670827858081466,62.254901960784316,1610612766,0,4,2021-10-24T20:14:03Z,200000,-61.0,255.0,1,left,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,
21,PT10M35.00S,2021-10-24T20:14:01.8Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,0,4,2021-10-24T20:14:03Z,210000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M28.00S,2021-10-24T20:14:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,90.3580814717477,47.549019607843135,1610612751,0,4,2021-10-24T20:14:15Z,220000,-12.0,38.0,1,right,MISS N. Claxton Layup - blocked,"[1629651, 203486]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,4.0,Missed,Plumlee,203486.0,,,,,,,,,,,,,,,,
27,PT10M28.00S,2021-10-24T20:14:07.6Z,1,REGULAR,block,,[],203486,,,1610612751,0,4,2021-10-24T20:14:30Z,225000,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M26.00S,2021-10-24T20:14:09.6Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,0,4,2021-10-24T20:14:15Z,230000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,
