actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-04-10T19:45:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-10T19:45:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-10T19:45:29.9Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2022-04-10T19:45:29Z,40000,,,0,,Jump Ball A. Drummond vs. I. Jackson: Tip to B. Brown,"[1628971, 203083, 1630543]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Drummond,203083.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-04-10T19:45:47.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203083,94.03745072273325,49.754901960784316,1610612751,2,0,2022-04-10T19:45:51Z,70000,-1.0,4.0,1,right,A. Drummond cutting DUNK (2 PTS) (K. Durant 1 AST),"[203083, 201142]",1610612751.0,BKN,cutting,,,Drummond,A. Drummond,,,,,0.37,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-04-10T19:46:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,16.507884362680684,65.68627450980392,1610612754,2,0,2022-04-10T19:46:17Z,90000,-78.0,103.0,1,left,MISS T. McConnell 12' fadeaway Shot - blocked,"[204456, 203083]",1610612754.0,IND,fadeaway,,,McConnell,T. McConnell,,,,,12.92,Missed,,,,,Drummond,203083.0,,,,,,,,,,,,,
10,PT11M14.00S,2022-04-10T19:46:11.9Z,1,REGULAR,block,,[],203083,,,1610612754,2,0,2022-04-10T19:46:14Z,100000,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-04-10T19:46:14.9Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,2,0,2022-04-10T19:46:17Z,110000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M06.00S,2022-04-10T19:46:19.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630556,94.43166885676742,51.9607843137255,1610612751,4,0,2022-04-10T19:46:28Z,120000,10.0,0.0,1,right,K. Edwards running Layup (2 PTS) (K. Durant 2 AST),"[1630556, 201142]",1610612751.0,BKN,running,,,Edwards,K. Edwards,,,,,0.98,Made,2.0,K. Durant,201142.0,2.0,,,,,,,,,,,,,,,
14,PT10M57.00S,2022-04-10T19:46:28.7Z,1,REGULAR,3pt,Jump Shot,[],1627741,29.911300919842315,24.754901960784316,1610612754,4,0,2022-04-10T19:46:33Z,140000,126.0,229.0,1,left,MISS B. Hield 26' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2022-04-10T19:46:31.7Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,4,0,2022-04-10T19:46:33Z,150000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,
16,PT10M45.00S,2022-04-10T19:46:40.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,80.76544021024968,58.333333333333336,1610612751,6,0,2022-04-10T19:46:45Z,160000,42.0,128.0,1,right,K. Irving 13' pullup Jump Shot (2 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,13.49,Made,2.0,,,,,,,,,,,,,,,,,,
