actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-04-08T23:40:36.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-08T23:40:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-08T23:40:39.0Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2022-04-08T23:40:39Z,40000,,,0,,Jump Ball A. Drummond vs. E. Mobley: Tip to B. Brown,"[1628971, 203083, 1630596]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Drummond,203083.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-04-08T23:40:52.0Z,1,REGULAR,foul,offensive,[],203083,,,1610612751,0,0,2022-04-08T23:40:59Z,70000,,,0,,A. Drummond offensive FOUL (1 PF),"[203083, 1629636]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,2715.0,1.0,0.0,Garland,1629636.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2022-04-08T23:40:52.0Z,1,REGULAR,turnover,offensive foul,[],203083,,,1610612751,0,0,2022-04-08T23:40:52Z,90000,,,0,,A. Drummond offensive foul TURNOVER (1 TO),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,2715.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M34.00S,2022-04-08T23:41:16.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628374,31.35676741130092,72.79411764705883,1610612739,0,0,2022-04-08T23:41:22Z,100000,-114.0,242.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,26.78,Missed,,,,,,,,,,,,
11,PT11M29.00S,2022-04-08T23:41:21.7Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,0,0,2022-04-08T23:46:22Z,110000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M24.00S,2022-04-08T23:41:26.3Z,1,REGULAR,2pt,Jump Shot,[],202681,74.85216819973719,26.96078431372549,1610612751,0,0,2022-04-08T23:41:46Z,120000,-115.0,184.0,1,right,MISS K. Irving 21' pullup Shot,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,,,,,,,21.7,Missed,,,,,,,,,,,,
13,PT11M23.00S,2022-04-08T23:41:29.9Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,0,0,2022-04-08T23:41:29Z,130000,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,
14,PT11M23.00S,2022-04-08T23:41:30.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,94.03745072273325,56.127450980392155,1610612751,0,0,2022-04-08T23:41:51Z,140000,31.0,4.0,1,right,MISS B. Brown putback Layup - blocked,"[1628971, 1627747]",1610612751.0,BKN,putback,,,Brown,B. Brown,,,,,,,,,,,3.08,Missed,,,,,LeVert,1627747.0,,,,,,
15,PT11M23.00S,2022-04-08T23:41:30.4Z,1,REGULAR,block,,[],1627747,,,1610612751,0,0,2022-04-08T23:41:32Z,150000,,,0,,C. LeVert BLOCK (1 BLK),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
