actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-15T00:40:44.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-15T00:40:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-15T00:40:47.3Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2022-02-15T00:40:47Z,40000,,,0,,Jump Ball A. Drummond vs. D. Sabonis: Tip to B. Brown,"[1628971, 203083, 1627734]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Drummond,203083.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-02-15T00:40:59.8Z,1,REGULAR,3pt,Jump Shot,[],201988,72.48685939553219,20.34313725490196,1610612751,0,0,2022-02-15T00:41:04Z,70000,-148.0,206.0,1,right,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.39,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-15T00:41:02.8Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2022-02-15T00:41:04Z,80000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-02-15T00:41:18.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,5.206964520367937,95.83333333333334,1610612758,0,0,2022-02-15T00:41:24Z,90000,-229.0,-4.0,1,left,MISS D. Fox 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-02-15T00:41:22.5Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,0,2022-02-15T00:41:24Z,100000,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-02-15T00:41:23.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203200,31.750985545335087,49.01960784313725,1610612758,0,0,2022-02-15T00:41:27Z,110000,5.0,246.0,1,left,MISS J. Holiday 24' 3PT,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-02-15T00:41:26.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,0,0,2022-02-15T00:41:26Z,120000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-02-15T00:41:32.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628971,89.30683311432325,46.32352941176471,1610612751,2,0,2022-02-15T00:45:19Z,130000,-18.0,48.0,1,right,B. Brown driving floating Jump Shot (2 PTS) (S. Curry 1 AST),"[1628971, 203552]",1610612751.0,BKN,driving floating,,,Brown,B. Brown,,,,,5.14,Made,,,,,2.0,S. Curry,203552.0,1.0,,,,,,,,,,,
15,PT10M58.00S,2022-02-15T00:41:48.6Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,2,0,2022-02-15T00:41:58Z,150000,,,0,,D. Sabonis bad pass out-of-bounds TURNOVER (1 TO),[1627734],1610612758.0,SAC,bad pass,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,1628172.0,1.0,,,,,,,,,
16,PT10M39.00S,2022-02-15T00:42:08.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630556,86.67871222076215,60.29411764705882,1610612751,2,0,2022-02-15T00:42:14Z,160000,51.0,73.0,1,right,MISS K. Edwards 8' driving floating Shot,[1630556],1610612751.0,BKN,driving floating,,,Edwards,K. Edwards,,,,,8.91,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2022-02-15T00:42:11.7Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,2,0,2022-02-15T00:42:14Z,170000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M30.00S,2022-02-15T00:42:18.5Z,1,REGULAR,3pt,Jump Shot,[],1627734,29.6484888304862,70.09803921568627,1610612758,2,0,2022-02-15T00:42:25Z,180000,-100.0,226.0,1,left,MISS D. Sabonis 24' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-02-15T00:42:23.5Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612751,2,0,2022-02-15T00:42:25Z,190000,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M17.00S,2022-02-15T00:42:33.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,2,0,2022-02-15T00:42:33Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2022-02-15T00:42:58.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,2,0,2022-02-15T00:42:58Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2022-02-15T00:43:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,94.03745072273325,45.83333333333333,1610612751,2,0,2022-02-15T00:43:15Z,220000,-21.0,4.0,1,right,MISS A. Drummond driving Layup,[203083],1610612751.0,BKN,driving,,,Drummond,A. Drummond,,,,,2.11,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2022-02-15T00:43:13.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2022-02-15T00:43:15Z,230000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
24,PT09M52.00S,2022-02-15T00:43:21.5Z,1,REGULAR,3pt,Jump Shot,[],203084,32.14520367936925,36.76470588235294,1610612758,2,0,2022-02-15T00:43:30Z,240000,66.0,250.0,1,left,MISS H. Barnes 25' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M48.00S,2022-02-15T00:43:25.5Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,2,0,2022-02-15T00:43:30Z,250000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M42.00S,2022-02-15T00:43:31.5Z,1,REGULAR,2pt,Jump Shot,[],203552,87.99277266754271,75.73529411764706,1610612751,4,0,2022-02-15T00:43:54Z,260000,129.0,60.0,1,right,S. Curry 14' pullup Jump Shot (2 PTS),[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,14.22,Made,,,,,2.0,,,,,,,,,,,,,,
27,PT09M31.00S,2022-02-15T00:43:43.0Z,1,REGULAR,2pt,Jump Shot,[],1628368,23.340998685939553,58.82352941176471,1610612758,4,2,2022-02-15T00:43:55Z,270000,-44.0,167.0,1,left,D. Fox 17' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,17.26,Made,,,,,2.0,,,,,,,,,,,,,,
28,PT09M18.00S,2022-02-15T00:44:01.8Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612751,4,2,2022-02-15T00:44:14Z,280000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Drummond 2 FT),"[1627734, 203083]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,1193.0,,1.0,0.0,Drummond,203083.0,,,,,
30,PT09M18.00S,2022-02-15T00:44:23.9Z,1,REGULAR,freethrow,1 of 2,[],203083,,,1610612751,5,2,2022-02-15T00:44:23Z,300000,,,0,,A. Drummond Free Throw 1 of 2 (1 PTS),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
31,PT09M18.00S,2022-02-15T00:44:40.4Z,1,REGULAR,freethrow,2 of 2,[],203083,,,1610612751,6,2,2022-02-15T00:44:40Z,310000,,,0,,A. Drummond Free Throw 2 of 2 (2 PTS),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
32,PT09M08.00S,2022-02-15T00:44:53.2Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,6,2,2022-02-15T00:45:03Z,320000,,,0,,D. Sabonis bad pass TURNOVER (2 TO),"[1627734, 203083]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,2.0,,,,,Drummond,203083.0,,,
33,PT09M08.00S,2022-02-15T00:44:53.2Z,1,REGULAR,steal,,[],203083,,,1610612751,6,2,2022-02-15T00:47:13Z,330000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2022-02-15T00:45:00.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201988,69.59592641261499,72.79411764705883,1610612751,9,2,2022-02-15T00:45:16Z,340000,114.0,233.0,1,right,P. Mills 25' 3PT  (3 PTS) (B. Brown 1 AST),"[201988, 1628971]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.97,Made,,,,,3.0,B. Brown,1628971.0,1.0,,,,,,,,,,,
35,PT08M50.00S,2022-02-15T00:45:11.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,7.30946123521682,62.745098039215684,1610612758,9,2,2022-02-15T00:45:18Z,350000,-64.0,16.0,1,left,MISS D. Sabonis 6' Hook,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,6.57,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M50.00S,2022-02-15T00:45:11.0Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,9,2,2022-02-15T00:45:18Z,360000,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
37,PT08M47.00S,2022-02-15T00:45:14.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,6.783837056504599,51.71568627450981,1610612758,9,2,2022-02-15T00:49:21Z,370000,-9.0,11.0,1,left,MISS H. Barnes reverse Layup,[203084],1610612758.0,SAC,reverse,,,Barnes,H. Barnes,,,,,1.42,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-02-15T00:45:16.7Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,9,2,2022-02-15T00:45:21Z,380000,,,0,,S. Curry REBOUND (Off:0 Def:2),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
40,PT08M38.00S,2022-02-15T00:45:23.1Z,1,REGULAR,2pt,Jump Shot,[],203552,72.88107752956637,61.51960784313726,1610612751,11,2,2022-02-15T00:45:27Z,390000,58.0,202.0,1,right,S. Curry 21' pullup Jump Shot (4 PTS),[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,21.04,Made,,,,,4.0,,,,,,,,,,,,,,
