actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-19T00:40:37.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-19T00:40:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-19T00:40:40.0Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2021-12-19T00:40:40Z,40000,,,0,,Jump Ball R. Lopez vs. B. Griffin: Tip to F. Wagner,"[1630532, 201577, 201933]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Lopez,201577.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2021-12-19T00:40:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,95.0886990801577,50.49019607843137,1610612753,0,0,2021-12-19T00:40:47Z,70000,2.0,-6.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,0.68,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2021-12-19T00:40:46.3Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,0,0,2021-12-19T00:40:46Z,80000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2021-12-19T00:40:55.1Z,1,REGULAR,3pt,Jump Shot,[],201988,27.677398160315374,22.058823529411764,1610612751,0,0,2021-12-19T00:40:59Z,90000,140.0,208.0,1,left,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2021-12-19T00:40:58.1Z,1,REGULAR,rebound,defensive,[],201577,,,1610612753,0,0,2021-12-19T00:40:59Z,100000,,,0,,R. Lopez REBOUND (Off:0 Def:1),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M29.00S,2021-12-19T00:41:07.4Z,1,REGULAR,3pt,Jump Shot,[],1629643,67.7562417871222,41.42156862745098,1610612753,0,0,2021-12-19T00:41:12Z,110000,-43.0,251.0,1,right,MISS C. Okeke 25' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2021-12-19T00:41:11.4Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,0,0,2021-12-19T00:41:12Z,120000,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M19.00S,2021-12-19T00:41:16.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,26.231931668856767,55.63725490196079,1610612751,2,0,2021-12-19T00:41:37Z,130000,-28.0,194.0,1,left,C. Thomas 19' pullup Jump Shot (2 PTS),[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,19.61,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT11M00.00S,2021-12-19T00:41:36.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,90.75229960578186,46.81372549019608,1610612753,2,2,2021-12-19T00:41:40Z,140000,-16.0,34.0,1,right,R. Lopez Hook (2 PTS) (G. Harris 1 AST),"[201577, 203914]",1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,3.79,Made,,,,,2.0,G. Harris,203914.0,1.0,,,,,,,,,,,
16,PT10M42.00S,2021-12-19T00:41:53.5Z,1,REGULAR,3pt,Jump Shot,[],201988,28.203022339027594,75.24509803921569,1610612751,2,2,2021-12-19T00:42:02Z,160000,-126.0,213.0,1,left,MISS P. Mills 24' pullup 3PT,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,24.72,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2021-12-19T00:42:01.5Z,1,REGULAR,rebound,offensive,[],1630561,,,1610612751,2,2,2021-12-19T00:42:02Z,170000,,,0,,D. Duke Jr. REBOUND (Off:1 Def:0),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
18,PT10M33.00S,2021-12-19T00:42:03.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630560,5.469776609724048,48.28431372549019,1610612751,4,2,2021-12-19T00:42:08Z,180000,9.0,-1.0,1,left,C. Thomas driving Layup (4 PTS),[1630560],1610612751.0,BKN,driving,,,Thomas,C. Thomas,,,,,0.87,Made,,,,,4.0,,,,,,,,,,,,,,
19,PT10M15.00S,2021-12-19T00:42:20.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,87.99277266754271,56.61764705882353,1610612753,4,2,2021-12-19T00:42:24Z,190000,33.0,60.0,1,right,MISS R. Lopez 6' turnaround Hook,[201577],1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,6.89,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2021-12-19T00:42:22.5Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,4,2,2021-12-19T00:42:24Z,200000,,,0,,C. Thomas REBOUND (Off:0 Def:2),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
21,PT10M04.00S,2021-12-19T00:42:32.1Z,1,REGULAR,3pt,Jump Shot,[],201933,32.40801576872536,49.26470588235294,1610612751,4,2,2021-12-19T00:42:37Z,210000,4.0,252.0,1,left,MISS B. Griffin 25' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2021-12-19T00:42:34.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,4,2,2021-12-19T00:42:37Z,220000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
