actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
16,PT10M57.00S,2021-12-04T00:42:39.4Z,1,REGULAR,foul,offensive,[],201935,,,1610612751,2,0,2021-12-04T00:42:49Z,160000,,,0,,J. Harden charge offensive FOUL (1 PF),"[201935, 1627752]",1610612751.0,BKN,charge,,,,,,,,Harden,J. Harden,,,,,201640.0,,,,,,,,1.0,0.0,Prince,1627752.0,,,
18,PT10M57.00S,2021-12-04T00:42:39.4Z,1,REGULAR,turnover,offensive foul,[],201935,,,1610612751,2,0,2021-12-04T00:42:39Z,180000,,,0,,J. Harden offensive foul TURNOVER (2 TO),[201935],1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,201640.0,2.0,,,,,,,,,,,,,
19,PT10M47.00S,2021-12-04T00:43:01.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629675,30.56833114323259,31.862745098039213,1610612750,2,3,2021-12-04T00:43:07Z,190000,91.0,235.0,1,left,N. Reid 25' 3PT  (3 PTS) (D. Russell 1 AST),"[1629675, 1626156]",1610612750.0,MIN,,,,,,,25.17,Made,Reid,N. Reid,,,,,,,3.0,D. Russell,1626156.0,1.0,,,,,,,,,
21,PT10M30.00S,2021-12-04T00:43:18.7Z,1,REGULAR,2pt,Jump Shot,[],200746,72.35545335085413,61.51960784313726,1610612751,2,3,2021-12-04T00:43:23Z,210000,58.0,207.0,1,right,MISS L. Aldridge 21' Jump Shot,[200746],1610612751.0,BKN,,,,,,,21.52,Missed,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
22,PT10M27.00S,2021-12-04T00:43:21.7Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,2,3,2021-12-04T00:43:23Z,220000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,,,,,,Russell,D. Russell,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M26.00S,2021-12-04T00:43:22.9Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,2,3,2021-12-04T00:43:28Z,230000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 201988]",1610612750.0,MIN,,,,,,,,,Russell,D. Russell,,,,,,1.0,,,,,Mills,201988.0,,,,,,,
24,PT10M26.00S,2021-12-04T00:43:22.9Z,1,REGULAR,steal,,[],201988,,,1610612751,2,3,2021-12-04T00:43:25Z,240000,,,0,,P. Mills STEAL (1 STL),[201988],1610612751.0,BKN,,,,,,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
25,PT10M21.00S,2021-12-04T00:43:27.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201988,84.88830486202366,28.50796568627451,1610612751,4,3,2021-12-04T00:44:10Z,250000,-107.0,90.0,1,right,P. Mills 13' pullup Jump Shot (2 PTS),[201988],1610612751.0,BKN,pullup,,,,,,13.99,Made,Mills,P. Mills,,,,,,,2.0,,,,,,,,,,,,
26,PT10M18.00S,2021-12-04T00:43:33.3Z,1,REGULAR,foul,personal,['2freethrow'],201935,,,1610612750,4,3,2021-12-04T00:43:49Z,260000,,,0,,J. Harden shooting personal FOUL (2 PF) (Russell 2 FT),"[201935, 1626156]",1610612751.0,BKN,shooting,,,,,,,,Harden,J. Harden,,,,,201640.0,,,,,,,,2.0,0.0,Russell,1626156.0,,,
28,PT10M18.00S,2021-12-04T00:43:58.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626156,,,1610612750,4,4,2021-12-04T00:43:58Z,280000,,,0,,D. Russell Free Throw 1 of 2 (1 PTS),[1626156],1610612750.0,MIN,,,,,,,,Made,Russell,D. Russell,,,,,,,1.0,,,,,,,,,,,,
29,PT10M18.00S,2021-12-04T00:44:15.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626156,,,1610612750,4,5,2021-12-04T00:44:15Z,290000,,,0,,D. Russell Free Throw 2 of 2 (2 PTS),[1626156],1610612750.0,MIN,,,,,,,,Made,Russell,D. Russell,,,,,,,2.0,,,,,,,,,,,,
30,PT10M05.00S,2021-12-04T00:44:30.0Z,1,REGULAR,2pt,Jump Shot,[],200746,78.79434954007884,66.42156862745098,1610612751,6,5,2021-12-04T00:44:35Z,300000,82.0,147.0,1,right,L. Aldridge 16' Jump Shot (2 PTS) (P. Mills 1 AST),"[200746, 201988]",1610612751.0,BKN,,,,,,,16.82,Made,Aldridge,L. Aldridge,,,,,,,2.0,P. Mills,201988.0,1.0,,,,,,,,,
32,PT09M52.00S,2021-12-04T00:44:42.3Z,1,REGULAR,3pt,Jump Shot,[],1629675,32.40801576872536,47.794117647058826,1610612750,6,8,2021-12-04T00:44:47Z,320000,11.0,252.0,1,left,N. Reid 25' 3PT  (6 PTS) (A. Edwards 1 AST),"[1629675, 1630162]",1610612750.0,MIN,,,,,,,25.23,Made,Reid,N. Reid,,,,,,,6.0,A. Edwards,1630162.0,1.0,,,,,,,,,
34,PT09M24.00S,2021-12-04T00:45:10.8Z,1,REGULAR,turnover,out-of-bounds,[],201988,,,1610612751,6,8,2021-12-04T00:45:26Z,340000,,,0,,P. Mills bad pass out-of-bounds TURNOVER (1 TO),[201988],1610612751.0,BKN,bad pass,,,,,,,,Mills,P. Mills,,,,,203592.0,1.0,,,,,,,,,,,,,
35,PT09M09.00S,2021-12-04T00:45:40.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627752,6.258212877792378,53.431372549019606,1610612750,6,8,2021-12-04T00:45:45Z,350000,-17.0,6.0,1,left,MISS T. Prince driving DUNK - blocked,"[1627752, 200746]",1610612750.0,MIN,driving,,,,,,1.83,Missed,Prince,T. Prince,,,,,,,,,,,,,,,,,Aldridge,200746.0,
36,PT09M09.00S,2021-12-04T00:45:40.1Z,1,REGULAR,block,,[],200746,,,1610612750,6,8,2021-12-04T00:45:43Z,360000,,,0,,L. Aldridge BLOCK (1 BLK),[200746],1610612751.0,BKN,,,,,,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,
37,PT09M05.00S,2021-12-04T00:45:44.1Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,6,8,2021-12-04T00:45:45Z,370000,,,0,,N. Reid REBOUND (Off:1 Def:0),[1629675],1610612750.0,MIN,,,,,,,,,Reid,N. Reid,35.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
38,PT09M04.00S,2021-12-04T00:45:45.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629675,5.781865965834428,57.00827205882353,1610612750,6,10,2021-12-04T00:46:01Z,380000,-35.0,2.0,1,left,N. Reid putback Layup (8 PTS),[1629675],1610612750.0,MIN,putback,,,,,,3.5,Made,Reid,N. Reid,,,,,,,8.0,,,,,,,,,,,,
39,PT08M49.00S,2021-12-04T00:46:00.6Z,1,REGULAR,3pt,Jump Shot,[],201988,94.82588699080158,97.05882352941177,1610612751,6,10,2021-12-04T00:46:05Z,390000,235.0,-4.0,1,right,MISS P. Mills 3PT,[201988],1610612751.0,BKN,,,,,,,23.53,Missed,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
40,PT08M46.00S,2021-12-04T00:46:03.6Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,6,10,2021-12-04T00:46:05Z,400000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,,,,,,Vanderbilt,J. Vanderbilt,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT08M44.00S,2021-12-04T00:46:09.8Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,6,10,2021-12-04T00:46:22Z,410000,,,0,,D. Russell bad pass out-of-bounds TURNOVER (2 TO),[1626156],1610612750.0,MIN,bad pass,,,,,,,,Russell,D. Russell,,,,,202007.0,2.0,,,,,,,,,,,,,
42,PT08M34.00S,2021-12-04T00:46:31.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",200746,89.43823915900131,41.66666666666667,1610612751,8,10,2021-12-04T00:46:36Z,420000,-42.0,47.0,1,right,L. Aldridge 6' turnaround Hook (4 PTS) (J. Harden 1 AST),"[200746, 201935]",1610612751.0,BKN,turnaround,,,,,,6.27,Made,Aldridge,L. Aldridge,,,,,,,4.0,J. Harden,201935.0,1.0,,,,,,,,,
44,PT08M23.00S,2021-12-04T00:46:43.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626156,5.206964520367937,49.26470588235294,1610612750,8,10,2021-12-04T00:46:47Z,440000,4.0,-4.0,1,left,MISS D. Russell driving DUNK,[1626156],1610612750.0,MIN,driving,,,,,,0.52,Missed,Russell,D. Russell,,,,,,,,,,,,,,,,,,,
