actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-27T23:41:00.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T23:41:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-27T23:41:18.3Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2021-10-27T23:41:18Z,40000,,,0,,Jump Ball B. Adebayo vs. K. Durant: Tip to K. Lowry,"[200768, 1628389, 201142]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Durant,201142.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-10-27T23:41:31.7Z,1,REGULAR,2pt,Jump Shot,[],200768,13.354139290407357,74.50980392156863,1610612748,0,2,2021-10-27T23:41:36Z,70000,-123.0,73.0,1,left,K. Lowry 14' pullup Jump Shot (2 PTS),[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,14.26,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2021-10-27T23:41:51.1Z,1,REGULAR,3pt,Jump Shot,[],203925,74.72076215505913,86.02941176470588,1610612751,3,2,2021-10-27T23:41:56Z,80000,180.0,185.0,1,right,J. Harris 25' 3PT  (3 PTS) (J. Harden 1 AST),"[203925, 201935]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,25.83,Made,3.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-10-27T23:41:58.8Z,1,REGULAR,2pt,Jump Shot,[],1628389,12.302890932982917,74.50980392156863,1610612748,3,2,2021-10-27T23:42:02Z,100000,-123.0,63.0,1,left,MISS B. Adebayo 13' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,13.78,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2021-10-27T23:42:01.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,3,2,2021-10-27T23:42:02Z,110000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M05.00S,2021-10-27T23:42:09.1Z,1,REGULAR,3pt,Jump Shot,[],1628971,96.40275952693824,3.431372549019608,1610612751,3,2,2021-10-27T23:42:13Z,120000,-233.0,-19.0,1,right,MISS B. Brown 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,23.35,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2021-10-27T23:42:12.1Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,3,2,2021-10-27T23:42:13Z,130000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M57.00S,2021-10-27T23:42:18.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202710,5.601182654402102,11.76470588235294,1610612748,3,4,2021-10-27T23:42:24Z,140000,191.0,0.0,1,left,J. Butler 19' pullup Jump Shot (2 PTS) (K. Lowry 1 AST),"[202710, 200768]",1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,19.12,Made,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,,,,
16,PT10M37.00S,2021-10-27T23:42:36.8Z,1,REGULAR,2pt,Jump Shot,[],203925,75.3777923784494,30.88235294117647,1610612751,3,4,2021-10-27T23:42:40Z,160000,-96.0,179.0,1,right,MISS J. Harris 20' pullup Shot,[203925],1610612751.0,BKN,pullup,,,Harris,J. Harris,,,,,20.28,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2021-10-27T23:42:38.8Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,3,4,2021-10-27T23:42:40Z,170000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M26.00S,2021-10-27T23:42:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,28.203022339027594,24.264705882352942,1610612748,3,4,2021-10-27T23:42:53Z,180000,129.0,213.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2021-10-27T23:42:51.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,3,4,2021-10-27T23:42:53Z,190000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,
20,PT10M17.00S,2021-10-27T23:42:57.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",201935,86.67871222076215,47.549019607843135,1610612751,3,4,2021-10-27T23:43:02Z,200000,-12.0,73.0,1,right,MISS J. Harden 7' driving floating bank Shot,[201935],1610612751.0,BKN,driving floating bank,,,Harden,J. Harden,,,,,7.37,Missed,,,,,,,,,,,,,,,,,,,
