actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-03T23:45:46.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-03T23:45:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-03T23:45:56.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612737,0,0,2021-11-03T23:45:56Z,40000,,,0,,Jump Ball C. Capela vs. B. Griffin: Tip to Team (ATL),"[203991, 201933]",1610612737.0,ATL,startperiod,Team (ATL),Capela,203991.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2021-11-03T23:46:05.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,0,0,2021-11-03T23:46:20Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2021-11-03T23:46:07.3Z,1,REGULAR,3pt,Jump Shot,[],203992,5.469776609724048,5.392156862745098,1610612737,0,0,2021-11-03T23:46:12Z,80000,223.0,-1.0,1,left,MISS B. Bogdanovic 3PT,[203992],1610612737.0,ATL,,,,,,,22.3,Missed,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-11-03T23:46:11.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,0,0,2021-11-03T23:46:12Z,90000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,,,,,,Harden,J. Harden,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M40.00S,2021-11-03T23:46:15.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,93.24901445466492,51.9607843137255,1610612751,2,0,2021-11-03T23:46:37Z,100000,10.0,11.0,1,right,B. Brown running Layup (2 PTS) (J. Harden 1 AST),"[1628971, 201935]",1610612751.0,BKN,running,,,,,,1.47,Made,Brown,B. Brown,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,
12,PT11M29.00S,2021-11-03T23:46:27.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,6.258212877792378,47.05882352941176,1610612737,2,0,2021-11-03T23:46:47Z,120000,15.0,6.0,1,left,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,,,,1.6,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,,
13,PT11M29.00S,2021-11-03T23:46:27.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,2,0,2021-11-03T23:46:47Z,130000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
14,PT11M29.00S,2021-11-03T23:46:31.5Z,1,REGULAR,foul,personal,[],203991,,,1610612751,2,0,2021-11-03T23:46:36Z,140000,,,0,,C. Capela loose ball personal FOUL (1 PF),"[203991, 201933]",1610612737.0,ATL,loose ball,,,,,,,,Capela,C. Capela,,,,,,,,,2005.0,1.0,0.0,Griffin,201933.0,,,,,,
16,PT11M11.00S,2021-11-03T23:46:57.1Z,1,REGULAR,3pt,Jump Shot,[],203925,69.20170827858082,71.56862745098039,1610612751,5,0,2021-11-03T23:47:01Z,160000,108.0,237.0,1,right,J. Harris 26' 3PT  (3 PTS) (J. Harden 2 AST),"[203925, 201935]",1610612751.0,BKN,,,,,,,26.04,Made,Harris,J. Harris,,,,,3.0,J. Harden,201935.0,2.0,,,,,,,,,,,
