actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-25T00:47:44.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-25T00:47:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-25T00:47:47.5Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612751,0,0,2022-02-25T00:47:47Z,40000,,,0,,Jump Ball A. Drummond vs. R. Williams III: Tip to S. Curry,"[203552, 203083, 1629057]",1610612751.0,BKN,startperiod,S. Curry,203552.0,Curry,S. Curry,Drummond,203083.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-25T00:48:04.4Z,1,REGULAR,turnover,bad pass,[],203083,,,1610612751,0,0,2022-02-25T00:48:10Z,70000,,,0,,A. Drummond bad pass TURNOVER (1 TO),"[203083, 1627759]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,1.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-02-25T00:48:04.4Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2022-02-25T00:48:06Z,80000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-02-25T00:48:09.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201143,94.56307490144546,49.01960784313725,1610612738,0,2,2022-02-25T00:48:15Z,90000,-5.0,-1.0,1,right,A. Horford cutting DUNK (2 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,,,,0.51,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,
11,PT11M22.00S,2022-02-25T00:48:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201949,14.668199737187912,42.64705882352941,1610612751,0,2,2022-02-25T00:48:34Z,110000,37.0,85.0,1,left,MISS J. Johnson 9' driving floating Shot,[201949],1610612751.0,BKN,driving floating,,,Johnson,J. Johnson,,,,,,,,9.3,Missed,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-02-25T00:48:27.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,2,2022-02-25T00:48:27Z,120000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M15.00S,2022-02-25T00:48:31.3Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612738,0,2,2022-02-25T00:48:45Z,130000,,,0,,B. Brown shooting personal FOUL (1 PF) (Brown 2 FT),"[1628971, 1627759]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Brown,1627759.0,,,
15,PT11M15.00S,2022-02-25T00:48:59.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627759,,,1610612738,0,2,2022-02-25T00:48:59Z,150000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,Missed,,,,,,,,,,,,,,,,
16,PT11M15.00S,2022-02-25T00:48:59.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,0,2,2022-02-25T00:48:59Z,160000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,
17,PT11M15.00S,2022-02-25T00:49:13.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627759,,,1610612738,0,3,2022-02-25T00:49:13Z,170000,,,0,,J. Brown Free Throw 2 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
18,PT11M01.00S,2022-02-25T00:49:29.2Z,1,REGULAR,2pt,Jump Shot,[],201988,18.873193166885677,26.47058823529412,1610612751,0,3,2022-02-25T00:49:33Z,180000,118.0,125.0,1,left,MISS P. Mills 17' pullup Shot,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,,,,17.16,Missed,,,,,,,,,,,,,,,,
19,PT10M58.00S,2022-02-25T00:49:32.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,3,2022-02-25T00:49:33Z,190000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
