actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-31T23:32:55.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-31T23:32:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-31T23:32:58.5Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612751,0,0,2022-03-31T23:32:58Z,40000,,,0,,Jump Ball A. Drummond vs. B. Lopez: Tip to K. Irving,"[202681, 203083, 201572]",1610612751.0,BKN,startperiod,K. Irving,202681.0,Irving,K. Irving,Drummond,203083.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-31T23:33:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,7.408015768725363,52.69607843137255,1610612751,0,0,2022-03-31T23:35:52Z,70000,-13.0,17.0,1,left,MISS B. Brown Layup - blocked,"[1628971, 201572]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,2.18,Missed,Lopez,201572.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-03-31T23:33:19.6Z,1,REGULAR,block,,[],201572,,,1610612751,0,0,2022-03-31T23:36:32Z,80000,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-03-31T23:33:20.6Z,1,REGULAR,rebound,offensive,[],203552,,,1610612751,0,0,2022-03-31T23:35:52Z,90000,,,0,,S. Curry REBOUND (Off:1 Def:0),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M34.00S,2022-03-31T23:33:25.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203552,26.231931668856767,85.5392156862745,1610612751,0,0,2022-03-31T23:36:17Z,100000,-178.0,194.0,1,left,MISS S. Curry 26' 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,26.32,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2022-03-31T23:33:27.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-03-31T23:36:17Z,110000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M12.00S,2022-03-31T23:33:41.9Z,1,REGULAR,3pt,Jump Shot,[],203114,71.30420499342969,27.205882352941174,1610612749,0,0,2022-03-31T23:37:49Z,120000,-114.0,217.0,1,right,MISS K. Middleton 24' pullup 3PT,[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,24.53,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-03-31T23:33:45.2Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,0,0,2022-03-31T23:33:45Z,130000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M02.00S,2022-03-31T23:33:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,15.456636005256241,35.049019607843135,1610612751,0,0,2022-03-31T23:33:57Z,140000,75.0,93.0,1,left,MISS K. Irving 11' turnaround Shot,[202681],1610612751.0,BKN,turnaround,,,Irving,K. Irving,,,,,11.92,Missed,,,,,,,,,,,,,,,,,,,
