actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-18T23:40:36.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-18T23:40:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-18T23:40:40.7Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2022-03-18T23:40:40Z,40000,,,0,,Jump Ball A. Drummond vs. D. Eubanks: Tip to K. Durant,"[201142, 203083, 1629234]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Drummond,203083.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-03-18T23:40:59.3Z,1,REGULAR,2pt,Jump Shot,[],201142,87.86136662286465,72.30392156862744,1610612751,2,0,2022-03-18T23:41:06Z,70000,112.0,62.0,1,right,K. Durant 12' turnaround fadeaway Jump Shot (2 PTS),[201142],1610612751.0,BKN,turnaround fadeaway,,,Durant,K. Durant,,,,,12.74,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2022-03-18T23:41:21.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,13.485545335085414,42.8921568627451,1610612757,2,2,2022-03-18T23:41:28Z,80000,36.0,74.0,1,left,D. Eubanks 8' turnaround Hook (2 PTS) (J. Hart 1 AST),"[1629234, 1628404]",1610612757.0,POR,turnaround,,,Eubanks,D. Eubanks,,,,,8.23,Made,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,,
10,PT10M52.00S,2022-03-18T23:41:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,81.68528252299606,56.86274509803921,1610612751,2,2,2022-03-18T23:41:49Z,100000,34.0,120.0,1,right,MISS K. Durant 12' pullup Shot - blocked,"[201142, 1626159]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,12.45,Missed,,,,,Winslow,1626159.0,,,,,,,,,,,,,
11,PT10M52.00S,2022-03-18T23:41:43.6Z,1,REGULAR,block,,[],1626159,,,1610612751,2,2,2022-03-18T23:41:46Z,110000,,,0,,J. Winslow BLOCK (1 BLK),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M51.00S,2022-03-18T23:41:44.6Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612757,2,2,2022-03-18T23:41:49Z,120000,,,0,,B. Williams REBOUND (Off:0 Def:1),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M51.00S,2022-03-18T23:41:50.0Z,1,REGULAR,foul,personal,[],203552,,,1610612757,2,2,2022-03-18T23:42:15Z,130000,,,0,,S. Curry take personal FOUL (1 PF),"[203552, 1630314]",1610612751.0,BKN,take,,,Curry,S. Curry,,,,,,,,,,,,,,,,,1628953.0,1.0,0.0,Williams,1630314.0,,,,
15,PT10M41.00S,2022-03-18T23:42:19.8Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612757,2,2,2022-03-18T23:42:31Z,150000,,,0,,J. Hart bad pass out-of-bounds TURNOVER (1 TO),[1628404],1610612757.0,POR,bad pass,,,Hart,J. Hart,,,,,,,,,,,,,,,,,1628953.0,,,,,1.0,,,
16,PT10M26.00S,2022-03-18T23:42:48.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628971,93.9060446780552,4.901960784313726,1610612751,2,2,2022-03-18T23:42:54Z,160000,-225.0,5.0,1,right,MISS B. Brown 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,22.56,Missed,,,,,,,,,,,,,,,,,,,
