actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-17T00:40:50.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-17T00:40:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-17T00:40:52.9Z,1,REGULAR,jumpball,recovered,[],201933,,,1610612751,0,0,2021-12-17T00:40:52Z,40000,,,0,,Jump Ball N. Claxton vs. J. Embiid: Tip to B. Griffin,"[201933, 1629651, 203954]",1610612751.0,BKN,startperiod,B. Griffin,201933.0,Griffin,B. Griffin,Claxton,1629651.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-17T00:41:03.6Z,1,REGULAR,2pt,Jump Shot,[],201142,92.9862023653088,28.431372549019606,1610612751,2,0,2021-12-17T00:41:08Z,70000,-108.0,13.0,1,right,K. Durant 10' turnaround Jump Shot (2 PTS) (P. Mills 1 AST),"[201142, 201988]",1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,10.86,Made,2.0,P. Mills,201988.0,1.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-12-17T00:41:22.7Z,1,REGULAR,3pt,Jump Shot,[],203552,30.305519053876477,68.38235294117648,1610612755,2,3,2021-12-17T00:41:27Z,90000,-92.0,232.0,1,left,S. Curry 24' 3PT  (3 PTS) (J. Embiid 1 AST),"[203552, 203954]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,24.99,Made,3.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,,
11,PT11M07.00S,2021-12-17T00:41:42.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,95.3515111695138,49.26470588235294,1610612751,4,3,2021-12-17T00:41:46Z,110000,-4.0,-9.0,1,right,N. Claxton cutting DUNK (2 PTS) (B. Griffin 1 AST),"[1629651, 201933]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,0.95,Made,2.0,B. Griffin,201933.0,1.0,,,,,,,,,,,,,,,
13,PT10M46.00S,2021-12-17T00:42:02.5Z,1,REGULAR,3pt,Jump Shot,[],1629003,11.251642575558476,3.1862745098039214,1610612755,4,6,2021-12-17T00:42:06Z,130000,234.0,53.0,1,left,S. Milton 24' 3PT  (3 PTS) (J. Embiid 2 AST),"[1629003, 203954]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,24.01,Made,3.0,J. Embiid,203954.0,2.0,,,,,,,,,,,,,,,
15,PT10M35.00S,2021-12-17T00:42:16.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,4,6,2021-12-17T00:42:16Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2021-12-17T00:42:31.6Z,1,REGULAR,3pt,Jump Shot,[],201988,93.42969776609723,3.699448529411765,1610612751,7,6,2021-12-17T00:42:43Z,160000,-232.0,9.0,1,right,P. Mills 3PT  (3 PTS) (D. Duke Jr. 1 AST),"[201988, 1630561]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,23.17,Made,3.0,D. Duke Jr.,1630561.0,1.0,,,,,,,,,,,,,,,
18,PT10M15.00S,2021-12-17T00:42:48.8Z,1,REGULAR,3pt,Jump Shot,[],201980,28.33442838370565,76.7156862745098,1610612755,7,9,2021-12-17T00:42:55Z,180000,-134.0,214.0,1,left,D. Green 25' 3PT  (3 PTS) (J. Embiid 3 AST),"[201980, 203954]",1610612755.0,PHI,,,,Green,D. Green,,,,,25.21,Made,3.0,J. Embiid,203954.0,3.0,,,,,,,,,,,,,,,
20,PT10M02.00S,2021-12-17T00:43:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,94.03745072273325,48.529411764705884,1610612751,9,9,2021-12-17T00:43:24Z,200000,-7.0,4.0,1,right,N. Claxton cutting Layup (4 PTS) (K. Durant 1 AST),"[1629651, 201142]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,0.82,Made,4.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,,
22,PT10M02.00S,2021-12-17T00:43:06.3Z,1,REGULAR,foul,personal,['1freethrow'],202699,,,1610612751,9,9,2021-12-17T00:43:16Z,220000,,,0,,T. Harris shooting personal FOUL (1 PF) (Claxton 1 FT),"[202699, 1629651]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,,,,1627541.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,
24,PT10M02.00S,2021-12-17T00:43:35.7Z,1,REGULAR,freethrow,1 of 1,[],1629651,,,1610612751,10,9,2021-12-17T00:43:35Z,240000,,,0,,N. Claxton Free Throw 1 of 1 (5 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
