actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-04-05T23:42:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-05T23:42:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-05T23:42:56.1Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2022-04-05T23:42:56Z,40000,,,0,,Jump Ball A. Drummond vs. A. Sengun: Tip to B. Brown,"[1628971, 203083, 1630578]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Drummond,203083.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-04-05T23:43:10.9Z,1,REGULAR,3pt,Jump Shot,[],201988,80.50262812089356,6.127450980392156,1610612751,3,0,2022-04-05T23:43:16Z,70000,-219.0,131.0,1,right,P. Mills 25' 3PT  (3 PTS) (K. Irving 1 AST),"[201988, 202681]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.54,Made,3.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-04-05T23:43:26.3Z,1,REGULAR,foul,personal,[],203083,,,1610612745,3,0,2022-04-05T23:43:32Z,90000,,,0,,A. Drummond personal FOUL (1 PF),"[203083, 1630578]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,1627541.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,
11,PT11M22.00S,2022-04-05T23:43:44.1Z,1,REGULAR,2pt,Jump Shot,[],1629645,21.50131406044678,77.20588235294117,1610612745,3,2,2022-04-05T23:43:49Z,110000,-136.0,150.0,1,left,K. Porter Jr. 20' step back Jump Shot (2 PTS),[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,20.22,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-04-05T23:43:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,91.67214191852825,59.068627450980394,1610612751,3,2,2022-04-05T23:44:00Z,120000,45.0,26.0,1,right,MISS K. Irving driving Layup - blocked,"[202681, 1630578]",1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,5.21,Missed,,,,,,,,,,Sengun,1630578.0,,,,,,,
13,PT11M08.00S,2022-04-05T23:43:57.5Z,1,REGULAR,block,,[],1630578,,,1610612751,3,2,2022-04-05T23:43:59Z,130000,,,0,,A. Sengun BLOCK (1 BLK),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2022-04-05T23:44:00.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,3,2,2022-04-05T23:44:00Z,140000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,
15,PT10M52.00S,2022-04-05T23:44:13.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,8.754927726675426,48.03921568627451,1610612745,3,2,2022-04-05T23:44:16Z,150000,10.0,30.0,1,left,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,3.14,Missed,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2022-04-05T23:44:15.6Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,3,2,2022-04-05T23:44:16Z,160000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,
17,PT10M40.00S,2022-04-05T23:44:24.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203083,93.64323258869908,52.20588235294118,1610612751,5,2,2022-04-05T23:44:28Z,170000,11.0,7.0,1,right,A. Drummond cutting DUNK (2 PTS) (K. Durant 1 AST),"[203083, 201142]",1610612751.0,BKN,cutting,,,Drummond,A. Drummond,,,,,1.32,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,
19,PT10M18.00S,2022-04-05T23:44:47.5Z,1,REGULAR,3pt,Jump Shot,[],1629645,13.222733245729303,95.09803921568627,1610612745,5,2,2022-04-05T23:44:52Z,190000,-225.0,72.0,1,left,MISS K. Porter Jr. 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,23.67,Missed,,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2022-04-05T23:44:50.5Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,5,2,2022-04-05T23:44:52Z,200000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,
21,PT10M06.00S,2022-04-05T23:44:59.3Z,1,REGULAR,3pt,Jump Shot,[],201988,95.0886990801577,4.6568627450980395,1610612751,5,2,2022-04-05T23:45:04Z,210000,-227.0,-6.0,1,right,MISS P. Mills 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2022-04-05T23:45:02.3Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,5,2,2022-04-05T23:45:04Z,220000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,
23,PT09M55.00S,2022-04-05T23:45:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,5.469776609724048,53.18627450980392,1610612745,5,4,2022-04-05T23:45:16Z,230000,-16.0,-1.0,1,left,K. Porter Jr. running finger roll Layup (4 PTS),[1629645],1610612745.0,HOU,running finger roll,,,Porter Jr.,K. Porter Jr.,,,,,1.59,Made,4.0,,,,,,,,,,,,,,,,,
