actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-10-29T23:40:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-29T23:40:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-29T23:40:53.0Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612754,0,0,2021-10-29T23:40:53Z,40000,,,0,,Jump Ball M. Turner vs. K. Durant: Tip to D. Sabonis,"[1627734, 1626167, 201142]",1610612754.0,IND,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Turner,1626167.0,Durant,201142.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-10-29T23:41:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,9.149145860709593,57.107843137254896,1610612754,0,0,2021-10-29T23:41:13Z,70000,-36.0,34.0,1,left,MISS M. Turner driving Layup,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,4.88,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2021-10-29T23:41:04.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2021-10-29T23:41:13Z,90000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
10,PT11M47.00S,2021-10-29T23:41:11.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,0,2021-10-29T23:41:11Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2021-10-29T23:41:27.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627734,10.200394218134035,63.970588235294116,1610612754,0,2,2021-10-29T23:41:34Z,110000,-70.0,43.0,1,left,D. Sabonis 8' fadeaway Jump Shot (2 PTS),[1627734],1610612754.0,IND,fadeaway,,,Sabonis,D. Sabonis,,,,,8.23,Made,,2.0,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2021-10-29T23:41:48.2Z,1,REGULAR,2pt,Jump Shot,[],201142,76.2976346911958,48.28431372549019,1610612751,2,2,2021-10-29T23:41:53Z,120000,-9.0,170.0,1,right,K. Durant 17' turnaround Jump Shot (2 PTS),[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,17.05,Made,,2.0,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2021-10-29T23:42:08.6Z,1,REGULAR,violation,kicked ball,[],201933,,,1610612754,2,2,2021-10-29T23:44:50Z,130000,,,0,,B. Griffin kicked ball VIOLATION,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,2882.0,,,,,,,,,,,,,,,,
14,PT10M49.00S,2021-10-29T23:42:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,15.719448094612352,42.15686274509804,1610612754,2,2,2021-10-29T23:42:33Z,140000,39.0,95.0,1,left,MISS T. McConnell 10' turnaround fadeaway Shot,[204456],1610612754.0,IND,turnaround fadeaway,,,McConnell,T. McConnell,,,,,10.3,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2021-10-29T23:42:32.3Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,2,2,2021-10-29T23:42:33Z,150000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M40.00S,2021-10-29T23:42:38.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,94.1688567674113,48.28431372549019,1610612751,2,2,2021-10-29T23:42:47Z,160000,-9.0,2.0,1,right,MISS J. Harden running finger roll Layup - blocked,"[201935, 1626167]",1610612751.0,BKN,running finger roll,,,Harden,J. Harden,,,,,0.89,Missed,,,,,,,Turner,1626167.0,,,,,,,,,,,
17,PT10M40.00S,2021-10-29T23:42:38.1Z,1,REGULAR,block,,[],1626167,,,1610612751,2,2,2021-10-29T23:42:42Z,170000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2021-10-29T23:42:44.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,2,2,2021-10-29T23:42:47Z,180000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,16.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M34.00S,2021-10-29T23:42:47.8Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612754,2,2,2021-10-29T23:43:06Z,190000,,,0,,B. Brown shooting personal FOUL (1 PF) (Turner 2 FT),"[1628971, 1626167]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,1627963.0,,,,,,1.0,0.0,Turner,1626167.0,,,,,,,
21,PT10M34.00S,2021-10-29T23:43:10.6Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,2,2,2021-10-29T23:45:09Z,210000,,,0,,MISS M. Turner Free Throw 1 of 2,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M34.00S,2021-10-29T23:43:10.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612754,2,2,2021-10-29T23:45:09Z,220000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
23,PT10M34.00S,2021-10-29T23:43:10.6Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,2,3,2021-10-29T23:45:09Z,230000,,,0,,M. Turner Free Throw 2 of 2 (1 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,,1.0,,,,,,,,,,,,,,,,,
24,PT10M25.00S,2021-10-29T23:43:39.6Z,1,REGULAR,3pt,Jump Shot,[],201933,68.9388961892247,69.36274509803921,1610612751,2,3,2021-10-29T23:43:44Z,240000,97.0,239.0,1,right,MISS B. Griffin 25' pullup 3PT,[201933],1610612751.0,BKN,pullup,,,Griffin,B. Griffin,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M21.00S,2021-10-29T23:43:43.6Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,2,3,2021-10-29T23:43:44Z,250000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,24.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
