actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-01T00:32:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-01T00:32:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-01T00:32:45.1Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2021-12-01T00:32:45Z,40000,,,0,,Jump Ball M. Robinson vs. L. Aldridge: Tip to A. Burks,"[202692, 1629011, 200746]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Robinson,1629011.0,Aldridge,200746.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-12-01T00:33:07.4Z,1,REGULAR,2pt,Jump Shot,[],203095,27.414586070959263,58.82352941176471,1610612752,0,2,2021-12-01T00:33:59Z,70000,-44.0,205.0,1,left,E. Fournier 20' pullup Jump Shot (2 PTS),[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,20.99,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2021-12-01T00:33:24.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,94.03745072273325,41.911764705882355,1610612751,0,2,2021-12-01T00:33:28Z,80000,-40.0,4.0,1,right,MISS J. Harden driving floating Shot,[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,4.06,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2021-12-01T00:33:26.9Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,0,2,2021-12-01T00:33:28Z,90000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M09.00S,2021-12-01T00:33:32.1Z,1,REGULAR,3pt,Jump Shot,[],203095,29.122864651773984,76.47058823529412,1610612752,0,2,2021-12-01T00:33:53Z,100000,-132.0,221.0,1,left,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2021-12-01T00:33:36.1Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,0,2,2021-12-01T00:33:48Z,110000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M55.00S,2021-12-01T00:33:45.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200746,81.15965834428384,36.27450980392157,1610612751,0,2,2021-12-01T00:36:27Z,120000,-69.0,125.0,1,right,MISS L. Aldridge 14' pullup Shot,[200746],1610612751.0,BKN,pullup,,,Aldridge,L. Aldridge,,,,,14.22,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2021-12-01T00:33:45.9Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,0,2,2021-12-01T00:33:52Z,130000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M43.00S,2021-12-01T00:33:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,6.1268068331143235,56.61764705882353,1610612752,0,4,2021-12-01T00:34:07Z,140000,-33.0,5.0,1,left,R. Barrett Layup (2 PTS) (M. Robinson 1 AST),"[1629628, 1629011]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,3.35,Made,2.0,,,,,M. Robinson,1629011.0,1.0,,,,,,,,,,,
16,PT10M24.00S,2021-12-01T00:34:16.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],200746,87.86136662286465,49.26470588235294,1610612751,0,4,2021-12-01T00:34:20Z,160000,-4.0,62.0,1,right,MISS L. Aldridge 6' Hook,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,6.17,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M21.00S,2021-12-01T00:34:19.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,4,2021-12-01T00:34:20Z,170000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M06.00S,2021-12-01T00:34:34.6Z,1,REGULAR,3pt,Jump Shot,[],203095,2.578843626806833,96.81372549019608,1610612752,0,4,2021-12-01T00:34:38Z,180000,-234.0,-28.0,1,left,MISS E. Fournier 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,23.58,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M04.00S,2021-12-01T00:34:36.6Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,0,4,2021-12-01T00:34:38Z,190000,,,0,,R. Barrett REBOUND (Off:1 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,18.0,3.0,2.0,1.0,,,,,,,,,,,,,,
20,PT10M02.00S,2021-12-01T00:34:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629628,8.623521681997373,60.5392156862745,1610612752,0,4,2021-12-01T00:34:49Z,200000,-53.0,29.0,1,left,MISS R. Barrett 6' Layup,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,6.0,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M59.00S,2021-12-01T00:34:42.3Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,0,4,2021-12-01T00:34:49Z,210000,,,0,,D. Bembry REBOUND (Off:0 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M53.00S,2021-12-01T00:34:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201988,93.77463863337714,46.32352941176471,1610612751,2,4,2021-12-01T00:34:52Z,220000,-18.0,6.0,1,right,P. Mills driving Layup (2 PTS) (D. Bembry 1 AST),"[201988, 1627761]",1610612751.0,BKN,driving,,,Mills,P. Mills,,,,,1.94,Made,2.0,,,,,D. Bembry,1627761.0,1.0,,,,,,,,,,,
24,PT09M32.00S,2021-12-01T00:35:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202692,6.389618922470433,45.83333333333333,1610612752,2,4,2021-12-01T00:35:13Z,240000,21.0,8.0,1,left,MISS A. Burks driving finger roll Layup - blocked,"[202692, 201142]",1610612752.0,NYK,driving finger roll,,,Burks,A. Burks,,,,,2.21,Missed,,,,,,,,,Durant,201142.0,,,,,,,,,
25,PT09M32.00S,2021-12-01T00:35:09.1Z,1,REGULAR,block,,[],201142,,,1610612752,2,4,2021-12-01T00:35:12Z,250000,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
