actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-27T23:40:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T23:40:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-27T23:40:48.9Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2022-03-27T23:40:48Z,40000,,,0,,Jump Ball A. Drummond vs. M. Plumlee: Tip to B. Brown,"[1628971, 203083, 203486]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Drummond,203083.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-27T23:41:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,93.64323258869908,54.65686274509803,1610612751,0,0,2022-03-27T23:43:11Z,70000,23.0,7.0,1,right,MISS A. Drummond cutting Layup - blocked,"[203083, 203486]",1610612751.0,BKN,cutting,,,Drummond,A. Drummond,,,,,2.44,Missed,Plumlee,203486.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-03-27T23:41:02.5Z,1,REGULAR,block,,[],203486,,,1610612751,0,0,2022-03-27T23:41:04Z,80000,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-03-27T23:41:04.5Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,0,0,2022-03-27T23:41:08Z,90000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M32.00S,2022-03-27T23:41:16.6Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612766,0,0,2022-03-27T23:41:23Z,100000,,,0,,B. Brown shooting personal FOUL (1 PF) (Ball 2 FT),"[1628971, 1630163]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,2003.0,1.0,0.0,Ball,1630163.0,,,,,,,
12,PT11M32.00S,2022-03-27T23:41:45.2Z,1,REGULAR,freethrow,1 of 2,[],1630163,,,1610612766,0,1,2022-03-27T23:41:45Z,120000,,,0,,L. Ball Free Throw 1 of 2 (1 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
13,PT11M32.00S,2022-03-27T23:42:08.0Z,1,REGULAR,freethrow,2 of 2,[],1630163,,,1610612766,0,2,2022-03-27T23:42:08Z,130000,,,0,,L. Ball Free Throw 2 of 2 (2 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
14,PT11M14.00S,2022-03-27T23:42:27.6Z,1,REGULAR,3pt,Jump Shot,[],203552,74.45795006570303,15.196078431372548,1610612751,3,2,2022-03-27T23:42:31Z,140000,-174.0,188.0,1,right,S. Curry 25' 3PT  (3 PTS) (K. Durant 1 AST),"[203552, 201142]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,25.59,Made,,,,,,,,,,,,3.0,K. Durant,201142.0,1.0,,,
16,PT10M57.00S,2022-03-27T23:42:44.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629023,12.434296977660972,48.77450980392157,1610612766,3,4,2022-03-27T23:42:48Z,160000,6.0,64.0,1,left,P. Washington 6' Hook (2 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,6.47,Made,,,,,,,,,,,,2.0,,,,,,
17,PT10M42.00S,2022-03-27T23:42:59.6Z,1,REGULAR,3pt,Jump Shot,[],202681,74.45795006570303,82.59803921568627,1610612751,3,4,2022-03-27T23:43:06Z,170000,163.0,188.0,1,right,MISS K. Irving 24' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2022-03-27T23:43:01.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,3,4,2022-03-27T23:43:06Z,180000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,
19,PT10M40.00S,2022-03-27T23:43:05.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,3,4,2022-03-27T23:43:05Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M33.00S,2022-03-27T23:43:26.0Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612751,3,4,2022-03-27T23:43:43Z,200000,,,0,,P. Washington shooting personal FOUL (1 PF) (Drummond 2 FT),"[1629023, 203083]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,,,,,,,,,101283.0,1.0,0.0,Drummond,203083.0,,,,,,,
