actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-15T00:40:44.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-15T00:40:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-15T00:40:48.7Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2021-12-15T00:40:48Z,40000,,,0,,Jump Ball C. Boucher vs. K. Durant: Tip to P. Siakam,"[1627783, 1628449, 201142]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Boucher,1628449.0,Durant,201142.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-12-15T00:41:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,9.280551905387648,44.6078431372549,1610612761,0,0,2021-12-15T00:41:19Z,70000,27.0,35.0,1,left,MISS G. Trent Jr. driving Layup - blocked,"[1629018, 1630561]",1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,4.4,Missed,Duke Jr.,1630561.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-15T00:41:05.6Z,1,REGULAR,block,,[],1630561,,,1610612761,0,0,2021-12-15T00:41:49Z,80000,,,0,,D. Duke Jr. BLOCK (1 BLK),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2021-12-15T00:41:10.6Z,1,REGULAR,rebound,defensive,[],1630561,,,1610612751,0,0,2021-12-15T00:41:19Z,90000,,,0,,D. Duke Jr. REBOUND (Off:0 Def:1),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M30.00S,2021-12-15T00:41:13.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629651,91.93495400788436,42.40196078431372,1610612751,0,0,2021-12-15T00:41:25Z,100000,-38.0,23.0,1,right,MISS N. Claxton alley-oop Layup,[1629651],1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,4.46,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2021-12-15T00:41:16.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2021-12-15T00:41:25Z,110000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M25.00S,2021-12-15T00:41:18.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,12.040078843626807,94.85294117647058,1610612761,0,3,2021-12-15T00:41:30Z,120000,-224.0,61.0,1,left,F. VanVleet 3PT running (3 PTS) (P. Siakam 1 AST),"[1627832, 1627783]",1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,23.24,Made,,,,,,,3.0,P. Siakam,1627783.0,1.0,,,,,,,,,
14,PT11M13.00S,2021-12-15T00:41:30.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,92.32917214191852,49.754901960784316,1610612751,2,3,2021-12-15T00:41:34Z,140000,-1.0,20.0,1,right,N. Claxton cutting DUNK (2 PTS) (P. Mills 1 AST),"[1629651, 201988]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,1.96,Made,,,,,,,2.0,P. Mills,201988.0,1.0,,,,,,,,,
16,PT10M51.00S,2021-12-15T00:41:52.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,12.565703022339028,45.34313725490196,1610612761,2,3,2021-12-15T00:41:56Z,160000,23.0,66.0,1,left,MISS P. Siakam 6' turnaround Shot,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,6.96,Missed,,,,,,,,,,,,,,,,,,,
