actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-16T00:41:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-16T00:41:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-16T00:41:42.8Z,1,REGULAR,jumpball,recovered,[],201988,,,1610612751,0,0,2022-01-16T00:41:42Z,40000,,,0,,Jump Ball D. Sharpe vs. J. Valanciunas: Tip to P. Mills,"[201988, 1630549, 202685]",1610612751.0,BKN,startperiod,P. Mills,201988.0,Mills,P. Mills,Sharpe,1630549.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-16T00:41:54.9Z,1,REGULAR,foul,personal,[],1628984,,,1610612751,0,0,2022-01-16T00:42:16Z,70000,,,0,,D. Graham personal FOUL (1 PF),"[1628984, 201142]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,1627539.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-01-16T00:42:14.8Z,1,REGULAR,2pt,Jump Shot,[],201142,16.507884362680684,25.49019607843137,1610612751,2,0,2022-01-16T00:42:19Z,90000,123.0,103.0,1,left,K. Durant 15' Jump Shot (2 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,15.99,Made,2.0,,,,,,,,,,,,,
10,PT11M16.00S,2022-01-16T00:42:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628984,79.71419185282524,55.63725490196079,1610612740,2,2,2022-01-16T00:42:46Z,100000,28.0,138.0,1,right,D. Graham 14' pullup Jump Shot (2 PTS) (J. Valanciunas 1 AST),"[1628984, 202685]",1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,,,,14.1,Made,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,
12,PT10M58.00S,2022-01-16T00:42:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630549,5.469776609724048,46.81372549019608,1610612751,2,2,2022-01-16T00:43:02Z,120000,16.0,-1.0,1,left,MISS D. Sharpe cutting Layup,[1630549],1610612751.0,BKN,cutting,,,Sharpe,D. Sharpe,,,,,,,,,,1.59,Missed,,,,,,,,,,,,,,
13,PT10M56.00S,2022-01-16T00:43:00.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,2,2022-01-16T00:43:02Z,130000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M53.00S,2022-01-16T00:43:02.9Z,1,REGULAR,turnover,lost ball,[],1628984,,,1610612740,2,2,2022-01-16T00:43:09Z,140000,,,0,,D. Graham lost ball TURNOVER (1 TO),"[1628984, 201935]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,1.0,Harden,201935.0,,,
15,PT10M53.00S,2022-01-16T00:43:02.9Z,1,REGULAR,steal,,[],201935,,,1610612751,2,2,2022-01-16T00:43:05Z,150000,,,0,,J. Harden STEAL (1 STL),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-01-16T00:43:15.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201142,29.25427069645204,26.96078431372549,1610612751,2,2,2022-01-16T00:43:19Z,160000,115.0,222.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,25.06,Missed,,,,,,,,,,,,,,
17,PT10M37.00S,2022-01-16T00:43:19.1Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,2,2022-01-16T00:43:19Z,170000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
