actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-04T00:40:56.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T00:40:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-04T00:40:59.9Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-01-04T00:41:00Z,40000,,,0,,Jump Ball S. Adams vs. N. Claxton: Tip to J. Morant,"[1629630, 203500, 1629651]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-04T00:41:11.2Z,1,REGULAR,turnover,bad pass,[],1629681,,,1610612763,0,0,2022-01-04T00:41:15Z,70000,,,0,,K. Tillie bad pass TURNOVER (1 TO),"[1629681, 1629651]",1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,1.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-01-04T00:41:11.2Z,1,REGULAR,steal,,[],1629651,,,1610612751,0,0,2022-01-04T00:41:13Z,80000,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-01-04T00:41:22.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201988,31.488173455978973,39.705882352941174,1610612751,0,0,2022-01-04T00:41:28Z,90000,51.0,243.0,1,left,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,24.89,Missed,,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-01-04T00:41:27.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2022-01-04T00:41:28Z,100000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M19.00S,2022-01-04T00:41:35.6Z,1,REGULAR,3pt,Jump Shot,[],1628991,74.32654402102497,86.27450980392157,1610612763,0,0,2022-01-04T00:41:41Z,110000,181.0,189.0,1,right,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,26.18,Missed,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-01-04T00:41:38.3Z,1,REGULAR,rebound,offensive,[],1629681,,,1610612763,0,0,2022-01-04T00:41:38Z,120000,,,0,,K. Tillie REBOUND (Off:1 Def:0),[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,
13,PT11M07.00S,2022-01-04T00:41:48.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630217,79.84559789750328,77.69607843137256,1610612763,0,2,2022-01-04T00:41:52Z,130000,138.0,137.0,1,right,D. Bane 19' pullup Jump Shot (2 PTS) (J. Jackson Jr. 1 AST),"[1630217, 1628991]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,,,19.48,Made,,,,,2.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,
14,PT10M54.00S,2022-01-04T00:42:01.0Z,1,REGULAR,2pt,Jump Shot,[],201142,22.421156373193167,30.88235294117647,1610612751,0,2,2022-01-04T00:42:17Z,140000,96.0,158.0,1,left,MISS K. Durant 18' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,18.49,Missed,,,,,,,,,,,,,,,,
15,PT10M54.00S,2022-01-04T00:42:01.0Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,2,2022-01-04T00:42:17Z,150000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
