actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-16T23:45:43.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-16T23:45:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-16T23:45:46.1Z,1,REGULAR,jumpball,recovered,[],201609,,,1610612751,0,0,2022-03-16T23:45:46Z,40000,,,0,,Jump Ball A. Drummond vs. D. Powell: Tip to G. Dragic,"[201609, 203083, 203939]",1610612751.0,BKN,startperiod,G. Dragic,201609.0,Dragic,G. Dragic,Drummond,203083.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-03-16T23:45:54.5Z,1,REGULAR,3pt,Jump Shot,[],201988,70.38436268068331,76.22549019607843,1610612751,0,0,2022-03-16T23:46:07Z,70000,131.0,226.0,1,right,MISS P. Mills 26' fadeaway 3PT,[201988],1610612751.0,BKN,fadeaway,,,Mills,P. Mills,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-16T23:45:59.5Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,0,0,2022-03-16T23:46:07Z,80000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-03-16T23:46:07.2Z,1,REGULAR,turnover,out-of-bounds,[],1627827,,,1610612742,0,0,2022-03-16T23:46:26Z,90000,,,0,,D. Finney-Smith bad pass out-of-bounds TURNOVER (1 TO),[1627827],1610612742.0,DAL,bad pass,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,1162.0,1.0,,,,,,,,,,,,,
10,PT11M31.00S,2022-03-16T23:46:39.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203083,92.32917214191852,59.31372549019608,1610612751,2,0,2022-03-16T23:47:17Z,100000,47.0,20.0,1,right,A. Drummond floating Jump Shot (2 PTS) (G. Dragic 1 AST),"[203083, 201609]",1610612751.0,BKN,floating,,,Drummond,A. Drummond,,,,,5.06,Made,,,,,,,2.0,G. Dragic,201609.0,1.0,,,,,,,,,
12,PT11M06.00S,2022-03-16T23:47:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,11.12023653088042,59.31372549019608,1610612742,2,2,2022-03-17T01:26:34Z,120000,-47.0,52.0,1,left,L. Doncic 6' driving floating bank Jump Shot (2 PTS),[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,6.98,Made,,,,,,,2.0,,,,,,,,,,,,
13,PT10M48.00S,2022-03-16T23:47:21.8Z,1,REGULAR,2pt,Jump Shot,[],201142,88.64980289093299,24.264705882352942,1610612751,4,2,2022-03-16T23:47:25Z,130000,-129.0,54.0,1,right,K. Durant 13' pullup Jump Shot (2 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,13.96,Made,,,,,,,2.0,B. Brown,1628971.0,1.0,,,,,,,,,
15,PT10M35.00S,2022-03-16T23:47:35.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,5.732588699080158,51.71568627450981,1610612742,4,4,2022-03-16T23:47:41Z,150000,-9.0,1.0,1,left,D. Powell alley-oop Layup (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,0.87,Made,,,,,,,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,
17,PT10M16.00S,2022-03-16T23:47:54.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628971,94.1688567674113,53.67647058823529,1610612751,6,4,2022-03-16T23:47:58Z,170000,18.0,2.0,1,right,B. Brown cutting DUNK (2 PTS) (A. Drummond 1 AST),"[1628971, 203083]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,1.85,Made,,,,,,,2.0,A. Drummond,203083.0,1.0,,,,,,,,,
