actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-12-09T01:10:45.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-09T01:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-12-09T01:10:49.7Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612759,0,0,2025-12-09T01:10:49Z,40000,False,,,0,,Jump Ball L. Kornet vs. D. Queen: Tip to D. Fox,"[1628368, 1628436, 1642852]",1610612759.0,SAS,startperiod,D. Fox,1628368.0,Fox,D. Fox,Kornet,1628436.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-12-09T01:10:55.6Z,1,REGULAR,turnover,bad pass,[],1642264,,,1610612759,0,0,2025-12-09T01:11:00Z,70000,False,,,0,,S. Castle bad pass TURNOVER (1 TO),"[1642264, 1630529]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Right Center,1.0,Jones,1630529.0,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2025-12-09T01:10:55.6Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2025-12-09T01:10:58Z,80000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-12-09T01:10:59.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,93.24901445466492,48.77450980392157,1610612740,2,0,2025-12-09T01:11:06Z,90000,False,-6.0,11.0,1,right,H. Jones running Layup (2 PTS),[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,1.26,Made,2.0,,,,,,,,,,,,,,
10,PT11M39.00S,2025-12-09T01:11:09.1Z,1,REGULAR,foul,personal,['2freethrow'],1642852,,,1610612759,2,0,2025-12-09T01:11:22Z,100000,False,,,0,,D. Queen shooting personal FOUL (1 PF) (Castle 2 FT),"[1642852, 1642264]",1610612740.0,NOP,shooting,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,,1629183.0,1.0,0.0,Castle,1642264.0,,,,,,,,,
12,PT11M39.00S,2025-12-09T01:11:36.2Z,1,REGULAR,freethrow,1 of 2,[],1642264,,,1610612759,2,1,2025-12-09T01:11:36Z,120000,False,,,0,,S. Castle Free Throw 1 of 2 (1 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
13,PT11M39.00S,2025-12-09T01:11:52.8Z,1,REGULAR,freethrow,2 of 2,[],1642264,,,1610612759,2,2,2025-12-09T01:11:52Z,130000,False,,,0,,S. Castle Free Throw 2 of 2 (2 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
14,PT11M26.00S,2025-12-09T01:12:07.4Z,1,REGULAR,3pt,Jump Shot,[],1630529,87.20433639947439,95.83333333333334,1610612740,2,2,2025-12-09T01:12:11Z,140000,False,229.0,68.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,,,,23.9,Missed,,,,,,,,,,,,,,,
15,PT11M23.00S,2025-12-09T01:12:10.4Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,2,2,2025-12-09T01:12:11Z,150000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
