actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-30T01:10:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-30T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-30T01:10:33.5Z,1,REGULAR,jumpball,recovered,[],1642885,,,1610612752,0,0,2025-12-30T01:10:33Z,40000,False,,,0,,Jump Ball K. Towns vs. D. Queen: Tip to M. Diawara,"[1642885, 1626157, 1642852]",1610612752.0,NYK,startperiod,M. Diawara,1642885.0,Diawara,M. Diawara,Towns,1626157.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-12-30T01:10:53.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642885,6.652431011826544,51.470588235294116,1610612752,0,2,2025-12-30T01:11:08Z,70000,False,-7.0,10.0,1,left,M. Diawara driving Hook (2 PTS),[1642885],1610612752.0,NYK,driving,,,Diawara,M. Diawara,,,,,Restricted Area,0-8 Center,1.24,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2025-12-30T01:11:12.6Z,1,REGULAR,2pt,Jump Shot,[],1642852,75.03285151116951,46.54564950980392,1610612740,0,2,2025-12-30T01:11:59Z,80000,False,-17.0,182.0,1,right,MISS D. Queen 18' Jump Shot,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Mid-Range,16-24 Center,18.3,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2025-12-30T01:11:14.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,0,2,2025-12-30T01:11:16Z,90000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M05.00S,2025-12-30T01:11:25.2Z,1,REGULAR,3pt,Jump Shot,[],1642885,7.30946123521682,3.431372549019608,1610612752,0,5,2025-12-30T01:11:30Z,100000,False,233.0,16.0,1,left,M. Diawara 3PT  (5 PTS) (K. Towns 1 AST),"[1642885, 1626157]",1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,Right Corner 3,24+ Right,23.34,Made,5.0,,,,,K. Towns,1626157.0,1.0,,,,,,,,,,
12,PT10M55.00S,2025-12-30T01:11:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,93.64323258869908,46.07843137254902,1610612740,2,5,2025-12-30T01:12:47Z,120000,False,-20.0,7.0,1,right,S. Bey reverse Layup (2 PTS) (J. Fears 1 AST),"[1630180, 1642847]",1610612740.0,NOP,reverse,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,2.09,Made,2.0,,,,,J. Fears,1642847.0,1.0,,,,,,,,,,
14,PT10M42.00S,2025-12-30T01:11:47.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,6.915243101182654,97.54901960784314,1610612752,2,5,2025-12-30T01:12:00Z,140000,False,-238.0,13.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,23.8,Missed,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2025-12-30T01:11:50.8Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,2,5,2025-12-30T01:12:00Z,150000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Left Corner 3,24+ Left,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M32.00S,2025-12-30T01:11:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,93.11760840998686,46.07843137254902,1610612740,4,5,2025-12-30T01:12:04Z,160000,False,-20.0,12.0,1,right,T. Murphy III driving Layup (2 PTS),[1630530],1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,2.31,Made,2.0,,,,,,,,,,,,,,,,,
