actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-28T00:10:51.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-28T00:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-28T00:10:54.2Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-10-28T00:10:54Z,40000,False,,,0,,Jump Ball N. Queta vs. Y. Missi: Tip to D. White,"[1628401, 1629674, 1642274]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Queta,1629674.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2025-10-28T00:10:56.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631169,6.389618922470433,48.77450980392157,1610612738,0,2,2025-10-28T00:11:02Z,70000,False,6.0,8.0,1,left,J. Minott alley-oop DUNK (2 PTS) (D. White 1 AST),"[1631169, 1628401]",1610612738.0,BOS,alley-oop,,,Minott,J. Minott,,,,,Restricted Area,0-8 Center,0.97,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-10-28T00:11:11.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,70.77858081471747,76.7156862745098,1610612740,3,2,2025-10-28T00:11:16Z,90000,False,134.0,222.0,1,right,J. Poole 25' 3PT  (3 PTS) (Y. Missi 1 AST),"[1629673, 1642274]",1610612740.0,NOP,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,25.93,Made,3.0,Y. Missi,1642274.0,1.0,,,,,,,,,,,,,,
11,PT11M16.00S,2025-10-28T00:11:34.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,29.25427069645204,13.23529411764706,1610612738,3,5,2025-10-28T00:11:56Z,110000,False,184.0,222.0,1,left,P. Pritchard 28' 3PT pullup (3 PTS) (D. White 2 AST),"[1630202, 1628401]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,28.86,Made,3.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,
13,PT10M47.00S,2025-10-28T00:12:05.3Z,1,REGULAR,2pt,Jump Shot,[],1642847,93.77463863337714,69.36274509803921,1610612740,3,5,2025-10-28T00:12:23Z,130000,False,97.0,6.0,1,right,MISS J. Fears 9' driving floating Shot,[1642847],1610612740.0,NOP,driving floating,,,Fears,J. Fears,,,,,Mid-Range,8-16 Right,9.7,Missed,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2025-10-28T00:12:07.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,3,5,2025-10-28T00:12:23Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,13.0,,,,,,,,,,,,,
16,PT10M39.00S,2025-10-28T00:12:34.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642847,93.11760840998686,56.86274509803921,1610612740,3,5,2025-10-28T00:12:39Z,160000,False,34.0,12.0,1,right,MISS J. Fears driving bank Shot - blocked,"[1642847, 1629674]",1610612740.0,NOP,driving bank,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,3.64,Missed,,,,,,Queta,1629674.0,,,,,,,,,,,
115,PT10M39.00S,2025-10-28T00:12:34.0Z,1,REGULAR,block,,[],1629674,,,1610612740,3,5,2025-10-28T00:28:56Z,165000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M37.00S,2025-10-28T00:12:36.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,5,2025-10-28T00:12:39Z,170000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,16.0,,,1.0,1.0,0.0,,,,,,,,
18,PT10M31.00S,2025-10-28T00:12:42.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631169,5.075558475689881,95.83333333333334,1610612738,3,5,2025-10-28T00:12:47Z,180000,False,-229.0,-5.0,1,left,MISS J. Minott running 3PT,[1631169],1610612738.0,BOS,running,,,Minott,J. Minott,,,,,Left Corner 3,24+ Left,22.93,Missed,,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2025-10-28T00:12:45.4Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612740,3,5,2025-10-28T00:12:47Z,190000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,,,,,,,18.0,,,1.0,1.0,0.0,,,,,,,,
20,PT10M15.00S,2025-10-28T00:12:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,91.93495400788436,56.86274509803921,1610612740,3,5,2025-10-28T00:13:02Z,200000,False,34.0,23.0,1,right,MISS Y. Missi Layup,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,4.15,Missed,,,,,,,,,,,,,,,,,,
21,PT10M12.00S,2025-10-28T00:13:00.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,3,5,2025-10-28T00:13:00Z,210000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,,,,,,,20.0,,,1.0,1.0,0.0,,,,,,,,
22,PT10M02.00S,2025-10-28T00:13:11.4Z,1,REGULAR,2pt,Jump Shot,[],1628401,19.66162943495401,66.66666666666666,1610612738,3,7,2025-10-28T00:13:18Z,220000,False,-83.0,132.0,1,left,D. White 15' pullup Jump Shot (2 PTS) (P. Pritchard 1 AST),"[1628401, 1630202]",1610612738.0,BOS,pullup,,,White,D. White,,,,,Mid-Range,8-16 Left,15.63,Made,2.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,,,
25,PT09M38.00S,2025-10-28T00:13:34.5Z,1,REGULAR,3pt,Jump Shot,[],1642847,64.86530880420499,47.05882352941176,1610612740,3,7,2025-10-28T00:13:40Z,240000,False,-15.0,278.0,1,right,MISS J. Fears 27' 3PT,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Center,27.82,Missed,,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2025-10-28T00:13:34.5Z,1,REGULAR,rebound,defensive,[],1631169,,,1610612738,3,7,2025-10-28T00:14:58Z,250000,False,,,0,,J. Minott REBOUND (Off:0 Def:1),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Center,,,,,,,25.0,,,1.0,1.0,0.0,,,,,,,,
27,PT09M29.00S,2025-10-28T00:13:44.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,4.944152431011826,51.9607843137255,1610612738,3,9,2025-10-28T00:14:14Z,260000,False,-10.0,-6.0,1,left,J. Brown running Layup (2 PTS) (D. White 3 AST),"[1627759, 1628401]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.15,Made,2.0,D. White,1628401.0,3.0,,,,,,,,,,,,,,
29,PT09M16.00S,2025-10-28T00:13:59.4Z,1,REGULAR,turnover,out-of-bounds,[],1642847,,,1610612740,3,9,2025-10-28T00:14:06Z,280000,False,,,0,,J. Fears bad pass out-of-bounds TURNOVER (1 TO),[1642847],1610612740.0,NOP,bad pass,,,Fears,J. Fears,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1628485.0,1.0,,,,,,
30,PT08M56.00S,2025-10-28T00:14:25.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630202,15.325229960578188,55.392156862745104,1610612738,3,11,2025-10-28T00:14:29Z,290000,False,-27.0,92.0,1,left,P. Pritchard 9' turnaround fadeaway Jump Shot (5 PTS),[1630202],1610612738.0,BOS,turnaround fadeaway,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,9.55,Made,5.0,,,,,,,,,,,,,,,,,
31,PT08M49.00S,2025-10-28T00:14:40.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,3,11,2025-10-28T00:14:40Z,300000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M40.00S,2025-10-28T00:17:45.8Z,1,REGULAR,foul,personal,[],1630202,,,1610612740,3,11,2025-10-28T00:17:53Z,310000,False,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1629673]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1628485.0,,1.0,0.0,Poole,1629673.0,,
34,PT08M33.00S,2025-10-28T00:18:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,94.56307490144546,52.450980392156865,1610612740,5,11,2025-10-28T00:18:11Z,330000,False,12.0,-1.0,1,right,H. Jones reverse Layup (2 PTS) (J. Poole 1 AST),"[1630529, 1629673]",1610612740.0,NOP,reverse,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.24,Made,2.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,,,
36,PT08M24.00S,2025-10-28T00:18:13.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,31.225361366622867,30.14705882352941,1610612738,5,11,2025-10-28T00:18:21Z,350000,False,99.0,241.0,1,left,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,26.07,Missed,,,,,,,,,,,,,,,,,,
37,PT08M19.00S,2025-10-28T00:18:18.9Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,5,11,2025-10-28T00:18:21Z,360000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,,36.0,,,1.0,1.0,0.0,,,,,,,,
38,PT08M15.00S,2025-10-28T00:18:23.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,68.15045992115637,77.20588235294117,1610612740,5,11,2025-10-28T00:18:28Z,370000,False,136.0,247.0,1,right,MISS J. Poole 28' running pullup 3PT,[1629673],1610612740.0,NOP,running pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,28.19,Missed,,,,,,,,,,,,,,,,,,
39,PT08M13.00S,2025-10-28T00:18:25.2Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,5,11,2025-10-28T00:18:28Z,380000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Right Center,,,,,,,38.0,,,1.0,1.0,0.0,,,,,,,,
40,PT08M07.00S,2025-10-28T00:18:38.4Z,1,REGULAR,foul,personal,[],1629673,,,1610612738,5,11,2025-10-28T00:18:43Z,390000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1627759]",1610612740.0,NOP,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,204058.0,,1.0,0.0,Brown,1627759.0,,
