actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-18T01:10:29.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-18T01:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-18T01:10:32.2Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2025-11-18T01:10:32Z,40000,False,,,0,,Jump Ball C. Holmgren vs. Y. Missi: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1642274]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-18T01:10:45.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,32.40801576872536,40.19607843137255,1610612760,0,0,2025-11-18T01:10:53Z,70000,False,49.0,252.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,25.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-11-18T01:10:47.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2025-11-18T01:10:53Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2025-11-18T01:11:07.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,19.92444152431012,7.107843137254902,1610612760,0,3,2025-11-18T01:11:17Z,100000,False,214.0,135.0,1,left,L. Dort 25' 3PT  (3 PTS) (C. Wallace 1 AST),"[1629652, 1641717]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.33,Made,,3.0,C. Wallace,1641717.0,1.0,,,,,,,,,,,,,
12,PT11M22.00S,2025-11-18T01:11:22.4Z,1,REGULAR,turnover,bad pass,[],1630529,,,1610612740,0,3,2025-11-18T01:11:27Z,120000,False,,,0,,H. Jones bad pass TURNOVER (1 TO),"[1630529, 1628392]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left,,,,,,,,1.0,Hartenstein,1628392.0,,,,,,,,,,
13,PT11M22.00S,2025-11-18T01:11:22.4Z,1,REGULAR,steal,,[],1628392,,,1610612760,0,3,2025-11-18T01:11:24Z,130000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2025-11-18T01:11:34.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,30.831143232588698,62.254901960784316,1610612760,0,6,2025-11-18T01:11:41Z,140000,False,-61.0,237.0,1,left,L. Dort 24' 3PT  (6 PTS) (I. Hartenstein 1 AST),"[1629652, 1628392]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,24.51,Made,,6.0,I. Hartenstein,1628392.0,1.0,,,,,,,,,,,,,
16,PT10M49.00S,2025-11-18T01:11:54.6Z,1,REGULAR,2pt,Jump Shot,[],1642847,80.23981603153744,31.862745098039213,1610612740,2,6,2025-11-18T01:12:02Z,160000,False,-91.0,133.0,1,right,J. Fears 16' driving floating Jump Shot (2 PTS) (D. Queen 1 AST),"[1642847, 1642852]",1610612740.0,NOP,driving floating,,,Fears,J. Fears,,,,,Mid-Range,16-24 Left Center,16.11,Made,,2.0,D. Queen,1642852.0,1.0,,,,,,,,,,,,,
18,PT10M39.00S,2025-11-18T01:12:08.6Z,1,REGULAR,foul,personal,[],1642847,,,1610612760,2,6,2025-11-18T01:12:19Z,180000,False,,,0,,J. Fears personal FOUL (1 PF),"[1642847, 1631096]",1610612740.0,NOP,,,,Fears,J. Fears,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1627541.0,1.0,0.0,Holmgren,1631096.0,,,,,
