actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-28T00:10:32.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-28T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-28T00:10:35.3Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2025-12-28T00:10:35Z,40000,False,,,0,,Jump Ball O. Ighodaro vs. D. Queen: Tip to C. Gillespie,"[1631221, 1642345, 1642852]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Ighodaro,1642345.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-12-28T00:10:56.1Z,1,REGULAR,foul,personal,['2freethrow'],1642847,,,1610612756,0,0,2025-12-28T00:11:03Z,80000,False,,,0,,J. Fears shooting personal FOUL (1 PF) (Brooks 2 FT),"[1642847, 1628415]",1610612740.0,NOP,shooting,,,Fears,J. Fears,,,,,In The Paint (Non-RA),8-16 Right,1627529.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,,,,,,
10,PT11M37.00S,2025-12-28T00:11:18.3Z,1,REGULAR,freethrow,1 of 2,[],1628415,,,1610612756,0,1,2025-12-28T00:11:36Z,100000,False,,,0,,D. Brooks Free Throw 1 of 2 (1 PTS),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
11,PT11M37.00S,2025-12-28T00:11:18.3Z,1,REGULAR,freethrow,2 of 2,[],1628415,,,1610612756,0,1,2025-12-28T00:11:36Z,110000,False,,,0,,MISS D. Brooks Free Throw 2 of 2,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M35.00S,2025-12-28T00:11:20.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,1,2025-12-28T00:11:42Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,
13,PT11M35.00S,2025-12-28T00:11:37.5Z,1,REGULAR,foul,personal,[],1642852,,,1610612756,0,1,2025-12-28T00:11:44Z,130000,False,,,0,,D. Queen loose ball personal FOUL (1 PF),"[1642852, 1642345]",1610612740.0,NOP,loose ball,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Center,202007.0,1.0,0.0,Ighodaro,1642345.0,,,,,,,,,,,,,,,
15,PT11M23.00S,2025-12-28T00:11:58.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626220,15.719448094612352,3.6764705882352944,1610612756,0,1,2025-12-28T00:12:05Z,150000,False,232.0,95.0,1,left,MISS R. O'Neale 25' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.04,,,,,,,,,,,
16,PT11M19.00S,2025-12-28T00:12:02.0Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,1,2025-12-28T00:12:05Z,160000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,,,15.0,,1.0,1.0,0.0,,,,,,,,
17,PT11M07.00S,2025-12-28T00:12:13.8Z,1,REGULAR,2pt,Jump Shot,[],1642847,79.45137976346912,31.61764705882353,1610612740,2,1,2025-12-28T00:12:19Z,170000,False,-92.0,141.0,1,right,J. Fears 16' pullup Jump Shot (2 PTS),[1642847],1610612740.0,NOP,pullup,,,Fears,J. Fears,,,,,Mid-Range,16-24 Left Center,,,,,,Made,2.0,,16.81,,,,,,,,,,,
