actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-12T01:10:24.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-12T01:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-02-12T01:10:26.5Z,1,REGULAR,jumpball,recovered,[],1642066,,,1610612748,0,0,2026-02-12T01:10:26Z,40000,False,,,0,,Jump Ball K. Ware vs. D. Queen: Tip to M. Gardner,"[1642066, 1642276, 1642852]",1610612748.0,MIA,startperiod,M. Gardner,1642066.0,Gardner,M. Gardner,Ware,1642276.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2026-02-12T01:10:37.5Z,1,REGULAR,3pt,Jump Shot,[],1642276,4.944152431011826,96.07843137254902,1610612748,0,3,2026-02-12T01:11:36Z,70000,False,-230.0,-6.0,1,left,K. Ware 3PT  (3 PTS) (B. Adebayo 1 AST),"[1642276, 1628389]",1610612748.0,MIA,,,,Ware,K. Ware,,,,,Left Corner 3,24+ Left,23.05,Made,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2026-02-12T01:11:03.7Z,1,REGULAR,turnover,out-of-bounds,[],1630180,,,1610612740,0,3,2026-02-12T01:11:49Z,90000,False,,,0,,S. Bey lost ball out-of-bounds TURNOVER (1 TO),[1630180],1610612740.0,NOP,lost ball,,,Bey,S. Bey,,,,,Mid-Range,8-16 Left,,,,,,,2530.0,1.0,,,,,,,,,,,,
10,PT11M08.00S,2026-02-12T01:11:25.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628389,5.338370565045992,50.245098039215684,1610612748,0,5,2026-02-12T01:12:16Z,100000,False,-1.0,-2.0,1,left,B. Adebayo driving DUNK (2 PTS) (M. Gardner 1 AST),"[1628389, 1642066]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.26,Made,2.0,M. Gardner,1642066.0,1.0,,,,,,,,,,,,,,
12,PT10M47.00S,2026-02-12T01:11:46.7Z,1,REGULAR,3pt,Jump Shot,[],1630530,66.3107752956636,48.03921568627451,1610612740,0,5,2026-02-12T01:11:53Z,120000,False,-10.0,264.0,1,right,MISS T. Murphy III 26' step back 3PT,[1630530],1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,26.44,Missed,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2026-02-12T01:11:49.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,5,2026-02-12T01:11:53Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,12.0,,,,,,,,,,,
15,PT10M36.00S,2026-02-12T01:12:04.9Z,1,REGULAR,3pt,Jump Shot,[],1628389,31.882391590013142,38.970588235294116,1610612748,0,5,2026-02-12T01:12:11Z,150000,False,55.0,247.0,1,left,MISS B. Adebayo 25' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,25.33,Missed,,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2026-02-12T01:12:07.9Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,0,5,2026-02-12T01:13:18Z,160000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,
17,PT10M33.00S,2026-02-12T01:12:10.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642276,5.590000152587891,50.0,1610612748,0,5,2026-02-12T01:13:28Z,170000,False,0.0,0.0,1,left,MISS K. Ware tip Layup,[1642276],1610612748.0,MIA,tip,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
