actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-22T01:10:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-22T01:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT12M00.00S,2026-01-22T01:10:46.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2026-01-22T01:15:48Z,35000,False,,,0,,Jump Ball J. Duren vs. D. Queen: Tip to Team (DET),"[1631105, 1642852]",1610612765.0,DET,startperiod,Team (DET),Duren,1631105.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-01-22T01:10:49.0Z,1,REGULAR,violation,jumpball,[],1642852,,,1610612765,0,0,2026-01-22T01:16:42Z,40000,False,,,0,,D. Queen jumpball VIOLATION,[1642852],1610612740.0,NOP,,,,,,,1628168.0,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,
5,PT11M44.00S,2026-01-22T01:11:14.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,5.601182654402102,50.0,1610612765,0,2,2026-01-22T01:11:23Z,50000,False,0.0,0.0,1,left,J. Duren cutting DUNK (2 PTS) (D. Robinson 1 AST),"[1631105, 1629130]",1610612765.0,DET,cutting,,,,,,,Duren,J. Duren,Restricted Area,0-8 Center,0.02,Made,2.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,
7,PT11M32.00S,2026-01-22T01:11:27.6Z,1,REGULAR,turnover,bad pass,[],1642847,,,1610612740,0,2,2026-01-22T01:11:31Z,70000,False,,,0,,J. Fears bad pass TURNOVER (1 TO),"[1642847, 1642450]",1610612740.0,NOP,,,,,,,,Fears,J. Fears,Above the Break 3,24+ Left Center,,,,,,,1.0,Jenkins,1642450.0,,,,,,,,,,
8,PT11M32.00S,2026-01-22T01:11:27.6Z,1,REGULAR,steal,,[],1642450,,,1610612765,0,2,2026-01-22T01:11:29Z,80000,False,,,0,,D. Jenkins STEAL (1 STL),[1642450],1610612765.0,DET,,,,,,,,Jenkins,D. Jenkins,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2026-01-22T01:11:31.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1642450,5.075558475689881,4.411764705882353,1610612765,0,5,2026-01-22T01:11:45Z,90000,False,228.0,-5.0,1,left,D. Jenkins 3PT running (3 PTS) (T. Harris 1 AST),"[1642450, 202699]",1610612765.0,DET,running,,,,,,,Jenkins,D. Jenkins,Right Corner 3,24+ Right,22.8,Made,3.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,
11,PT11M17.00S,2026-01-22T01:11:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,90.3580814717477,49.50980392156863,1610612740,0,5,2026-01-22T01:13:57Z,110000,False,-2.0,38.0,1,right,MISS Z. Williamson driving floating Shot,[1629627],1610612740.0,NOP,driving floating,,,,,,,Williamson,Z. Williamson,Restricted Area,0-8 Center,3.82,Missed,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2026-01-22T01:11:45.4Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,0,5,2026-01-22T01:13:57Z,120000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,,,,,Williamson,Z. Williamson,Restricted Area,0-8 Center,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,
13,PT11M10.00S,2026-01-22T01:11:48.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,68.28186596583443,24.509803921568626,1610612740,0,5,2026-01-22T01:11:57Z,130000,False,-127.0,246.0,1,right,MISS T. Murphy III 27' 3PT,[1630530],1610612740.0,NOP,,,,,,,,Murphy III,T. Murphy III,Above the Break 3,24+ Left Center,27.68,Missed,,,,,,,,,,,,,,,,,
