actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-25T01:10:30.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-25T01:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-25T01:10:32.8Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2025-11-25T01:10:32Z,40000,False,,,0,,Jump Ball D. Queen vs. P. Williams: Tip to Z. Williamson,"[1629627, 1642852, 1630172]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Queen,1642852.0,Williams,1630172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-11-25T01:10:52.4Z,1,REGULAR,foul,personal,['2freethrow'],1630172,,,1610612740,0,0,2025-11-25T01:11:04Z,70000,False,,,0,,P. Williams shooting personal FOUL (1 PF) (Williamson 2 FT),"[1630172, 1629627]",1610612741.0,CHI,shooting,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,201246.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2025-11-25T01:11:18.7Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,0,0,2025-11-25T01:11:18Z,90000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M40.00S,2025-11-25T01:11:18.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,0,0,2025-11-25T01:11:18Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M40.00S,2025-11-25T01:11:33.5Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,1,0,2025-11-25T01:11:33Z,110000,False,,,0,,Z. Williamson Free Throw 2 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M18.00S,2025-11-25T01:11:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,93.51182654402102,46.81372549019608,1610612741,1,2,2025-11-25T01:12:03Z,120000,False,-16.0,8.0,1,right,J. Giddey driving Layup (2 PTS),[1630581],1610612741.0,CHI,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.8,,,,,,,,,,,
13,PT10M50.00S,2025-11-25T01:12:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,4.812746386333772,51.71568627450981,1610612740,1,2,2025-11-25T01:12:29Z,130000,False,-9.0,-7.0,1,left,MISS Z. Williamson cutting Layup,[1629627],1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.13,,,,,,,,,,,
14,PT10M45.00S,2025-11-25T01:12:28.6Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,1,2,2025-11-25T01:18:28Z,140000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,13.0,,,1.0,1.0,0.0,,,,,,,,
17,PT10M43.00S,2025-11-25T01:12:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641824,93.9060446780552,53.67647058823529,1610612741,1,4,2025-11-25T01:12:36Z,170000,False,18.0,5.0,1,right,M. Buzelis running Layup (2 PTS),[1641824],1610612741.0,CHI,running,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.9,,,,,,,,,,,
