actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-01-03T01:10:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-03T01:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-03T01:10:56.8Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2026-01-03T01:10:56Z,40000,False,,,0,,Jump Ball D. Clingan vs. Y. Missi: Tip to D. Avdija,"[1630166, 1642270, 1642274]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2026-01-03T01:11:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,10.726018396846255,47.794117647058826,1610612757,0,0,2026-01-03T01:11:15Z,70000,False,11.0,48.0,1,left,MISS D. Avdija driving finger roll Layup - blocked,"[1630166, 1642274]",1610612757.0,POR,driving finger roll,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,4.95,Missed,Missi,1642274.0,,,,,,,,,,,,,,,,
8,PT11M55.00S,2026-01-03T01:11:08.9Z,1,REGULAR,block,,[],1642274,,,1610612757,0,0,2026-01-03T01:11:12Z,80000,False,,,0,,Y. Missi BLOCK (1 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M51.00S,2026-01-03T01:11:12.9Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,0,0,2026-01-03T01:11:15Z,90000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M50.00S,2026-01-03T01:11:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,7.440867279894875,49.01960784313725,1610612757,0,0,2026-01-03T01:11:20Z,100000,False,5.0,17.0,1,left,MISS D. Clingan putback Layup - blocked,"[1642270, 1642847]",1610612757.0,POR,putback,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,1.81,Missed,Fears,1642847.0,,,,,,,,,,,,,,,,
11,PT11M50.00S,2026-01-03T01:11:14.4Z,1,REGULAR,block,,[],1642847,,,1610612757,0,0,2026-01-03T01:11:17Z,110000,False,,,0,,J. Fears BLOCK (1 BLK),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M46.00S,2026-01-03T01:11:18.4Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,0,0,2026-01-03T01:11:20Z,120000,False,,,0,,J. Fears REBOUND (Off:0 Def:1),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M45.00S,2026-01-03T01:11:19.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1642847,92.19776609724047,55.63725490196079,1610612740,2,0,2026-01-03T01:47:55Z,130000,False,28.0,21.0,1,right,J. Fears running DUNK (2 PTS),[1642847],1610612740.0,NOP,running,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,3.5,Made,,,,,,,2.0,,,,,,,,,,,
14,PT11M37.00S,2026-01-03T01:11:27.4Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,2,0,2026-01-03T01:11:33Z,140000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 1631121]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,McGowens,1631121.0,,,,,,,,
15,PT11M37.00S,2026-01-03T01:11:27.4Z,1,REGULAR,steal,,[],1631121,,,1610612740,2,0,2026-01-03T01:11:29Z,150000,False,,,0,,B. McGowens STEAL (1 STL),[1631121],1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M33.00S,2026-01-03T01:11:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631121,93.77463863337714,51.71568627450981,1610612740,4,0,2026-01-03T01:11:37Z,160000,False,9.0,6.0,1,right,B. McGowens running Layup (2 PTS),[1631121],1610612740.0,NOP,running,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,1.05,Made,,,,,,,2.0,,,,,,,,,,,
17,PT11M23.00S,2026-01-03T01:11:43.5Z,1,REGULAR,3pt,Jump Shot,[],1631200,15.850854139290407,4.166666666666666,1610612757,4,0,2026-01-03T01:16:09Z,170000,False,229.0,96.0,1,left,MISS K. Murray 24' 3PT,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,24.87,Missed,,,,,,,,,,,,,,,,,,
18,PT11M21.00S,2026-01-03T01:11:45.5Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,4,0,2026-01-03T01:16:09Z,180000,False,,,0,,D. Clingan REBOUND (Off:2 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,,,,,17.0,2.0,0.0,2.0,,,,,,,,,,,,
19,PT11M20.00S,2026-01-03T01:11:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,7.30946123521682,46.568627450980394,1610612757,4,0,2026-01-03T01:16:20Z,190000,False,17.0,16.0,1,left,MISS D. Clingan putback Layup - blocked,"[1642270, 1642274]",1610612757.0,POR,putback,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,2.36,Missed,Missi,1642274.0,,,,,,,,,,,,,,,,
20,PT11M20.00S,2026-01-03T01:11:51.1Z,1,REGULAR,block,,[],1642274,,,1610612757,4,0,2026-01-03T01:11:54Z,200000,False,,,0,,Y. Missi BLOCK (2 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT11M19.00S,2026-01-03T01:11:52.1Z,1,REGULAR,rebound,offensive,[],1631101,,,1610612757,4,0,2026-01-03T01:16:20Z,210000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:0),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,
22,PT11M18.00S,2026-01-03T01:11:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631101,8.623521681997373,48.03921568627451,1610612757,4,0,2026-01-03T01:16:54Z,220000,False,10.0,29.0,1,left,MISS S. Sharpe putback Layup - blocked,"[1631101, 1642847]",1610612757.0,POR,putback,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,3.02,Missed,Fears,1642847.0,,,,,,,,,,,,,,,,
23,PT11M18.00S,2026-01-03T01:11:57.0Z,1,REGULAR,block,,[],1642847,,,1610612757,4,0,2026-01-03T01:12:07Z,230000,False,,,0,,J. Fears BLOCK (2 BLK),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT11M14.00S,2026-01-03T01:12:01.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,4,0,2026-01-03T01:12:11Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,22.0,,,,,,,,,,,,,,,
26,PT11M09.00S,2026-01-03T01:12:11.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642270,11.908672798948752,2.2058823529411766,1610612757,4,0,2026-01-03T01:12:15Z,260000,False,239.0,59.0,1,left,MISS D. Clingan 24' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Right Corner 3,24+ Right,24.63,Missed,,,,,,,,,,,,,,,,,,
27,PT11M07.00S,2026-01-03T01:12:13.6Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,4,0,2026-01-03T01:12:15Z,270000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Right Corner 3,24+ Right,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT11M05.00S,2026-01-03T01:12:22.8Z,1,REGULAR,foul,personal,[],1630166,,,1610612740,4,0,2026-01-03T01:12:48Z,280000,False,,,0,,D. Avdija personal FOUL (1 PF),"[1630166, 1631121]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1627539.0,1.0,0.0,McGowens,1631121.0,,,
30,PT11M01.00S,2026-01-03T01:12:47.8Z,1,REGULAR,foul,personal,[],1631200,,,1610612740,4,0,2026-01-03T01:13:01Z,300000,False,,,0,,K. Murray personal FOUL (1 PF),"[1631200, 1629627]",1610612757.0,POR,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1627539.0,1.0,0.0,Williamson,1629627.0,,,
