actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-25T00:11:13.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-25T00:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-10-25T00:11:17.2Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2025-10-25T00:11:17Z,40000,False,,,0,,Jump Ball T. Murphy III vs. V. Wembanyama: Tip to Z. Williamson,"[1629627, 1630530, 1641705]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Murphy III,1630530.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-10-25T00:11:30.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,94.03745072273325,49.754901960784316,1610612740,2,0,2025-10-25T00:11:38Z,70000,False,-1.0,4.0,1,right,Z. Williamson driving DUNK (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.37,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-10-25T00:11:35.5Z,1,REGULAR,foul,personal,['1freethrow'],1641705,,,1610612740,2,0,2025-10-25T00:11:54Z,90000,False,,,0,,V. Wembanyama shooting personal FOUL (1 PF) (Williamson 1 FT),"[1641705, 1629627]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,202007.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,
11,PT11M44.00S,2025-10-25T00:11:58.2Z,1,REGULAR,freethrow,1 of 1,[],1629627,,,1610612740,2,0,2025-10-25T00:12:00Z,110000,False,,,0,,MISS Z. Williamson Free Throw 1 of 1,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M41.00S,2025-10-25T00:12:01.2Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,0,2025-10-25T00:12:00Z,120000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
14,PT11M28.00S,2025-10-25T00:12:12.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641705,5.601182654402102,50.49019607843137,1610612759,2,2,2025-10-25T00:12:17Z,130000,False,-2.0,0.0,1,left,V. Wembanyama DUNK (2 PTS) (H. Barnes 1 AST),"[1641705, 203084]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,0.25,Made,2.0,,,,,,,,,,H. Barnes,203084.0,1.0,,,,,
16,PT11M13.00S,2025-10-25T00:12:27.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,65.25952693823915,8.57843137254902,1610612740,2,2,2025-10-25T00:12:32Z,150000,False,-207.0,274.0,1,right,MISS J. Poole 34' 3PT,[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,34.35,Missed,,,,,,,,,,,,,,,,,,
17,PT11M09.00S,2025-10-25T00:12:31.7Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,2,2025-10-25T00:12:32Z,160000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,
18,PT11M02.00S,2025-10-25T00:12:38.4Z,1,REGULAR,3pt,Jump Shot,[],1642264,4.681340341655716,3.431372549019608,1610612759,2,5,2025-10-25T00:12:42Z,170000,False,233.0,-8.0,1,left,S. Castle 3PT  (3 PTS) (H. Barnes 2 AST),"[1642264, 203084]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Right Corner 3,24+ Right,23.3,Made,3.0,,,,,,,,,,H. Barnes,203084.0,2.0,,,,,
20,PT10M38.00S,2025-10-25T00:13:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.46057818659659,45.83333333333333,1610612740,2,5,2025-10-25T00:13:10Z,190000,False,-21.0,18.0,1,right,MISS Z. Williamson driving reverse Layup - blocked,"[1629627, 1641705]",1610612740.0,NOP,driving reverse,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.78,Missed,,,,,,,,,,,,,,Wembanyama,1641705.0,,,
21,PT10M38.00S,2025-10-25T00:13:02.1Z,1,REGULAR,block,,[],1641705,,,1610612740,2,5,2025-10-25T00:13:04Z,200000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M34.00S,2025-10-25T00:13:06.1Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,2,5,2025-10-25T00:13:10Z,210000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,
23,PT10M34.00S,2025-10-25T00:13:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,91.80354796320631,48.03921568627451,1610612740,2,5,2025-10-25T00:13:28Z,220000,False,-10.0,25.0,1,right,MISS Z. Williamson putback Layup - blocked,"[1629627, 1641705]",1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,,,,,,,,,,Wembanyama,1641705.0,,,
24,PT10M34.00S,2025-10-25T00:13:07.2Z,1,REGULAR,block,,[],1641705,,,1610612740,2,5,2025-10-25T00:13:09Z,230000,False,,,0,,V. Wembanyama BLOCK (2 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M32.00S,2025-10-25T00:13:09.2Z,1,REGULAR,rebound,defensive,[],1642264,,,1610612759,2,5,2025-10-25T00:13:28Z,240000,False,,,0,,S. Castle REBOUND (Off:0 Def:1),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
27,PT10M24.00S,2025-10-25T00:13:34.5Z,1,REGULAR,2pt,Jump Shot,[],1641705,15.193823915900131,20.098039215686274,1610612759,2,5,2025-10-25T00:13:38Z,260000,False,150.0,90.0,1,left,MISS V. Wembanyama 17' Jump Shot,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Right,17.47,Missed,,,,,,,,,,,,,,,,,,
28,PT10M21.00S,2025-10-25T00:13:37.5Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,2,5,2025-10-25T00:13:38Z,270000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Right,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
29,PT10M09.00S,2025-10-25T00:13:49.2Z,1,REGULAR,3pt,Jump Shot,[],1630529,81.2910643889619,5.637254901960785,1610612740,2,5,2025-10-25T00:13:53Z,280000,False,-222.0,123.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,25.38,Missed,,,,,,,,,,,,,,,,,,
30,PT10M06.00S,2025-10-25T00:13:52.2Z,1,REGULAR,rebound,defensive,[],1642264,,,1610612759,2,5,2025-10-25T00:13:53Z,290000,False,,,0,,S. Castle REBOUND (Off:0 Def:2),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,
31,PT10M01.00S,2025-10-25T00:13:57.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641705,5.995400788436268,50.73529411764706,1610612759,2,7,2025-10-25T00:14:05Z,300000,False,-4.0,4.0,1,left,V. Wembanyama running alley-oop DUNK (4 PTS) (S. Castle 1 AST),"[1641705, 1642264]",1610612759.0,SAS,running alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,0.54,Made,4.0,,,,,,,,,,S. Castle,1642264.0,1.0,,,,,
33,PT09M41.00S,2025-10-25T00:14:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.46057818659659,46.07843137254902,1610612740,2,7,2025-10-25T00:14:23Z,320000,False,-20.0,18.0,1,right,MISS Z. Williamson cutting Layup,[1629627],1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
35,PT09M36.00S,2025-10-25T00:14:22.2Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,2,7,2025-10-25T00:14:23Z,340000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
