actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-21T01:10:35.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-21T01:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2026-02-21T01:10:41.3Z,1,REGULAR,jumpball,recovered,[],1630180,,,1610612740,0,0,2026-02-21T01:10:41Z,40000,False,,,0,,Jump Ball D. Queen vs. J. Sims: Tip to S. Bey,"[1630180, 1642852, 1630579]",1610612740.0,NOP,startperiod,S. Bey,1630180.0,Bey,S. Bey,Queen,1642852.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-02-21T01:11:10.3Z,1,REGULAR,3pt,Jump Shot,[],1631121,93.77463863337714,96.32352941176471,1610612740,0,0,2026-02-21T01:11:18Z,80000,False,232.0,6.0,1,right,MISS B. McGowens 3PT,[1631121],1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2026-02-21T01:11:13.3Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612749,0,0,2026-02-21T01:11:18Z,90000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Right Corner 3,24+ Right,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M31.00S,2026-02-21T01:11:19.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629645,5.469776609724048,61.51960784313726,1610612749,0,0,2026-02-21T01:12:28Z,100000,False,-58.0,-1.0,1,left,MISS K. Porter Jr. running Layup - blocked,"[1629645, 1630180]",1610612749.0,MIL,running,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,Bey,1630180.0,,,,,,,,,,,,
11,PT11M31.00S,2026-02-21T01:11:19.0Z,1,REGULAR,block,,[],1630180,,,1610612749,0,0,2026-02-21T01:11:21Z,110000,False,,,0,,S. Bey BLOCK (1 BLK),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2026-02-21T01:11:22.0Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,0,0,2026-02-21T01:11:24Z,120000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M26.00S,2026-02-21T01:11:24.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630529,93.11760840998686,49.754901960784316,1610612740,2,0,2026-02-21T01:11:34Z,130000,False,-1.0,12.0,1,right,H. Jones running DUNK (2 PTS) (S. Bey 1 AST),"[1630529, 1630180]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,2.0,S. Bey,1630180.0,1.0,,,,,,,,
15,PT11M05.00S,2026-02-21T01:11:45.8Z,1,REGULAR,turnover,lost ball,[],1631260,,,1610612749,2,0,2026-02-21T01:11:50Z,150000,False,,,0,,A. Green lost ball TURNOVER (1 TO),"[1631260, 1642852]",1610612749.0,MIL,,,,Green,A. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Queen,1642852.0,,,,,
16,PT11M05.00S,2026-02-21T01:11:45.8Z,1,REGULAR,steal,,[],1642852,,,1610612740,2,0,2026-02-21T01:11:48Z,160000,False,,,0,,D. Queen STEAL (1 STL),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
