actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-20T00:10:36.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-20T00:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-03-20T00:10:38.4Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2026-03-20T00:10:38Z,40000,False,,,0,,Jump Ball Y. Missi vs. B. Lopez: Tip to Z. Williamson,"[1629627, 1642274, 201572]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Missi,1642274.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-03-20T00:11:00.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,32.14520367936925,57.84313725490197,1610612740,3,0,2026-03-20T00:11:39Z,80000,False,-39.0,250.0,1,left,T. Murphy III 25' 3PT  (3 PTS) (S. Bey 1 AST),"[1630530, 1630180]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,25.28,Made,3.0,S. Bey,1630180.0,1.0,,,,,,,,,,,,,,
10,PT11M24.00S,2026-03-20T00:11:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,80.6340341655716,63.48039215686274,1610612746,3,2,2026-03-20T00:12:16Z,100000,False,67.0,130.0,1,right,J. Collins 14' pullup Jump Shot (2 PTS),[1628381],1610612746.0,LAC,pullup,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,14.6,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2026-03-20T00:11:37.6Z,1,REGULAR,3pt,Jump Shot,[],1630529,20.18725361366623,5.392156862745098,1610612740,3,2,2026-03-20T00:13:08Z,110000,False,223.0,137.0,1,left,MISS H. Jones 26' step back 3PT,[1630529],1610612740.0,NOP,step back,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2026-03-20T00:11:39.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,3,2,2026-03-20T00:11:42Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,11.0,,,,,,,,,,,,,
14,PT10M48.00S,2026-03-20T00:11:59.0Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612746,3,2,2026-03-20T00:12:03Z,140000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Jones Jr. 2 FT),"[1629627, 1627884]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,1146.0,1.0,0.0,Jones Jr.,1627884.0,,,,,,,,
16,PT10M48.00S,2026-03-20T00:12:20.0Z,1,REGULAR,freethrow,1 of 2,[],1627884,,,1610612746,3,3,2026-03-20T00:12:20Z,160000,False,,,0,,D. Jones Jr. Free Throw 1 of 2 (1 PTS),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2026-03-20T00:12:37.8Z,1,REGULAR,freethrow,2 of 2,[],1627884,,,1610612746,3,4,2026-03-20T00:12:37Z,170000,False,,,0,,D. Jones Jr. Free Throw 2 of 2 (2 PTS),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2026-03-20T00:13:01.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,31.61957950065703,70.34313725490196,1610612740,6,4,2026-03-20T00:13:19Z,200000,False,-102.0,245.0,1,left,T. Murphy III 26' 3PT pullup (6 PTS),[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,26.5,Made,6.0,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2026-03-20T00:13:20.4Z,1,REGULAR,3pt,Jump Shot,[],1627739,70.77858081471747,73.2843137254902,1610612746,6,7,2026-03-20T00:13:25Z,210000,False,116.0,222.0,1,right,K. Dunn 25' 3PT  (3 PTS) (J. Miller 1 AST),"[1627739, 1641757]",1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,25.08,Made,3.0,J. Miller,1641757.0,1.0,,,,,,,,,,,,,,
23,PT09M50.00S,2026-03-20T00:13:35.4Z,1,REGULAR,3pt,Jump Shot,[],1630529,3.630091984231275,95.58823529411765,1610612740,6,7,2026-03-20T00:13:42Z,230000,False,-228.0,-18.0,1,left,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,22.86,Missed,,,,,,,,,,,,,,,,,,
24,PT09M44.00S,2026-03-20T00:13:41.4Z,1,REGULAR,rebound,defensive,[],1641757,,,1610612746,6,7,2026-03-20T00:13:42Z,240000,False,,,0,,J. Miller REBOUND (Off:0 Def:1),[1641757],1610612746.0,LAC,,,,Miller,J. Miller,,,,,Left Corner 3,24+ Left,,,,,,,23.0,,,,,,1.0,1.0,0.0,,,,,
25,PT09M35.00S,2026-03-20T00:13:51.0Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612746,6,7,2026-03-20T00:13:58Z,250000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Miller 2 FT),"[1630530, 1641757]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,1628953.0,1.0,0.0,Miller,1641757.0,,,,,,,,
27,PT09M35.00S,2026-03-20T00:14:13.1Z,1,REGULAR,freethrow,1 of 2,[],1641757,,,1610612746,6,8,2026-03-20T00:14:13Z,270000,False,,,0,,J. Miller Free Throw 1 of 2 (1 PTS),[1641757],1610612746.0,LAC,,,,Miller,J. Miller,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
28,PT09M35.00S,2026-03-20T00:14:28.4Z,1,REGULAR,freethrow,2 of 2,[],1641757,,,1610612746,6,9,2026-03-20T00:14:28Z,280000,False,,,0,,J. Miller Free Throw 2 of 2 (2 PTS),[1641757],1610612746.0,LAC,,,,Miller,J. Miller,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M19.00S,2026-03-20T00:14:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,7.178055190538765,52.450980392156865,1610612740,8,9,2026-03-20T00:14:52Z,290000,False,-12.0,15.0,1,left,Y. Missi driving finger roll Layup (2 PTS) (S. Bey 2 AST),"[1642274, 1630180]",1610612740.0,NOP,driving finger roll,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,1.94,Made,2.0,S. Bey,1630180.0,2.0,,,,,,,,,,,,,,
31,PT08M58.00S,2026-03-20T00:15:07.7Z,1,REGULAR,turnover,bad pass,[],1627739,,,1610612746,8,9,2026-03-20T00:15:14Z,310000,False,,,0,,K. Dunn bad pass TURNOVER (1 TO),"[1627739, 1630529]",1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,Jones,1630529.0,,
32,PT08M58.00S,2026-03-20T00:15:07.7Z,1,REGULAR,steal,,[],1630529,,,1610612740,8,9,2026-03-20T00:15:11Z,320000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
33,PT08M51.00S,2026-03-20T00:15:15.3Z,1,REGULAR,turnover,bad pass,[],1630529,,,1610612740,8,9,2026-03-20T00:15:19Z,330000,False,,,0,,H. Jones bad pass TURNOVER (1 TO),"[1630529, 1641757]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Miller,1641757.0,,
34,PT08M51.00S,2026-03-20T00:15:15.3Z,1,REGULAR,steal,,[],1641757,,,1610612746,8,9,2026-03-20T00:15:17Z,340000,False,,,0,,J. Miller STEAL (1 STL),[1641757],1610612746.0,LAC,,,,Miller,J. Miller,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
