actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-19T01:10:31.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-19T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-19T01:10:33.3Z,1,REGULAR,jumpball,recovered,[],1642847,,,1610612740,0,0,2025-12-19T01:10:33Z,40000,False,,,0,,Jump Ball D. Queen vs. A. Sengun: Tip to J. Fears,"[1642847, 1642852, 1630578]",1610612740.0,NOP,startperiod,J. Fears,1642847.0,Fears,J. Fears,Queen,1642852.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-12-19T01:10:44.6Z,1,REGULAR,2pt,Jump Shot,[],1630530,21.50131406044678,48.28431372549019,1610612740,2,0,2025-12-19T01:11:23Z,70000,False,9.0,150.0,1,left,T. Murphy III 14' Jump Shot (2 PTS) (D. Queen 1 AST),"[1630530, 1642852]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Center,14.98,Made,2.0,D. Queen,1642852.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-12-19T01:11:01.8Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,2,0,2025-12-19T01:11:05Z,90000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1630530]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Murphy III,1630530.0,,,,,,,,,,,
10,PT11M28.00S,2025-12-19T01:11:01.8Z,1,REGULAR,steal,,[],1630530,,,1610612740,2,0,2025-12-19T01:11:03Z,100000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2025-12-19T01:11:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,6.783837056504599,48.529411764705884,1610612740,2,0,2025-12-19T01:11:12Z,110000,False,7.0,11.0,1,left,MISS H. Jones running Layup - blocked,"[1630529, 201142]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.35,Missed,,,,,,,,Durant,201142.0,,,,,,,,,
12,PT11M24.00S,2025-12-19T01:11:06.0Z,1,REGULAR,block,,[],201142,,,1610612740,2,0,2025-12-19T01:11:08Z,120000,False,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2025-12-19T01:11:10.0Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,2,0,2025-12-19T01:11:12Z,130000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
14,PT11M11.00S,2025-12-19T01:11:19.2Z,1,REGULAR,2pt,Jump Shot,[],201142,75.3777923784494,31.61764705882353,1610612745,2,2,2025-12-19T01:11:24Z,140000,False,-92.0,179.0,1,right,K. Durant 20' pullup Jump Shot (2 PTS) (A. Sengun 1 AST),"[201142, 1630578]",1610612745.0,HOU,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,20.11,Made,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
15,PT10M47.00S,2025-12-19T01:11:43.1Z,1,REGULAR,turnover,lost ball,[],1642852,,,1610612740,2,2,2025-12-19T01:11:47Z,150000,False,,,0,,D. Queen lost ball TURNOVER (1 TO),"[1642852, 1630578]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Sengun,1630578.0,,,,,,,,,,,
