actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-12T00:11:49.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-12T00:11:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-12T00:11:53.9Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2026-03-12T00:11:53Z,40000,False,,,0,,Jump Ball J. Poeltl vs. Z. Williamson: Tip to I. Quickley,"[1630193, 1627751, 1629627]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Poeltl,1627751.0,Williamson,1629627.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-12T00:12:13.0Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,0,0,2026-03-12T00:12:21Z,70000,False,,,0,,S. Barnes lost ball out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,lost ball,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,1627539.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2026-03-12T00:12:33.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,6.1268068331143235,54.90196078431373,1610612740,2,0,2026-03-12T00:12:39Z,80000,False,-25.0,5.0,1,left,Z. Williamson driving Layup (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,2.5,Made,2.0,,,,,,,,,,,,,,,
9,PT11M03.00S,2026-03-12T00:12:54.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,91.27792378449409,18.627450980392158,1610612761,2,0,2026-03-12T00:13:00Z,90000,False,-157.0,29.0,1,right,MISS B. Ingram 15' pullup Shot,[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,,,15.96,Missed,,,,,,,,,,,,,,,,
10,PT11M01.00S,2026-03-12T00:12:56.6Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,2,0,2026-03-12T00:13:16Z,100000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT10M37.00S,2026-03-12T00:13:19.6Z,1,REGULAR,2pt,Jump Shot,[],1630180,21.632720105124836,72.05882352941177,1610612740,2,0,2026-03-12T00:13:24Z,110000,False,-110.0,151.0,1,left,MISS S. Bey 18' turnaround Shot,[1630180],1610612740.0,NOP,turnaround,,,Bey,S. Bey,,,,,Mid-Range,16-24 Left Center,,,18.68,Missed,,,,,,,,,,,,,,,,
12,PT10M34.00S,2026-03-12T00:13:22.6Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,2,0,2026-03-12T00:13:24Z,120000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Left Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M27.00S,2026-03-12T00:13:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,93.64323258869908,44.85294117647059,1610612761,2,2,2026-03-12T00:13:33Z,130000,False,-26.0,7.0,1,right,I. Quickley driving Layup (2 PTS),[1630193],1610612761.0,TOR,driving,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,2.67,Made,2.0,,,,,,,,,,,,,,,
14,PT10M14.00S,2026-03-12T00:13:42.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,21.50131406044678,48.03921568627451,1610612740,4,2,2026-03-12T00:13:46Z,140000,False,10.0,150.0,1,left,D. Murray 14' pullup Jump Shot (2 PTS),[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Center,,,14.99,Made,2.0,,,,,,,,,,,,,,,
