actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-20T01:10:36.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-20T01:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-20T01:10:51.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,0,2025-11-20T01:10:51Z,40000,False,,,0,,Jump Ball N. Jokić vs. D. Queen: Tip to Team (DEN),"[203999, 1642852]",1610612743.0,DEN,startperiod,Team (DEN),Jokić,203999.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2025-11-20T01:11:06.8Z,1,REGULAR,foul,personal,[],1642852,,,1610612743,0,0,2025-11-20T01:11:36Z,70000,False,,,0,,D. Queen personal FOUL (1 PF),"[1642852, 203999]",1610612740.0,NOP,,,,,,,Mid-Range,16-24 Left Center,1626300.0,1.0,0.0,Queen,D. Queen,Jokić,203999.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-11-20T01:11:22.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,0,0,2025-11-20T01:12:32Z,90000,False,,,0,,N. Jokić bad pass TURNOVER (1 TO),"[203999, 1630529]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,Jokić,N. Jokić,,,1.0,Jones,1630529.0,,,,,,,,,,,,
10,PT11M44.00S,2025-11-20T01:11:22.5Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2025-11-20T01:11:24Z,100000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2025-11-20T01:11:29.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642852,93.9060446780552,69.36274509803921,1610612740,0,0,2025-11-20T01:11:47Z,110000,False,97.0,5.0,1,right,MISS D. Queen 9' turnaround Shot,[1642852],1610612740.0,NOP,turnaround,,,,,,Mid-Range,8-16 Right,,,,Queen,D. Queen,,,,,,9.69,Missed,,,,,,,,,,
12,PT11M30.00S,2025-11-20T01:11:36.1Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,0,0,2025-11-20T01:11:36Z,120000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,,,,Watson,P. Watson,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M27.00S,2025-11-20T01:11:40.1Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,0,0,2025-11-20T01:13:42Z,130000,False,,,0,,N. Jokić lost ball TURNOVER (2 TO),"[203999, 1630529]",1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,,,,Jokić,N. Jokić,,,2.0,Jones,1630529.0,,,,,,,,,,,,
14,PT11M27.00S,2025-11-20T01:11:40.1Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2025-11-20T01:12:11Z,140000,False,,,0,,H. Jones STEAL (2 STL),[1630529],1610612740.0,NOP,,,,,,,Mid-Range,8-16 Right,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,
15,PT11M21.00S,2025-11-20T01:11:45.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642847,93.51182654402102,46.32352941176471,1610612740,2,0,2025-11-20T01:14:25Z,150000,False,-18.0,8.0,1,right,J. Fears running reverse Layup (2 PTS) (D. Queen 1 AST),"[1642847, 1642852]",1610612740.0,NOP,running reverse,,,,,,Restricted Area,0-8 Center,,,,Fears,J. Fears,,,,,,2.03,Made,,,,,2.0,D. Queen,1642852.0,1.0,,
16,PT10M54.00S,2025-11-20T01:12:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631212,9.017739816031538,51.9607843137255,1610612743,2,2,2025-11-20T01:15:01Z,160000,False,-10.0,32.0,1,left,P. Watson cutting Layup (2 PTS) (J. Murray 1 AST),"[1631212, 1627750]",1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,,,,Watson,P. Watson,,,,,,3.38,Made,,,,,2.0,J. Murray,1627750.0,1.0,,
18,PT10M34.00S,2025-11-20T01:12:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642852,87.72996057818659,49.26470588235294,1610612740,2,2,2025-11-20T01:15:20Z,180000,False,-4.0,63.0,1,right,MISS D. Queen 6' driving floating Shot,[1642852],1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Queen,D. Queen,,,,,,6.29,Missed,,,,,,,,,,
19,PT10M28.00S,2025-11-20T01:12:39.1Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,2,2,2025-11-20T01:12:39Z,190000,False,,,0,,P. Watson REBOUND (Off:0 Def:2),[1631212],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Watson,P. Watson,,,,,,,,18.0,2.0,2.0,0.0,,,,,,
20,PT10M22.00S,2025-11-20T01:12:43.8Z,1,REGULAR,3pt,Jump Shot,[],1631212,24.392247043363994,86.51960784313727,1610612743,2,5,2025-11-20T01:12:48Z,200000,False,-183.0,177.0,1,left,P. Watson 25' 3PT  (5 PTS) (N. Jokić 1 AST),"[1631212, 203999]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Watson,P. Watson,,,,,,25.42,Made,,,,,5.0,N. Jokić,203999.0,1.0,,
22,PT10M09.00S,2025-11-20T01:12:57.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,93.38042049934296,50.0,1610612740,4,5,2025-11-20T01:13:04Z,220000,False,0.0,10.0,1,right,Z. Williamson cutting DUNK (2 PTS) (H. Jones 1 AST),"[1629627, 1630529]",1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,,,,Williamson,Z. Williamson,,,,,,0.97,Made,,,,,2.0,H. Jones,1630529.0,1.0,,
24,PT09M52.00S,2025-11-20T01:13:13.8Z,1,REGULAR,turnover,lost ball,[],1627750,,,1610612743,4,5,2025-11-20T01:13:19Z,240000,False,,,0,,J. Murray lost ball TURNOVER (1 TO),"[1627750, 1629627]",1610612743.0,DEN,,,,,,,Mid-Range,16-24 Right Center,,,,Murray,J. Murray,,,1.0,Williamson,1629627.0,,,,,,,,,,,,
25,PT09M52.00S,2025-11-20T01:13:13.8Z,1,REGULAR,steal,,[],1629627,,,1610612740,4,5,2025-11-20T01:13:15Z,250000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Right Center,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2025-11-20T01:13:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629627,93.64323258869908,46.07843137254902,1610612740,6,5,2025-11-20T01:13:26Z,260000,False,-20.0,7.0,1,right,Z. Williamson running Layup (4 PTS),[1629627],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,,,,Williamson,Z. Williamson,,,,,,2.09,Made,,,,,4.0,,,,,
27,PT09M43.00S,2025-11-20T01:13:23.3Z,1,REGULAR,3pt,Jump Shot,[],1631212,21.369908015768726,90.68627450980392,1610612743,6,5,2025-11-20T01:13:32Z,270000,False,-203.0,148.0,1,left,MISS P. Watson 25' 3PT,[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Watson,P. Watson,,,,,,25.18,Missed,,,,,,,,,,
28,PT09M43.00S,2025-11-20T01:13:23.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,6,5,2025-11-20T01:13:52Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,27.0,,,,,,,,,
30,PT09M29.00S,2025-11-20T01:14:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642852,93.64323258869908,45.588235294117645,1610612740,6,5,2025-11-20T01:18:17Z,300000,False,-22.0,7.0,1,right,MISS D. Queen driving Layup,[1642852],1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,,,,Queen,D. Queen,,,,,,2.33,Missed,,,,,,,,,,
31,PT09M28.00S,2025-11-20T01:14:05.7Z,1,REGULAR,rebound,offensive,[],1642852,,,1610612740,6,5,2025-11-20T01:18:17Z,310000,False,,,0,,D. Queen REBOUND (Off:1 Def:0),[1642852],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Queen,D. Queen,,,,,,,,30.0,1.0,0.0,1.0,,,,,,
32,PT09M24.00S,2025-11-20T01:14:09.2Z,1,REGULAR,turnover,bad pass,[],1642852,,,1610612740,6,5,2025-11-20T01:14:14Z,320000,False,,,0,,D. Queen bad pass TURNOVER (1 TO),"[1642852, 1630192]",1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Queen,D. Queen,,,1.0,Nnaji,1630192.0,,,,,,,,,,,,
33,PT09M24.00S,2025-11-20T01:14:09.2Z,1,REGULAR,steal,,[],1630192,,,1610612743,6,5,2025-11-20T01:50:57Z,330000,False,,,0,,Z. Nnaji STEAL (1 STL),[1630192],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,
