actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-21T23:10:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-21T23:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-21T23:10:47.4Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612739,0,0,2026-03-21T23:10:47Z,40000,False,,,0,,Jump Ball E. Mobley vs. Z. Williamson: Tip to J. Harden,"[201935, 1630596, 1629627]",1610612739.0,CLE,startperiod,J. Harden,201935.0,Harden,J. Harden,Mobley,1630596.0,Williamson,1629627.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-21T23:10:59.5Z,1,REGULAR,foul,personal,[],1630180,,,1610612739,0,0,2026-03-21T23:11:13Z,70000,False,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 1630596]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,202901.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2026-03-21T23:11:24.8Z,1,REGULAR,3pt,Jump Shot,[],1630241,79.188567674113,90.68627450980392,1610612739,0,3,2026-03-21T23:11:29Z,90000,False,203.0,143.0,1,right,S. Merrill 24' 3PT  (3 PTS) (D. Wade 1 AST),"[1630241, 1629731]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,,,,,,24.87,Made,3.0,D. Wade,1629731.0,1.0,,,,,,,,,
11,PT11M17.00S,2026-03-21T23:11:45.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,16.376478318002626,54.90196078431373,1610612740,2,3,2026-03-21T23:11:53Z,110000,False,-25.0,101.0,1,left,S. Bey 10' driving floating Jump Shot (2 PTS) (Z. Williamson 1 AST),"[1630180, 1629627]",1610612740.0,NOP,driving floating,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.43,Made,2.0,Z. Williamson,1629627.0,1.0,,,,,,,,,
13,PT11M11.00S,2026-03-21T23:11:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,94.30026281208936,53.67647058823529,1610612739,2,5,2026-03-21T23:11:58Z,130000,False,18.0,1.0,1,right,D. Mitchell driving Layup (2 PTS) (J. Harden 1 AST),"[1628378, 201935]",1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,1.84,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,
15,PT10M49.00S,2026-03-21T23:12:14.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,9.674770039421814,3.431372549019608,1610612740,2,5,2026-03-21T23:12:18Z,150000,False,233.0,38.0,1,left,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,,,,,,23.59,Missed,,,,,,,,,,,,,
16,PT10M46.00S,2026-03-21T23:12:17.1Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,2,5,2026-03-21T23:12:18Z,160000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M40.00S,2026-03-21T23:12:23.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,93.64323258869908,51.9607843137255,1610612739,2,5,2026-03-21T23:14:09Z,170000,False,10.0,7.0,1,right,MISS D. Mitchell running Layup - blocked,"[1628378, 1630530]",1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,1.22,Missed,,,,,,,,,Murphy III,1630530.0,,,
18,PT10M40.00S,2026-03-21T23:12:23.1Z,1,REGULAR,block,,[],1630530,,,1610612739,2,5,2026-03-21T23:12:25Z,180000,False,,,0,,T. Murphy III BLOCK (1 BLK),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
